# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-2.38479047e-03 -1.14156928e-05 -5.96179242e-19)	(-5.95219719e-04 -1.82206600e-07 1.37327270e-18)
2.00000000e+02	bottom	(-2.38794454e-03 -1.14214381e-05 -6.07868449e-19)	(-6.09514620e-04 -7.53968624e-08 1.37738600e-18)
3.00000000e+02	bottom	(-2.38873338e-03 -1.14174411e-05 -6.11477328e-19)	(-6.14736206e-04 -7.09723797e-08 1.37798781e-18)
4.00000000e+02	bottom	(-2.38911604e-03 -1.14150184e-05 -6.13381120e-19)	(-6.17576341e-04 -7.05762704e-08 1.37824529e-18)
5.00000000e+02	bottom	(-2.38934745e-03 -1.14135901e-05 -6.14574564e-19)	(-6.19371819e-04 -7.04598935e-08 1.37838935e-18)
6.00000000e+02	bottom	(-2.38950508e-03 -1.14126665e-05 -6.15417719e-19)	(-6.20630922e-04 -7.04232874e-08 1.37848117e-18)
7.00000000e+02	bottom	(-2.38962103e-03 -1.14120530e-05 -6.16054039e-19)	(-6.21569488e-04 -7.04045698e-08 1.37854545e-18)
8.00000000e+02	bottom	(-2.38971081e-03 -1.14116468e-05 -6.16556899e-19)	(-6.22298525e-04 -7.03929079e-08 1.37859333e-18)
9.00000000e+02	bottom	(-2.38978241e-03 -1.14113766e-05 -6.16967172e-19)	(-6.22883820e-04 -7.03879064e-08 1.37862954e-18)
1.00000000e+03	bottom	(-2.38984208e-03 -1.14111969e-05 -6.17316174e-19)	(-6.23370037e-04 -7.03858598e-08 1.37865911e-18)
1.10000000e+03	bottom	(-2.38989256e-03 -1.14110857e-05 -6.17616073e-19)	(-6.23779462e-04 -7.03836931e-08 1.37868339e-18)
1.20000000e+03	bottom	(-2.38993597e-03 -1.14111188e-05 -6.17881444e-19)	(-6.24129469e-04 -7.03828048e-08 1.37868479e-18)
1.30000000e+03	bottom	(-2.38997385e-03 -1.14112982e-05 -6.18121243e-19)	(-6.24432653e-04 -7.03834538e-08 1.37866912e-18)
1.40000000e+03	bottom	(-2.39000726e-03 -1.14114881e-05 -6.18335918e-19)	(-6.24698229e-04 -7.03838648e-08 1.37865442e-18)
1.50000000e+03	bottom	(-2.39003704e-03 -1.14116853e-05 -6.18529915e-19)	(-6.24932864e-04 -7.03847963e-08 1.37864012e-18)
1.60000000e+03	bottom	(-2.39006378e-03 -1.14118885e-05 -6.18706718e-19)	(-6.25141973e-04 -7.03860562e-08 1.37862652e-18)
1.70000000e+03	bottom	(-2.39008804e-03 -1.14120969e-05 -6.18868817e-19)	(-6.25329467e-04 -7.03870102e-08 1.37861347e-18)
1.80000000e+03	bottom	(-2.39011013e-03 -1.14123067e-05 -6.19018147e-19)	(-6.25498613e-04 -7.03880219e-08 1.37860085e-18)
1.90000000e+03	bottom	(-2.39013040e-03 -1.14125193e-05 -6.19156855e-19)	(-6.25652431e-04 -7.03890715e-08 1.37858864e-18)
2.00000000e+03	bottom	(-2.39014917e-03 -1.14127355e-05 -6.19287023e-19)	(-6.25793082e-04 -7.03900703e-08 1.37857682e-18)
