# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
100             	bottom	1.44594517e+01	9.30668961e+01	7.44250633e+01
200             	bottom	1.48961981e+01	9.31020918e+01	7.51105839e+01
300             	bottom	1.50561661e+01	9.31226965e+01	7.51647719e+01
400             	bottom	1.51432496e+01	9.31325738e+01	7.51867548e+01
500             	bottom	1.51983161e+01	9.31385248e+01	7.51999813e+01
600             	bottom	1.52369324e+01	9.31425475e+01	7.52090443e+01
700             	bottom	1.52657142e+01	9.31454936e+01	7.52157203e+01
800             	bottom	1.52880646e+01	9.31477651e+01	7.52208769e+01
900             	bottom	1.53060029e+01	9.31495702e+01	7.52249989e+01
1000            	bottom	1.53208998e+01	9.31510692e+01	7.52284239e+01
1100            	bottom	1.53334398e+01	9.31523354e+01	7.52313099e+01
1200            	bottom	1.53441551e+01	9.31534202e+01	7.52337799e+01
1300            	bottom	1.53534333e+01	9.31543637e+01	7.52359250e+01
1400            	bottom	1.53615568e+01	9.31551937e+01	7.52378095e+01
1500            	bottom	1.53687305e+01	9.31559317e+01	7.52394800e+01
1600            	bottom	1.53751206e+01	9.31565929e+01	7.52409739e+01
1700            	bottom	1.53808474e+01	9.31571904e+01	7.52423192e+01
1800            	bottom	1.53860108e+01	9.31577328e+01	7.52435373e+01
1900            	bottom	1.53907041e+01	9.31582291e+01	7.52446505e+01
2000            	bottom	1.53949928e+01	9.31586874e+01	7.52456738e+01
