# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
1               	bottom	1.42637386e+01	2.74661310e+01	2.11797544e+01
2               	bottom	1.41391281e+01	3.77136422e+01	2.86276887e+01
3               	bottom	1.34133685e+01	4.87325790e+01	3.65183748e+01
4               	bottom	1.23389893e+01	5.66410369e+01	4.36368977e+01
5               	bottom	1.11032529e+01	6.21405977e+01	4.97151624e+01
6               	bottom	8.19722559e+00	6.61999608e+01	5.45960889e+01
7               	bottom	6.73460536e+00	6.92964572e+01	5.83743502e+01
8               	bottom	5.90379141e+00	7.17174625e+01	6.12012075e+01
9               	bottom	5.22145215e+00	7.36563771e+01	6.32392190e+01
10              	bottom	4.71258188e+00	7.52422030e+01	6.47080155e+01
11              	bottom	4.23659173e+00	7.65667041e+01	6.57111268e+01
12              	bottom	3.79538082e+00	7.76955851e+01	6.64210472e+01
13              	bottom	3.44387942e+00	7.86796600e+01	6.68560050e+01
14              	bottom	3.27922817e+00	7.95728404e+01	6.71531006e+01
15              	bottom	3.42549563e+00	8.04274806e+01	6.73178121e+01
16              	bottom	3.58142439e+00	8.13134192e+01	6.73739939e+01
17              	bottom	3.65269089e+00	8.23229157e+01	6.73784296e+01
18              	bottom	3.66968418e+00	8.34930327e+01	6.73115837e+01
19              	bottom	3.69323159e+00	8.47658698e+01	6.72296063e+01
20              	bottom	3.84583400e+00	8.60253938e+01	6.70865184e+01
21              	bottom	3.87407187e+00	8.71876311e+01	6.69595147e+01
22              	bottom	4.15935733e+00	8.82849101e+01	6.68194883e+01
23              	bottom	4.29591507e+00	8.92421259e+01	6.66517288e+01
24              	bottom	4.53498967e+00	9.00771625e+01	6.65020824e+01
25              	bottom	4.68482740e+00	9.08086199e+01	6.63254685e+01
26              	bottom	4.96609504e+00	9.14511934e+01	6.61728424e+01
27              	bottom	5.51122281e+00	9.20161541e+01	6.60267453e+01
28              	bottom	5.55650296e+00	9.25114151e+01	6.58553093e+01
29              	bottom	5.94145492e+00	9.29417085e+01	6.57057678e+01
30              	bottom	6.05175179e+00	9.33088881e+01	6.55300262e+01
31              	bottom	6.37636274e+00	9.36116430e+01	6.53814118e+01
32              	bottom	6.89883608e+00	9.38343905e+01	6.52432342e+01
33              	bottom	6.95303743e+00	9.40520262e+01	6.50783605e+01
34              	bottom	7.29134200e+00	9.42343112e+01	6.49370686e+01
35              	bottom	7.73681305e+00	9.43717502e+01	6.48035674e+01
36              	bottom	7.78801543e+00	9.44531318e+01	6.46409914e+01
37              	bottom	8.07749550e+00	9.45676181e+01	6.45058745e+01
38              	bottom	8.42409113e+00	9.46528860e+01	6.43774670e+01
39              	bottom	8.50279435e+00	9.46925647e+01	6.42179845e+01
40              	bottom	8.70227323e+00	9.46897569e+01	6.40883676e+01
41              	bottom	8.95803438e+00	9.47410905e+01	6.39641549e+01
