# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	processor	max(k)	location	cell	processor	max(epsilon)	location	cell	processor	max(nut)	location	cell	processor
0               	0.00000000e+00	(1.84707559e+00 2.01387919e-03 5.00000000e-01)	0	15	1.50000000e-04	(1.84707559e+00 2.01387919e-03 5.00000000e-01)	0	15	1.00000000e-02	(1.84707559e+00 2.01387919e-03 5.00000000e-01)	0	15	2.02500000e-07	(1.84707559e+00 2.01387919e-03 5.00000000e-01)	0	15
1               	1.70136876e-03	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	9	2.48402915e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	111	11	7.98269654e+00	(3.02099817e-01 2.74157932e-06 5.00000000e-01)	1	11	2.13067689e-07	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	111	11
2               	2.83329403e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	8.00033536e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	111	11	1.84789859e+01	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	111	11	3.12010784e-07	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	13	9
3               	3.30515150e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.30811473e-02	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	13	9	5.09223233e+01	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	111	11	3.03215566e-07	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	13	9
4               	3.54530392e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.51122076e-02	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	13	9	8.44532093e+01	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	13	9	2.86460959e-07	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
5               	3.79213484e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.49003934e-02	(1.14047319e-02 8.30186469e-06 5.00000000e-01)	15	9	1.13503578e+02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	9	5.57203203e-07	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
6               	4.08176872e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.36510465e-02	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	12	9	1.22453573e+02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3	9	1.03037863e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
7               	4.36975219e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.21500778e-02	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	12	9	1.17191628e+02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3	9	1.59480186e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
8               	4.63114908e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	1.06445344e-02	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	12	9	1.05243102e+02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3	9	2.05719556e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
9               	4.86567968e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	650	9	9.65577703e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	25	9	9.13938662e+01	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3	9	2.43037360e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	1376	5
