# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
1               	1.00015913e+00	(4.74706631e-03 2.07601726e-03 5.00000000e-01)	8801
2               	1.00034369e+00	(4.74706631e-03 1.72778102e-03 5.00000000e-01)	8201
3               	1.00051958e+00	(4.74706631e-03 2.20558682e-03 5.00000000e-01)	9001
4               	1.00065761e+00	(4.74706631e-03 2.64036299e-03 5.00000000e-01)	9601
5               	1.00090445e+00	(1.56631511e-03 6.89266842e-04 5.00000000e-01)	5400
6               	1.00116195e+00	(1.56631511e-03 6.18655192e-04 5.00000000e-01)	5100
7               	1.00140873e+00	(1.56631511e-03 5.74742199e-04 5.00000000e-01)	4900
8               	1.00164091e+00	(1.56631511e-03 5.33199463e-04 5.00000000e-01)	4700
9               	1.00185980e+00	(1.56631511e-03 5.13276687e-04 5.00000000e-01)	4600
10              	1.00206763e+00	(1.56631511e-03 4.93899048e-04 5.00000000e-01)	4500
11              	1.00226393e+00	(1.56631511e-03 4.75051628e-04 5.00000000e-01)	4400
12              	1.00244891e+00	(1.56631511e-03 4.38889812e-04 5.00000000e-01)	4200
13              	1.00262326e+00	(1.56631511e-03 4.21547581e-04 5.00000000e-01)	4100
14              	1.00278754e+00	(1.56631511e-03 4.04679875e-04 5.00000000e-01)	4000
15              	1.00294256e+00	(1.56631511e-03 3.88273712e-04 5.00000000e-01)	3900
16              	1.00308897e+00	(1.56631511e-03 3.72316461e-04 5.00000000e-01)	3800
17              	1.00322773e+00	(1.56631511e-03 3.72316461e-04 5.00000000e-01)	3800
18              	1.00335919e+00	(1.56631511e-03 3.56795840e-04 5.00000000e-01)	3700
19              	1.00348366e+00	(1.56631511e-03 3.41699902e-04 5.00000000e-01)	3600
20              	1.00360135e+00	(1.56631511e-03 3.27017025e-04 5.00000000e-01)	3500
21              	1.00371211e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
22              	1.00381778e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
23              	1.00391547e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
24              	1.00400752e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
25              	1.00409133e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
26              	1.00416783e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
27              	1.00423852e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
28              	1.00430175e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
29              	1.00435799e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
30              	1.00440768e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
31              	1.00445151e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
32              	1.00449016e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
33              	1.00452403e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
34              	1.00455345e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
35              	1.00457870e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
36              	1.00460004e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
37              	1.00461767e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
38              	1.00463180e+00	(1.56631511e-03 2.85335282e-04 5.00000000e-01)	3200
39              	1.00464346e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
40              	1.00465341e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
41              	1.00466064e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
42              	1.00466524e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
43              	1.00466737e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
44              	1.00466719e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
45              	1.00466487e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
46              	1.00466047e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
47              	1.00465408e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
48              	1.00464584e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
49              	1.00463583e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
50              	1.00462412e+00	(1.56631511e-03 2.98845558e-04 5.00000000e-01)	3300
51              	1.00461245e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
52              	1.00459932e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
53              	1.00458450e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
54              	1.00456795e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
55              	1.00454965e+00	(1.56631511e-03 3.12735908e-04 5.00000000e-01)	3400
56              	1.00453043e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
57              	1.00452324e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
58              	1.00451448e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
59              	1.00450431e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
60              	1.00449296e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
61              	1.00448052e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
62              	1.00446860e+00	(4.74706631e-03 3.88273712e-04 5.00000000e-01)	3901
63              	1.00445610e+00	(4.74706631e-03 3.88273712e-04 5.00000000e-01)	3901
64              	1.00444245e+00	(4.74706631e-03 3.88273712e-04 5.00000000e-01)	3901
