# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.00000000e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.62500000e-07	(3.81516084e-02 4.00664797e-04 5.00000000e-01)	10
1               	1.07624267e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	6.15370145e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.01857063e-03	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202	3.74966236e-06	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
2               	2.18831242e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	1.39939765e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.52693824e-02	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.45894485e-06	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
3               	3.04518273e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	2.19251035e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.23634855e-02	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.49553716e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
4               	3.66587322e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	2.80077899e-03	(1.38241599e+00 4.00664797e-04 5.00000000e-01)	88	1.02690275e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.65704312e-06	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
5               	4.11928400e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	3.29633074e-03	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	1.48263790e-01	(1.38241599e+00 4.00664797e-04 5.00000000e-01)	88	3.89939429e-06	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5
6               	4.44780783e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	3.69974719e-03	(7.33354481e-01 4.00664797e-04 5.00000000e-01)	69	1.89305403e-01	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	4.19065247e-06	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
7               	4.67450032e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.03040364e-03	(5.73900861e-01 4.00664797e-04 5.00000000e-01)	62	2.25099697e-01	(7.33354481e-01 4.00664797e-04 5.00000000e-01)	69	4.51382447e-06	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7
8               	4.81529995e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.30455808e-03	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56	2.55940876e-01	(5.73900861e-01 4.00664797e-04 5.00000000e-01)	62	8.00220408e-06	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
9               	4.89568806e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.53481735e-03	(3.82543562e-01 4.00664797e-04 5.00000000e-01)	51	2.82494305e-01	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56	1.08260299e-05	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
10              	4.93562808e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.73070836e-03	(3.14513681e-01 4.00664797e-04 5.00000000e-01)	46	3.05461541e-01	(3.82543562e-01 4.00664797e-04 5.00000000e-01)	51	1.28623247e-05	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
