# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(epsilon)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.00000000e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.62500000e-07	(1.17399414e+00 4.00664797e-04 5.00000000e-01)	83
1               	7.78587311e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.78829211e-05	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.83761161e-03	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	11	3.49346403e-07	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
2               	1.61863780e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.27064333e-05	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	2.19053609e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.29931962e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
3               	2.21504763e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.21053127e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.60818879e-03	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.40648307e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
4               	2.50965782e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.96600334e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.97550316e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.74777913e-08	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
5               	2.56504281e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.21823393e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.09353981e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.78433030e-08	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
6               	1.00046730e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.63484708e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.46788346e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	4.10420099e-08	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
7               	-6.30766198e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.83455313e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.31242181e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.59528925e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
8               	-1.96412547e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.08820028e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.61561925e-05	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.46841598e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
9               	-2.84928332e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.98550550e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.48217445e-05	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.69910637e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
10              	-3.33555740e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.28107900e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.15233550e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.64473751e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
11              	-3.60148466e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.12628898e-07	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	2.71347293e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.51335222e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
12              	-3.80696315e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.71002206e-07	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.82119180e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.41835275e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
13              	-4.01448402e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.60664756e-07	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.25496003e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.67447470e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
14              	-4.21002443e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.39372742e-07	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	8.87262856e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.55725450e-11	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
15              	-4.36514206e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.30237786e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	6.43032592e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.12413325e-11	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
16              	-4.48573701e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.78837531e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	4.77229490e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.58184079e-12	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
17              	-4.62007038e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.95712857e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	3.62291845e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.63786535e-13	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
18              	-4.82219012e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.00945353e-08	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	2.81010889e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.18902239e-13	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
19              	-5.13205796e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.20292147e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	2.22424575e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.45088567e-14	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
20              	-5.56900359e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.67890355e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.79413966e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.98857917e-15	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
21              	-6.12538307e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.37931622e-09	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.47272547e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.02629910e-15	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
22              	-6.73707736e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.11457745e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.22838352e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.22829228e-16	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
23              	-7.33951691e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.68270366e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.03956017e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.07336987e-17	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
24              	-7.89466751e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.91715383e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	8.91359822e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.20789713e-17	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
25              	-8.40024966e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.00682035e-10	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	7.73345773e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.00952392e-18	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
26              	-8.87012724e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.35861148e-11	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	6.78102026e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	7.88682790e-19	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
27              	-9.31709305e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.91003623e-11	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	6.00283116e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.19629427e-19	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
28              	-9.76873679e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.62618215e-11	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	5.35980658e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.59081570e-20	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
29              	-1.02356938e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.65248788e-12	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	4.82296872e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.16990235e-20	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
30              	-1.07208611e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.32624537e-12	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	4.37054276e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.10697148e-21	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
31              	-1.12214838e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.16312295e-12	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	3.98595703e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.61298855e-21	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
32              	-1.17516955e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.08156152e-12	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	3.65644776e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.07898546e-22	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
33              	-1.23141752e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.40780772e-13	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	3.37207323e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.62965520e-22	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
