# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	9.27948042e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	8.33449025e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
3               	7.24145148e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
4               	6.17039143e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
5               	5.22106048e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
6               	4.43733739e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
7               	3.83911647e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
8               	3.43605161e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
9               	3.16287589e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
10              	2.97696659e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
11              	2.85365439e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
12              	2.77805686e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
13              	2.73937476e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
14              	2.72802706e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
15              	2.73457818e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
16              	2.75082380e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
17              	2.77498105e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
18              	2.79315052e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
19              	2.79445508e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
20              	2.77301225e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
21              	2.72869559e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
22              	2.66547688e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
