# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
1               	bottom	1.42491736e+01	2.72194929e+01	2.10838088e+01
2               	bottom	1.40936068e+01	4.10470913e+01	2.95071187e+01
3               	bottom	1.33296409e+01	5.13786448e+01	3.76431238e+01
4               	bottom	1.22089742e+01	5.80699214e+01	4.46715276e+01
5               	bottom	1.09200678e+01	6.29980648e+01	5.02906081e+01
6               	bottom	7.96342198e+00	6.67417888e+01	5.44906244e+01
7               	bottom	6.45217679e+00	6.96604201e+01	5.74690767e+01
8               	bottom	5.59658839e+00	7.19906516e+01	5.94522833e+01
9               	bottom	4.88714981e+00	7.38910297e+01	6.06480211e+01
10              	bottom	4.35575547e+00	7.54700967e+01	6.12999714e+01
11              	bottom	3.85162319e+00	7.68082326e+01	6.15281766e+01
12              	bottom	3.35299137e+00	7.79712456e+01	6.15236741e+01
13              	bottom	2.88251886e+00	7.89995615e+01	6.13235343e+01
14              	bottom	2.48642079e+00	7.99562992e+01	6.10824794e+01
15              	bottom	2.29961043e+00	8.09056879e+01	6.08158959e+01
16              	bottom	2.40989195e+00	8.19087046e+01	6.05559656e+01
17              	bottom	2.55397677e+00	8.29870959e+01	6.03650268e+01
18              	bottom	2.71071478e+00	8.41340253e+01	6.02113539e+01
19              	bottom	2.77460771e+00	8.52983837e+01	6.01348033e+01
20              	bottom	2.73507164e+00	8.64098611e+01	6.00534239e+01
21              	bottom	2.74054771e+00	8.74378921e+01	6.00189823e+01
22              	bottom	2.87004328e+00	8.83974652e+01	5.99706460e+01
23              	bottom	3.02843855e+00	8.92486046e+01	5.98720557e+01
24              	bottom	3.12136044e+00	8.99855276e+01	5.97680612e+01
25              	bottom	3.33735328e+00	9.06248611e+01	5.96079462e+01
26              	bottom	3.47293258e+00	9.11824019e+01	5.94594827e+01
27              	bottom	3.88276660e+00	9.16706438e+01	5.93090450e+01
28              	bottom	3.97833781e+00	9.20990855e+01	5.91333237e+01
