# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.00000000e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	5.62500000e-07	(2.99232349e-02 2.74157932e-06 5.00000000e-01)	8
1               	1.91851797e-03	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.61913143e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	7.98269654e+00	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.62217866e-07	(-2.60847221e-01 1.40185733e-05 5.00000000e-01)	22541
2               	3.98605053e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.30451241e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	2.62711127e+01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	5.61925785e-07	(-2.60847221e-01 1.40185733e-05 5.00000000e-01)	22541
3               	4.67297686e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.11489101e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	2.71887616e+01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	5.61626835e-07	(-2.60847221e-01 1.40185733e-05 5.00000000e-01)	22541
4               	4.62437903e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.30980528e-03	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	3.55850666e+01	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	5.68467479e-07	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
5               	4.53295728e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.05357313e-03	(1.48877429e-02 8.30186469e-06 5.00000000e-01)	104	4.38791262e+01	(1.96867370e+00 8.30186469e-06 5.00000000e-01)	199	1.04707417e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
6               	4.63366261e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.54542416e-03	(1.14047319e-02 8.30186469e-06 5.00000000e-01)	103	4.64527899e+01	(1.48877429e-02 8.30186469e-06 5.00000000e-01)	104	2.03957217e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
7               	4.85384848e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.13010156e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	4.55937436e+01	(1.14047319e-02 8.30186469e-06 5.00000000e-01)	103	3.39238217e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
8               	5.09025397e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	3.68674375e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	4.32487804e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	4.72712432e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
9               	5.30149329e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	3.14282031e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	4.01367786e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	5.76069452e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
10              	5.48889407e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	2.55786275e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	3.62964177e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	6.66310173e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
11              	5.66331389e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.98320743e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	3.20770072e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	7.52493817e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
12              	5.83079505e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45956097e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	2.77850294e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	8.37677691e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
13              	5.99259778e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.01548836e-03	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	2.36675765e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	9.22713626e-06	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
14              	6.14780404e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	6.65796653e-04	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	1.99069858e+01	(1.56631511e-03 8.30186469e-06 5.00000000e-01)	100	1.00757804e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
15              	6.29608362e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.11125706e-04	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	1.70701055e+01	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.09202597e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
16              	6.43710127e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	2.39966039e-04	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	1.45636818e+01	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.17740709e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
17              	6.57105929e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.47129479e-04	(1.14047319e-02 1.04752491e-04 5.00000000e-01)	1503	1.24335656e+01	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.26368689e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
18              	6.69863644e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46775108e-04	(1.14047319e-02 1.04752491e-04 5.00000000e-01)	1503	1.06777131e+01	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.34952656e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
19              	6.82033183e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46196586e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	9.25717640e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.43527902e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
20              	6.93589972e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45991900e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	8.11775790e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.52111694e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
21              	7.04529208e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45786606e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	7.20451382e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.60705683e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
22              	7.14851948e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45580647e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	6.46947825e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.69309511e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
23              	7.24593734e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45373996e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.87372828e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.77922593e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
24              	7.33806341e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45166638e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.38691160e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.86544338e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
25              	7.42592793e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44958566e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.98574833e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	1.95174164e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
26              	7.51026568e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44749776e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.65243452e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.03811497e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
27              	7.59131072e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44540269e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.37332624e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.12455759e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
28              	7.66906577e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44330040e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.13790585e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.21106360e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
29              	7.74370788e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44234852e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.93800023e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.29762694e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
30              	7.81548443e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44430332e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.76720486e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.38424123e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
31              	7.88459216e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44613035e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.62045811e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.47089980e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
32              	7.95109452e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44784165e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.49372595e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.55759560e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
33              	8.01515133e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.44944776e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.38376642e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.64432116e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
34              	8.07681605e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45095801e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.28795331e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.73106859e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
35              	8.13603111e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45238061e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.20414314e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.81782957e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
36              	8.19285988e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45372287e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.13057380e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.90459540e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
37              	8.24758568e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45499129e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.06578683e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	2.99135698e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
38              	8.30033995e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45619169e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	3.00856733e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.07810490e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
39              	8.35104385e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45732929e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.95788960e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.16482949e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
40              	8.39987104e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45840879e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.91286411e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.25152085e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
41              	8.44688548e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.45943440e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.87275123e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.33816896e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
42              	8.49222201e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46040998e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.83692638e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.42476376e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
43              	8.53600511e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46133898e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.80487365e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.51129514e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
44              	8.57819962e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46222458e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.77614669e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.59775312e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
45              	8.61893025e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46306965e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.75035846e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.68412780e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
46              	8.65832985e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46387683e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.72717271e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.77040951e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
47              	8.69656991e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46464854e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.70629670e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.85658881e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
48              	8.73369599e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46538697e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.68747386e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	3.94265653e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
49              	8.76963159e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46609418e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.67047931e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	4.02860384e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
50              	8.80413906e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.46677203e-04	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180	2.65511649e+00	(1.56631511e-03 1.40185733e-05 5.00000000e-01)	200	4.11442225e-05	(-3.07934261e-01 8.67855495e-01 5.00000000e-01)	27180
