# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(epsilon)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.00000000e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	5.62499870e-07	(1.84707559e+00 2.74157932e-06 5.00000000e-01)	97
1               	4.32452514e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.87115628e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.37884186e-03	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.63957590e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
2               	7.79788086e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.30560485e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.92315746e-03	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.16917527e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
3               	6.87809114e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.21037267e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.60813976e-03	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.49483630e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
4               	-7.19569150e-04	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.96582029e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.97495782e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.69501966e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
5               	-1.42375608e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.21804699e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.09300202e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.73155787e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
6               	-1.94619175e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	7.63308798e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.94554090e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.64324775e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
7               	-2.33320203e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	4.83299129e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.74014001e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.47892756e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
8               	-2.64719366e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	3.08687256e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.05221331e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.27314414e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
9               	-2.91970757e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.98441453e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.52272025e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.05078201e-09	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
10              	-3.15955576e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.28020739e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.15003082e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.32133512e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
11              	-3.36935175e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	8.25805487e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.71163970e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.32046551e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
12              	-3.55408331e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	5.30319212e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.81973716e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.60055817e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
13              	-3.72056081e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	3.37360902e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.25380396e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.20831806e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
14              	-3.87358755e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	2.11433212e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.86339787e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.14463961e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
15              	-4.01569736e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.29813728e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.42290376e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.30944575e-10	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
16              	-4.14706720e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	7.76710179e-08	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.76627391e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.23410518e-11	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
17              	-4.26774658e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	4.51088545e-08	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.61798355e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.25432852e-11	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
18              	-4.37864462e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	2.53855969e-08	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.80601763e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.50774224e-12	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
19              	-4.48038015e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.38601841e-08	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.22081221e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	9.47186161e-13	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
20              	-4.57323231e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	7.37105839e-09	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.79122160e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.50613776e-13	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
21              	-4.65718584e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	3.83967453e-09	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.47021431e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.55382565e-14	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
22              	-4.73227663e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.97042931e-09	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.22619645e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.70218569e-14	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
23              	-4.79894055e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.00103954e-09	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.03763392e-06	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.40237513e-15	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
24              	-4.85769416e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	5.05297304e-10	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.89645790e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.13542293e-15	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
25              	-4.90918273e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	2.54054091e-10	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	7.71806307e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.92255376e-16	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
26              	-4.95460171e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.27432626e-10	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.76707648e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	7.51102137e-17	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
27              	-4.99470772e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	6.38316522e-11	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.99010483e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.92791530e-17	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
28              	-5.02962714e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	3.19482488e-11	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.34811070e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.94321737e-18	(1.96867370e+00 4.51068900e-05 5.00000000e-01)	799
