# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-6.10178752e-03 -5.43395089e-05 -6.17460102e-17)	(-1.50576749e-03 1.25592422e-09 7.24252426e-21)
2.00000000e+02	bottom	(-6.08122862e-03 -5.42207424e-05 -6.31054610e-17)	(-9.38599873e-04 -7.97883657e-13 3.27362751e-20)
3.00000000e+02	bottom	(-6.07124567e-03 -5.41539602e-05 -6.30903373e-17)	(-6.92890732e-04 -1.57767809e-12 1.64283377e-19)
4.00000000e+02	bottom	(-6.06673934e-03 -5.41197594e-05 -6.77741054e-18)	(-5.50036532e-04 -1.79513446e-12 1.39552231e-17)
5.00000000e+02	bottom	(-6.06474717e-03 -5.41029692e-05 -6.78137776e-18)	(-4.55092250e-04 -1.97987677e-12 1.39800045e-17)
6.00000000e+02	bottom	(-6.06409242e-03 -5.40955609e-05 -6.78535667e-18)	(-3.86857974e-04 -2.35933504e-12 1.39983544e-17)
7.00000000e+02	bottom	(-6.06424012e-03 -5.40931274e-05 -6.78674515e-18)	(-3.35293732e-04 -3.30110653e-12 1.40091841e-17)
8.00000000e+02	bottom	(-6.06463724e-03 -5.40925764e-05 -6.78745346e-18)	(-2.95025927e-04 -5.13687618e-12 1.40142040e-17)
9.00000000e+02	bottom	(-6.06514094e-03 -5.40931087e-05 -6.78815461e-18)	(-2.62903369e-04 -7.95533123e-12 1.40142380e-17)
1.00000000e+03	bottom	(-6.06569469e-03 -5.40943482e-05 -6.78896397e-18)	(-2.36916706e-04 -1.15992577e-11 1.40138197e-17)
1.10000000e+03	bottom	(-6.06627332e-03 -5.40960749e-05 -6.78967163e-18)	(-2.15686716e-04 -1.58081819e-11 1.40129021e-17)
1.20000000e+03	bottom	(-6.06689551e-03 -5.40980888e-05 -6.79052734e-18)	(-1.98213984e-04 -2.02196558e-11 1.40129853e-17)
1.30000000e+03	bottom	(-6.06752076e-03 -5.41002579e-05 -6.79155014e-18)	(-1.83747790e-04 -2.45223159e-11 1.40140352e-17)
1.40000000e+03	bottom	(-6.06813784e-03 -5.41025498e-05 -6.79256198e-18)	(-1.71710896e-04 -2.87420822e-11 1.40151011e-17)
1.50000000e+03	bottom	(-6.06874814e-03 -5.41049156e-05 -6.79354166e-18)	(-1.61652387e-04 -3.28002158e-11 1.40161515e-17)
1.60000000e+03	bottom	(-6.06934342e-03 -5.41072900e-05 -6.79448067e-18)	(-1.53216038e-04 -3.66522365e-11 1.40171443e-17)
1.70000000e+03	bottom	(-6.06991666e-03 -5.41096047e-05 -6.79536850e-18)	(-1.46117866e-04 -4.02759086e-11 1.40180933e-17)
1.80000000e+03	bottom	(-6.07046110e-03 -5.41118108e-05 -6.79620916e-18)	(-1.40129624e-04 -4.36630700e-11 1.40190061e-17)
1.90000000e+03	bottom	(-6.07096920e-03 -5.41138764e-05 -6.79697568e-18)	(-1.35066565e-04 -4.68144879e-11 1.40198394e-17)
2.00000000e+03	bottom	(-6.07143886e-03 -5.41157881e-05 -6.79767530e-18)	(-1.30778124e-04 -4.97357425e-11 1.40205844e-17)
