# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	9.19553658e-02	9.19553658e-02	9.19553658e-02
100             	bottom	1.11879769e-07	4.76632486e-03	4.80225870e-05
200             	bottom	1.11879769e-07	4.32712679e-03	4.35397295e-05
300             	bottom	1.11879769e-07	3.90433872e-03	3.92527484e-05
400             	bottom	1.11879769e-07	3.51632568e-03	3.53349755e-05
500             	bottom	1.11879769e-07	3.16447438e-03	3.17919334e-05
600             	bottom	1.11879769e-07	2.84555707e-03	2.85862806e-05
700             	bottom	1.11879769e-07	2.55600422e-03	2.56782553e-05
800             	bottom	1.11879769e-07	2.29279281e-03	2.35131443e-05
900             	bottom	1.11879769e-07	2.05378573e-03	2.09541114e-05
1000            	bottom	1.11879769e-07	1.83760930e-03	1.86790989e-05
1100            	bottom	1.11879769e-07	1.64427631e-03	1.66741028e-05
1200            	bottom	1.11879769e-07	1.47556729e-03	1.49418860e-05
1300            	bottom	1.11879769e-07	1.33497210e-03	1.35081546e-05
1400            	bottom	1.11879769e-07	1.22765643e-03	1.23902214e-05
1500            	bottom	1.11879769e-07	1.15922375e-03	1.17050914e-05
1600            	bottom	1.11879769e-07	1.13083437e-03	1.14239275e-05
1700            	bottom	1.11879769e-07	1.13958916e-03	1.15132165e-05
1800            	bottom	1.11879769e-07	1.17733068e-03	1.18918420e-05
1900            	bottom	1.11879769e-07	1.23354788e-03	1.24548795e-05
2000            	bottom	1.11879769e-07	1.29943433e-03	1.31143757e-05
