# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
1               	bottom	6.79620185e+01	1.16805705e+02	9.52550998e+01
2               	bottom	4.18321592e+01	1.16069894e+02	7.54726232e+01
3               	bottom	3.57307329e+01	1.15920932e+02	6.75708035e+01
4               	bottom	3.73831985e+01	1.15872496e+02	6.43400400e+01
5               	bottom	3.93831325e+01	1.15997462e+02	6.40263521e+01
6               	bottom	4.48430462e+01	1.16020199e+02	6.59033109e+01
7               	bottom	4.77892049e+01	1.15837373e+02	6.81416176e+01
8               	bottom	5.01274234e+01	1.15820109e+02	6.98474302e+01
9               	bottom	5.21003669e+01	1.15823851e+02	7.14676722e+01
10              	bottom	5.37962317e+01	1.15830923e+02	7.29564284e+01
11              	bottom	5.52037813e+01	1.15838243e+02	7.42770706e+01
12              	bottom	5.64089231e+01	1.15843508e+02	7.54300783e+01
13              	bottom	5.74384695e+01	1.15847167e+02	7.64265456e+01
14              	bottom	5.83032243e+01	1.15849438e+02	7.72797211e+01
15              	bottom	5.90637486e+01	1.15850042e+02	7.80083184e+01
16              	bottom	5.97282740e+01	1.15850220e+02	7.86316550e+01
17              	bottom	6.03162198e+01	1.15849457e+02	7.91657926e+01
18              	bottom	6.08437650e+01	1.15849117e+02	7.96232535e+01
19              	bottom	6.13340171e+01	1.15847895e+02	8.00153730e+01
20              	bottom	6.17990954e+01	1.15847460e+02	8.03516083e+01
21              	bottom	6.22482968e+01	1.15846596e+02	8.06407354e+01
22              	bottom	6.26883443e+01	1.15846782e+02	8.08905518e+01
23              	bottom	6.31215063e+01	1.15846821e+02	8.11073465e+01
24              	bottom	6.35463027e+01	1.15847316e+02	8.12966791e+01
25              	bottom	6.39587897e+01	1.15847653e+02	8.14628963e+01
26              	bottom	6.43555848e+01	1.15848117e+02	8.16094839e+01
27              	bottom	6.47343824e+01	1.15848376e+02	8.17392397e+01
28              	bottom	6.50936130e+01	1.15848919e+02	8.18545204e+01
29              	bottom	6.54316654e+01	1.15849080e+02	8.19572384e+01
30              	bottom	6.57470868e+01	1.15849441e+02	8.20490084e+01
31              	bottom	6.60397808e+01	1.15849779e+02	8.21311650e+01
32              	bottom	6.63104790e+01	1.15849897e+02	8.22047729e+01
33              	bottom	6.65604973e+01	1.15850099e+02	8.22708196e+01
34              	bottom	6.67912133e+01	1.15849948e+02	8.23300549e+01
35              	bottom	6.70040509e+01	1.15849620e+02	8.23834327e+01
36              	bottom	6.72006519e+01	1.15849192e+02	8.24315491e+01
37              	bottom	6.73826806e+01	1.15848912e+02	8.24751731e+01
38              	bottom	6.75517474e+01	1.15848945e+02	8.25146742e+01
39              	bottom	6.77092259e+01	1.15849288e+02	8.25504079e+01
40              	bottom	6.78562494e+01	1.15849771e+02	8.25826998e+01
41              	bottom	6.79937918e+01	1.15850334e+02	8.26119073e+01
42              	bottom	6.81227017e+01	1.15850885e+02	8.26383235e+01
43              	bottom	6.82436960e+01	1.15851406e+02	8.26622113e+01
44              	bottom	6.83573706e+01	1.15851854e+02	8.26838075e+01
45              	bottom	6.84642232e+01	1.15852236e+02	8.27033103e+01
46              	bottom	6.85646588e+01	1.15852539e+02	8.27209004e+01
47              	bottom	6.86590005e+01	1.15852779e+02	8.27367145e+01
48              	bottom	6.87475142e+01	1.15852919e+02	8.27508490e+01
49              	bottom	6.88304328e+01	1.15852881e+02	8.27633477e+01
50              	bottom	6.89079795e+01	1.15852511e+02	8.27744832e+01
51              	bottom	6.89803636e+01	1.15852006e+02	8.27842972e+01
52              	bottom	6.90477734e+01	1.15851316e+02	8.27932724e+01
53              	bottom	6.91104272e+01	1.15851035e+02	8.28014141e+01
54              	bottom	6.91685287e+01	1.15851089e+02	8.28087813e+01
55              	bottom	6.92222805e+01	1.15851399e+02	8.28153413e+01
56              	bottom	6.92718528e+01	1.15851819e+02	8.28211723e+01
57              	bottom	6.93174578e+01	1.15852273e+02	8.28263690e+01
58              	bottom	6.93593216e+01	1.15852702e+02	8.28310117e+01
59              	bottom	6.93976749e+01	1.15853225e+02	8.28351712e+01
60              	bottom	6.94327287e+01	1.15853723e+02	8.28389046e+01
61              	bottom	6.94646869e+01	1.15853978e+02	8.28422216e+01
62              	bottom	6.94937460e+01	1.15854258e+02	8.28451682e+01
63              	bottom	6.95201024e+01	1.15854438e+02	8.28477204e+01
