# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
1               	1.56612442e-03	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.21467794e-03	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	3.05884491e-07	(-2.60847221e-01 8.67855495e-01 5.00000000e-01)	27181
2               	3.21564261e-03	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	4.34782764e-04	(4.74706631e-03 1.98961056e-05 5.00000000e-01)	301	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	4.09845897e-07	(1.96867370e+00 1.39772132e-02 5.00000000e-01)	15499
3               	4.91237111e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	3.68517576e-04	(4.74706631e-03 2.59389861e-05 5.00000000e-01)	401	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	4.99004931e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199
4               	6.62410007e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	3.82683901e-04	(8.02553783e-03 3.21518662e-05 5.00000000e-01)	502	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.45851418e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199
5               	8.28979779e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.08281981e-04	(8.02553783e-03 3.85395285e-05 5.00000000e-01)	602	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.65581460e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199
6               	9.73847194e-03	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.38577063e-04	(8.02553783e-03 4.51068900e-05 5.00000000e-01)	702	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.70045409e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199
7               	1.05863102e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	4.70010990e-04	(8.02553783e-03 5.18590060e-05 5.00000000e-01)	802	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.66776333e-07	(1.96867370e+00 2.38136088e-02 5.00000000e-01)	17399
8               	1.03430045e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.05582077e-04	(8.02553783e-03 5.18590060e-05 5.00000000e-01)	802	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.62309415e-07	(1.96867370e+00 1.56405543e-02 5.00000000e-01)	15899
9               	1.02615314e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.43244802e-04	(8.02553783e-03 5.88010740e-05 5.00000000e-01)	902	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.57255941e-07	(1.96867370e+00 1.28454028e-02 5.00000000e-01)	15199
10              	1.02175419e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	5.87120829e-04	(8.02553783e-03 5.88010740e-05 5.00000000e-01)	902	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.51793263e-07	(1.96867370e+00 1.11563261e-02 5.00000000e-01)	14699
11              	1.01519659e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	6.34237295e-04	(1.14047319e-02 6.59384379e-05 5.00000000e-01)	1003	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.46047134e-07	(1.96867370e+00 1.02497967e-02 5.00000000e-01)	14399
12              	1.00466603e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	6.92991870e-04	(8.02553783e-03 6.59384379e-05 5.00000000e-01)	1002	2.12871908e+06	(1.12064854e-01 2.74157932e-06 5.00000000e-01)	24	5.40141582e-07	(1.96867370e+00 9.41566433e-03 5.00000000e-01)	14099
