# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
1               	1.00056554e+00	(4.74706631e-03 2.07601726e-03 5.00000000e-01)	8801
2               	1.00098793e+00	(4.74706631e-03 1.83748166e-03 5.00000000e-01)	8401
3               	1.00120685e+00	(4.74706631e-03 1.62400161e-03 5.00000000e-01)	8001
4               	1.00147310e+00	(4.74706631e-03 9.71976110e-04 5.00000000e-01)	6401
5               	1.00174478e+00	(4.74706631e-03 1.38840326e-03 5.00000000e-01)	7501
6               	1.00192699e+00	(4.74706631e-03 1.67517156e-03 5.00000000e-01)	8101
7               	1.00243339e+00	(4.74706631e-03 4.75051628e-04 5.00000000e-01)	4401
8               	1.00325100e+00	(4.74706631e-03 4.75051628e-04 5.00000000e-01)	4401
9               	1.00395815e+00	(4.74706631e-03 4.56719920e-04 5.00000000e-01)	4301
10              	1.00438883e+00	(4.74706631e-03 4.38889812e-04 5.00000000e-01)	4201
11              	1.00466493e+00	(4.74706631e-03 4.21547581e-04 5.00000000e-01)	4101
12              	1.00486336e+00	(4.74706631e-03 4.04679875e-04 5.00000000e-01)	4001
13              	1.00502276e+00	(4.74706631e-03 3.88273712e-04 5.00000000e-01)	3901
14              	1.00514555e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
15              	1.00522754e+00	(4.74706631e-03 3.56795840e-04 5.00000000e-01)	3701
16              	1.00529987e+00	(4.74706631e-03 3.56795840e-04 5.00000000e-01)	3701
17              	1.00535994e+00	(4.74706631e-03 3.56795840e-04 5.00000000e-01)	3701
18              	1.00541662e+00	(4.74706631e-03 3.56795840e-04 5.00000000e-01)	3701
19              	1.00545970e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
20              	1.00549024e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
21              	1.00549839e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
22              	1.00549732e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
23              	1.00546438e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
24              	1.00540298e+00	(4.74706631e-03 3.41699902e-04 5.00000000e-01)	3601
25              	1.00530059e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
26              	1.00517929e+00	(8.02553783e-03 3.72316461e-04 5.00000000e-01)	3802
27              	1.00519902e+00	(8.02553783e-03 3.88273712e-04 5.00000000e-01)	3902
