# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
1               	5.59027654e-07	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.00859487e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.79504432e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.69955170e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
2               	3.32308727e-07	(1.96867370e+00 3.98609167e-03 5.00000000e-01)	11099	2.51672989e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.19010455e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.19940752e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
3               	-1.26597100e-04	(2.99232349e-02 6.18655192e-04 5.00000000e-01)	5108	1.61738914e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.24122877e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.55955620e-11	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
4               	-4.36099283e-04	(1.84777604e-02 2.98845558e-04 5.00000000e-01)	3305	1.18485831e-05	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.17066087e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	5.69997464e-12	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
5               	-1.04668391e-03	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2	2.92965227e-06	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	1.65545253e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.37625124e-12	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
6               	-2.12853119e-03	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2	8.68414809e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	1.36130646e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.07951814e-13	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
7               	-3.52052722e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	3.67527348e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	1.17432404e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.72651878e-13	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
8               	-4.56379953e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	2.24596330e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	1.04659258e+01	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.05507736e-13	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
9               	-5.36650420e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.71758727e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	9.54786064e+00	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	8.06864226e-14	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
10              	-6.02315858e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.45846719e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	8.86285643e+00	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.85138405e-14	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
11              	-6.54571479e-03	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	1.30272695e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	8.33701707e+00	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.11976920e-14	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
