# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-6.13682389e-03 -5.42321419e-05 0.00000000e+00)	(-1.77034418e-03 7.74063222e-07 0.00000000e+00)
2.00000000e+02	bottom	(-6.11868072e-03 -5.41616910e-05 0.00000000e+00)	(-1.61184898e-03 1.05455353e-07 0.00000000e+00)
3.00000000e+02	bottom	(-6.11159687e-03 -5.41285806e-05 0.00000000e+00)	(-1.50979267e-03 1.60656463e-07 0.00000000e+00)
4.00000000e+02	bottom	(-6.10781432e-03 -5.41152160e-05 0.00000000e+00)	(-1.43944449e-03 8.85189966e-07 0.00000000e+00)
5.00000000e+02	bottom	(-6.10556998e-03 -5.41069985e-05 0.00000000e+00)	(-1.38598066e-03 1.25264842e-06 0.00000000e+00)
6.00000000e+02	bottom	(-6.10425621e-03 -5.41057250e-05 0.00000000e+00)	(-1.34462367e-03 4.04924921e-07 0.00000000e+00)
7.00000000e+02	bottom	(-6.10343422e-03 -5.41089048e-05 0.00000000e+00)	(-1.31238244e-03 4.13830308e-07 0.00000000e+00)
8.00000000e+02	bottom	(-6.10297180e-03 -5.41020721e-05 0.00000000e+00)	(-1.28705294e-03 4.25712358e-07 0.00000000e+00)
9.00000000e+02	bottom	(-6.10272856e-03 -5.41045477e-05 0.00000000e+00)	(-1.26698048e-03 3.46156295e-07 0.00000000e+00)
1.00000000e+03	bottom	(-6.10252959e-03 -5.41041002e-05 0.00000000e+00)	(-1.25097613e-03 5.05788084e-07 0.00000000e+00)
1.10000000e+03	bottom	(-6.10243254e-03 -5.41032435e-05 0.00000000e+00)	(-1.23813045e-03 1.89509943e-08 0.00000000e+00)
1.20000000e+03	bottom	(-6.10239031e-03 -5.40957783e-05 0.00000000e+00)	(-1.22775213e-03 4.71952094e-07 0.00000000e+00)
1.30000000e+03	bottom	(-6.10242617e-03 -5.41126959e-05 0.00000000e+00)	(-1.21931640e-03 7.41907010e-07 0.00000000e+00)
1.40000000e+03	bottom	(-6.10238936e-03 -5.41005050e-05 0.00000000e+00)	(-1.21242868e-03 2.17886873e-07 0.00000000e+00)
1.50000000e+03	bottom	(-6.10234635e-03 -5.41015298e-05 0.00000000e+00)	(-1.20680238e-03 6.95926906e-07 0.00000000e+00)
1.60000000e+03	bottom	(-6.10233760e-03 -5.41042065e-05 0.00000000e+00)	(-1.20222851e-03 4.29887252e-07 0.00000000e+00)
1.70000000e+03	bottom	(-6.10232723e-03 -5.41028353e-05 0.00000000e+00)	(-1.19853796e-03 -1.95600850e-10 0.00000000e+00)
1.80000000e+03	bottom	(-6.10232042e-03 -5.40960302e-05 0.00000000e+00)	(-1.19558497e-03 9.89775540e-07 0.00000000e+00)
1.90000000e+03	bottom	(-6.10233513e-03 -5.40953879e-05 0.00000000e+00)	(-1.19324281e-03 4.84735504e-07 0.00000000e+00)
2.00000000e+03	bottom	(-6.10237505e-03 -5.41059946e-05 0.00000000e+00)	(-1.19139928e-03 5.04454529e-07 0.00000000e+00)
