# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	3.71797549e+00	3.71797549e+00	3.71797549e+00
100             	bottom	5.76766030e-01	1.07385691e+00	5.90489106e-01
200             	bottom	5.50342426e-01	1.07226836e+00	5.73558718e-01
300             	bottom	5.32634720e-01	1.07164749e+00	5.64724424e-01
400             	bottom	5.20077755e-01	1.07131587e+00	5.59932692e-01
500             	bottom	5.10328006e-01	1.07111906e+00	5.56916640e-01
600             	bottom	5.02656371e-01	1.07100385e+00	5.54944597e-01
700             	bottom	4.96593495e-01	1.07093175e+00	5.53639228e-01
800             	bottom	4.91777913e-01	1.07089119e+00	5.52757892e-01
900             	bottom	4.87928038e-01	1.07086984e+00	5.52152771e-01
1000            	bottom	4.84836530e-01	1.07085239e+00	5.51731187e-01
1100            	bottom	4.82340824e-01	1.07084388e+00	5.51433893e-01
1200            	bottom	4.80315026e-01	1.07084017e+00	5.51221833e-01
1300            	bottom	4.78662091e-01	1.07084332e+00	5.51071085e-01
1400            	bottom	4.77308222e-01	1.07084008e+00	5.50964812e-01
1500            	bottom	4.76199464e-01	1.07083631e+00	5.50891688e-01
1600            	bottom	4.75296183e-01	1.07083555e+00	5.50842559e-01
1700            	bottom	4.74566099e-01	1.07083464e+00	5.50810933e-01
1800            	bottom	4.73981119e-01	1.07083404e+00	5.50791932e-01
1900            	bottom	4.73516627e-01	1.07083533e+00	5.50782280e-01
2000            	bottom	4.73150702e-01	1.07083884e+00	5.50778810e-01
