# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.50000000e-04	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	7.50000000e+02	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.00000000e-07	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	4.26921879e-04	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.21452215e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	3.04405498e-07	(-2.42411298e-01 9.42574530e-01 5.00000000e-01)	12922
2               	6.11471707e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	3.52776211e-04	(6.03404640e-03 5.08654275e-06 5.00000000e-01)	297	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	4.11028759e-07	(1.03343445e+00 9.42574530e-01 5.00000000e-01)	13033
3               	7.79301640e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.66158639e-04	(6.03404640e-03 9.47509236e-06 5.00000000e-01)	569	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	4.83959290e-07	(1.07639292e+00 9.42574530e-01 5.00000000e-01)	13034
4               	9.74513197e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49013152e-04	(-2.00507731e-03 3.02191818e-06 5.00000000e-01)	159	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.22248085e-07	(1.76372842e+00 9.42574530e-01 5.00000000e-01)	13050
5               	1.19091869e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.48751638e-04	(-2.00507731e-03 3.02191818e-06 5.00000000e-01)	159	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.47313425e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055
6               	1.42346068e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.48476442e-04	(-2.00507731e-03 3.02191818e-06 5.00000000e-01)	159	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.61514863e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055
7               	1.66992875e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.48191194e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.67568622e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055
8               	1.92887381e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.47891905e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.66962659e-07	(1.97852077e+00 7.16096644e-03 5.00000000e-01)	7615
9               	2.19644760e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.47578482e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.62246397e-07	(1.97852077e+00 5.61053279e-03 5.00000000e-01)	7343
10              	2.46841939e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.50148851e-04	(6.03404640e-03 6.84668997e-05 5.00000000e-01)	2337	1.59257928e+07	(6.12903168e-01 1.00232707e-06 5.00000000e-01)	99	5.53786149e-07	(1.97852077e+00 4.39578401e-03 5.00000000e-01)	7071
