# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.50000000e-04	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	7.50000000e+02	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.00000000e-07	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	2.12885792e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.54854923e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.91845685e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.62526792e-11	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
2               	1.60811452e-07	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	2.94837189e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.31564354e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.58121740e-11	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
3               	-3.20986470e-05	(3.95627780e-02 2.07860567e-04 5.00000000e-01)	3569	1.91892958e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.00657276e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.30626859e-12	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
4               	-1.14883252e-04	(2.66969903e-02 2.07860567e-04 5.00000000e-01)	3566	1.11707900e-05	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117	2.67315950e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.01427560e-13	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117
5               	-2.12514628e-04	(1.83219665e-02 1.62696837e-04 5.00000000e-01)	3292	2.42957369e-06	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117	1.98517147e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.52555903e-13	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117
6               	-3.24949476e-04	(1.41907466e-02 1.12521630e-04 5.00000000e-01)	2883	5.54085010e-07	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117	1.57417466e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.47916753e-14	(1.20526833e+00 1.00232707e-06 5.00000000e-01)	117
7               	-4.54276987e-04	(1.41907466e-02 1.72117274e-05 5.00000000e-01)	979	1.38975825e-07	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.30638561e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.72646196e-15	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
8               	-5.84572889e-04	(1.00952164e-02 1.44305481e-05 5.00000000e-01)	842	4.17613790e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.12317947e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.62224805e-15	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
9               	-7.29753717e-04	(1.00952164e-02 1.44305481e-05 5.00000000e-01)	842	1.65008743e-08	(1.07639292e+00 1.00232707e-06 5.00000000e-01)	114	9.94779466e+00	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.03611008e-15	(1.07639292e+00 1.00232707e-06 5.00000000e-01)	114
10              	-8.72708601e-04	(1.00952164e-02 1.18644168e-05 5.00000000e-01)	706	8.68229913e-09	(1.07639292e+00 1.00232707e-06 5.00000000e-01)	114	9.03851596e+00	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.45172178e-16	(1.07639292e+00 1.00232707e-06 5.00000000e-01)	114
