# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-5.28212289e-03 -3.51106250e-05 -1.68376404e-17)	(-1.26753741e-03 -3.60972310e-11 7.25550201e-19)
2.00000000e+02	bottom	(-5.26176948e-03 -3.50565389e-05 -8.57230615e-19)	(-1.22390011e-03 -7.29093872e-11 1.05182801e-18)
3.00000000e+02	bottom	(-5.24870887e-03 -3.50129861e-05 -8.61749289e-19)	(-1.20820256e-03 -8.47156856e-11 9.56272821e-19)
4.00000000e+02	bottom	(-5.24066260e-03 -3.49869521e-05 -8.60697469e-19)	(-1.20739251e-03 -8.69056215e-11 8.94676335e-19)
5.00000000e+02	bottom	(-5.23553852e-03 -3.49710621e-05 -8.60039706e-19)	(-1.20746001e-03 -8.71557389e-11 8.53940973e-19)
6.00000000e+02	bottom	(-5.23212326e-03 -3.49608948e-05 -8.59594689e-19)	(-1.20749373e-03 -8.71551490e-11 8.25838898e-19)
7.00000000e+02	bottom	(-5.22975877e-03 -3.49540891e-05 -8.59287470e-19)	(-1.20749940e-03 -8.71492188e-11 8.04480438e-19)
8.00000000e+02	bottom	(-5.22806890e-03 -3.49493918e-05 -8.59071357e-19)	(-1.20749972e-03 -8.71476820e-11 7.87566917e-19)
9.00000000e+02	bottom	(-5.22679027e-03 -3.49460553e-05 -8.58916051e-19)	(-1.20749952e-03 -8.71472692e-11 7.74679799e-19)
1.00000000e+03	bottom	(-5.22585864e-03 -3.49437895e-05 -8.58808675e-19)	(-1.20749936e-03 -8.71468880e-11 7.64854413e-19)
1.10000000e+03	bottom	(-5.22518161e-03 -3.49422178e-05 -8.58739053e-19)	(-1.20749924e-03 -8.71468359e-11 7.57325160e-19)
1.20000000e+03	bottom	(-5.22466960e-03 -3.49410815e-05 -8.58691732e-19)	(-1.20749914e-03 -8.71467968e-11 7.51348337e-19)
1.30000000e+03	bottom	(-5.22427392e-03 -3.49402420e-05 -8.58660146e-19)	(-1.20749908e-03 -8.71466126e-11 7.46461877e-19)
1.40000000e+03	bottom	(-5.22396704e-03 -3.49396210e-05 -8.58640872e-19)	(-1.20749906e-03 -8.71464417e-11 7.42416697e-19)
1.50000000e+03	bottom	(-5.22372979e-03 -3.49391668e-05 -8.58629975e-19)	(-1.20749908e-03 -8.71466142e-11 7.39090038e-19)
1.60000000e+03	bottom	(-5.22354721e-03 -3.49388373e-05 -8.58623731e-19)	(-1.20749914e-03 -8.71466320e-11 7.36375401e-19)
1.70000000e+03	bottom	(-5.22340734e-03 -3.49385938e-05 -8.58620500e-19)	(-1.20749920e-03 -8.71466477e-11 7.34172407e-19)
1.80000000e+03	bottom	(-5.22330018e-03 -3.49384198e-05 -8.58618932e-19)	(-1.20749926e-03 -8.71468154e-11 7.32400457e-19)
1.90000000e+03	bottom	(-5.22321917e-03 -3.49382944e-05 -8.58628698e-19)	(-1.20749936e-03 -8.71469027e-11 7.30758236e-19)
2.00000000e+03	bottom	(-5.22315752e-03 -3.49382073e-05 -8.58624054e-19)	(-1.20749986e-03 -8.71479167e-11 7.29634430e-19)
