# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	3.36190721e-02	3.36190721e-02	3.36190721e-02
100             	bottom	2.13004964e-04	4.98120820e-04	2.80603702e-04
200             	bottom	2.09437868e-04	5.13323688e-04	3.02792180e-04
300             	bottom	2.07449510e-04	5.12847865e-04	3.03074691e-04
400             	bottom	1.86873093e-04	5.12538393e-04	3.02817756e-04
500             	bottom	1.64862061e-04	5.12322361e-04	3.02598926e-04
600             	bottom	1.47824925e-04	5.12169420e-04	3.02427836e-04
700             	bottom	1.34354799e-04	5.12059074e-04	3.02293035e-04
800             	bottom	1.23550443e-04	5.11973556e-04	3.02185451e-04
900             	bottom	1.14804113e-04	5.11911404e-04	3.02099095e-04
1000            	bottom	1.07678968e-04	5.11867644e-04	3.02029346e-04
1100            	bottom	1.01636386e-04	5.11833310e-04	3.01970714e-04
1200            	bottom	9.63343777e-05	5.11806557e-04	3.01919742e-04
1300            	bottom	9.17046194e-05	5.11785583e-04	3.01875532e-04
1400            	bottom	8.77395149e-05	5.11768952e-04	3.01837866e-04
1500            	bottom	8.44076923e-05	5.11755462e-04	3.01806371e-04
1600            	bottom	8.16565893e-05	5.11744371e-04	3.01780416e-04
1700            	bottom	7.94118632e-05	5.11735248e-04	3.01759263e-04
1800            	bottom	7.76027602e-05	5.11727761e-04	3.01742226e-04
1900            	bottom	7.61523610e-05	5.11722491e-04	3.01729108e-04
2000            	bottom	7.50005781e-05	5.11717433e-04	3.01718611e-04
