# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.50000000e+02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	8.47889839e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.21434467e-03	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	2.77837624e-07	(1.04954388e+00 9.84980311e-01 5.00000000e-01)	208807
2               	6.63316489e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	3.83398355e-04	(5.00000000e-04 1.75325760e-06 5.00000000e-01)	1728	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.29358803e-07	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
3               	5.63205433e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.86531730e-04	(5.00000000e-04 2.76280843e-06 5.00000000e-01)	2816	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.58749593e-07	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
4               	5.40441685e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49885229e-04	(5.00000000e-04 1.54192394e-05 5.00000000e-01)	14784	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.75956266e-07	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
5               	5.41430309e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49855443e-04	(5.00000000e-04 1.54192394e-05 5.00000000e-01)	14784	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.86486308e-07	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
6               	5.52233052e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49852339e-04	(-3.17746885e-01 1.47399035e-05 5.00000000e-01)	14145	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.93150558e-07	(1.97315096e+00 9.84980311e-01 5.00000000e-01)	208893
7               	5.67890645e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49904013e-04	(-3.17746885e-01 1.47399035e-05 5.00000000e-01)	14145	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.97449799e-07	(1.97315096e+00 9.84980311e-01 5.00000000e-01)	208893
8               	5.86154798e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49985107e-04	(-3.17746885e-01 1.47399035e-05 5.00000000e-01)	14145	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.00233679e-07	(1.98389057e+00 9.84980311e-01 5.00000000e-01)	208894
9               	6.06110315e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50100819e-04	(-3.17746885e-01 1.54192394e-05 5.00000000e-01)	14689	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.02009684e-07	(1.98389057e+00 9.55392115e-01 5.00000000e-01)	208350
10              	6.27145859e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50222851e-04	(-3.17746885e-01 1.61129200e-05 5.00000000e-01)	15233	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03094650e-07	(1.98389057e+00 9.55392115e-01 5.00000000e-01)	208350
11              	6.48839933e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50390352e-04	(-3.17746885e-01 1.61129200e-05 5.00000000e-01)	15233	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03694114e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
12              	6.70819709e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50557600e-04	(-3.17746885e-01 1.68215906e-05 5.00000000e-01)	15777	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03945187e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
13              	6.93071705e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50773908e-04	(-3.17746885e-01 1.68215906e-05 5.00000000e-01)	15777	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03940919e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
14              	7.15394641e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50983156e-04	(-3.17746885e-01 1.68215906e-05 5.00000000e-01)	15777	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03744062e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
15              	7.37712740e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.51249492e-04	(-3.17746885e-01 1.75459105e-05 5.00000000e-01)	16321	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.03394483e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
16              	7.59904366e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.51508455e-04	(-3.17746885e-01 1.75459105e-05 5.00000000e-01)	16321	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.02912479e-07	(1.99463019e+00 9.55392115e-01 5.00000000e-01)	208351
17              	7.82025404e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.51809174e-04	(-3.17746885e-01 1.82865536e-05 5.00000000e-01)	16865	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.02299439e-07	(1.99463019e+00 9.26692729e-01 5.00000000e-01)	207807
18              	8.04089783e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.52118349e-04	(-3.17746885e-01 1.82865536e-05 5.00000000e-01)	16865	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.01537041e-07	(1.99463019e+00 9.26692729e-01 5.00000000e-01)	207807
19              	8.26016877e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.52441711e-04	(-3.17746885e-01 1.90442088e-05 5.00000000e-01)	17409	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	4.00586197e-07	(1.99463019e+00 9.26692729e-01 5.00000000e-01)	207807
20              	8.47819397e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.52800131e-04	(-3.17746885e-01 1.90442088e-05 5.00000000e-01)	17409	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.99387114e-07	(1.99463019e+00 9.26692729e-01 5.00000000e-01)	207807
21              	8.69483401e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.53141738e-04	(-3.17746885e-01 1.90442088e-05 5.00000000e-01)	17409	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.97861623e-07	(1.99463019e+00 9.26692729e-01 5.00000000e-01)	207807
22              	8.91073151e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.53540520e-04	(-3.17746885e-01 1.98195810e-05 5.00000000e-01)	17953	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.96053398e-07	(1.99463019e+00 2.24355275e-02 5.00000000e-01)	141439
23              	9.12535272e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.53930190e-04	(-3.17746885e-01 1.98195810e-05 5.00000000e-01)	17953	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.94195790e-07	(1.99463019e+00 1.50917484e-02 5.00000000e-01)	134367
24              	9.33892417e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.54326822e-04	(-3.17746885e-01 2.06133916e-05 5.00000000e-01)	18497	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.92300187e-07	(1.99463019e+00 1.18242146e-02 5.00000000e-01)	130015
25              	9.55156006e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.54762443e-04	(-3.17746885e-01 2.06133916e-05 5.00000000e-01)	18497	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.90358769e-07	(1.99463019e+00 1.01517928e-02 5.00000000e-01)	127295
26              	9.76292406e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.55177197e-04	(-3.17746885e-01 2.06133916e-05 5.00000000e-01)	18497	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.88364547e-07	(1.99463019e+00 9.26413758e-03 5.00000000e-01)	125663
27              	9.97300391e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.55626500e-04	(-3.17746885e-01 2.14263790e-05 5.00000000e-01)	19041	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.86310387e-07	(1.99463019e+00 8.45409721e-03 5.00000000e-01)	124031
28              	1.01820966e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.56086070e-04	(-3.17746885e-01 2.14263790e-05 5.00000000e-01)	19041	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.84195061e-07	(1.99463019e+00 7.71488514e-03 5.00000000e-01)	122399
29              	1.03908310e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.56521761e-04	(-3.17746885e-01 2.14263790e-05 5.00000000e-01)	19041	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.82008015e-07	(1.99463019e+00 7.25834501e-03 5.00000000e-01)	121311
30              	1.05989913e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.57013429e-04	(-3.17746885e-01 2.22592996e-05 5.00000000e-01)	19585	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.79749190e-07	(1.99463019e+00 6.82882121e-03 5.00000000e-01)	120223
31              	1.08064567e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.57492985e-04	(-3.17746885e-01 2.22592996e-05 5.00000000e-01)	19585	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.77410118e-07	(1.99463019e+00 6.42471500e-03 5.00000000e-01)	119135
32              	1.10132610e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.57949507e-04	(-3.17746885e-01 2.31129283e-05 5.00000000e-01)	20129	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.75013354e-07	(1.99463019e+00 6.23171992e-03 5.00000000e-01)	118591
33              	1.12201226e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.58470338e-04	(-3.17746885e-01 2.31129283e-05 5.00000000e-01)	20129	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.72529435e-07	(1.99463019e+00 5.86294790e-03 5.00000000e-01)	117503
34              	1.14262739e-03	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.58967146e-04	(-3.17746885e-01 2.31129283e-05 5.00000000e-01)	20129	2.56000000e+08	(5.49112675e-01 2.50000000e-07 5.00000000e-01)	384	3.70004687e-07	(1.99463019e+00 5.68682789e-03 5.00000000e-01)	116959
