# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	3.72881608e-01	(1.72613976e+00 2.50000000e-07 5.00000000e-01)	518
2               	1.50191303e-01	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
3               	9.82786310e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
4               	7.79737095e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
5               	6.67569218e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
6               	5.93408071e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
7               	5.39411159e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
8               	4.97718252e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
9               	4.64220274e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
10              	4.36517206e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
11              	4.13095556e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
12              	3.92945464e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
13              	3.75363102e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
14              	3.59840563e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
15              	3.46000722e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
16              	3.33556810e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
17              	3.22286313e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
18              	3.12013543e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
19              	3.02597667e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
20              	2.93924286e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
21              	2.85899365e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
22              	2.78444800e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
23              	2.71495098e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
24              	2.64994874e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
25              	2.58896926e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
26              	2.53160741e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
27              	2.47751324e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
28              	2.42638265e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
29              	2.37794991e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
30              	2.33198169e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
31              	2.28827211e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
