# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	2.24049705e+00	2.24049705e+00	2.24049705e+00
100             	bottom	1.96201360e-01	3.79683340e-01	2.10910624e-01
200             	bottom	1.81741201e-01	3.79471083e-01	2.05983456e-01
300             	bottom	1.77542938e-01	3.79284314e-01	2.04925987e-01
400             	bottom	1.76448393e-01	3.79126351e-01	2.04710343e-01
500             	bottom	1.76181539e-01	3.78995171e-01	2.04662809e-01
600             	bottom	1.76120928e-01	3.78886824e-01	2.04649082e-01
700             	bottom	1.76108022e-01	3.78798033e-01	2.04642600e-01
800             	bottom	1.76105372e-01	3.78724993e-01	2.04637989e-01
900             	bottom	1.76104790e-01	3.78664768e-01	2.04634239e-01
1000            	bottom	1.76104608e-01	3.78614822e-01	2.04631107e-01
1100            	bottom	1.76104510e-01	3.78572752e-01	2.04628424e-01
1200            	bottom	1.76104437e-01	3.78536379e-01	2.04625952e-01
1300            	bottom	1.76104403e-01	3.78505452e-01	2.04623224e-01
1400            	bottom	1.76104373e-01	3.78478955e-01	2.04621231e-01
1500            	bottom	1.76104335e-01	3.78455379e-01	2.04619666e-01
1600            	bottom	1.76104302e-01	3.78433026e-01	2.04618255e-01
1700            	bottom	1.76104277e-01	3.78411532e-01	2.04616873e-01
1800            	bottom	1.76104263e-01	3.78392256e-01	2.04615657e-01
1900            	bottom	1.76104247e-01	3.78375554e-01	2.04614707e-01
2000            	bottom	1.76104233e-01	3.78360940e-01	2.04613748e-01
