# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(nuTilda)	location	cell	max(nut)	location	cell
0               	2.00000000e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.47285058e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	1.99999958e-06	(4.51588254e-03 5.03521268e-01 5.00000000e-01)	196484	1.47285027e-06	(4.51588254e-03 5.03521268e-01 5.00000000e-01)	196484
2               	1.99999915e-06	(8.56435280e-03 5.03521268e-01 5.00000000e-01)	196488	1.47284971e-06	(7.54911079e-03 5.03521268e-01 5.00000000e-01)	196487
3               	1.99999872e-06	(1.16228594e-02 5.03521268e-01 5.00000000e-01)	196491	1.47284914e-06	(1.06012067e-02 5.03521268e-01 5.00000000e-01)	196490
4               	1.99999829e-06	(1.47009683e-02 5.03521268e-01 5.00000000e-01)	196494	1.47284857e-06	(1.36727193e-02 5.03521268e-01 5.00000000e-01)	196493
5               	1.99999785e-06	(1.77992443e-02 5.03521268e-01 5.00000000e-01)	196497	1.47284800e-06	(1.67642095e-02 5.03521268e-01 5.00000000e-01)	196496
6               	1.99999742e-06	(2.09182646e-02 5.03521268e-01 5.00000000e-01)	196500	1.47284742e-06	(1.98762501e-02 5.03521268e-01 5.00000000e-01)	196499
7               	1.99999698e-06	(2.40586192e-02 5.03521268e-01 5.00000000e-01)	196503	1.47284685e-06	(2.30094269e-02 5.03521268e-01 5.00000000e-01)	196502
8               	1.99999654e-06	(2.72209113e-02 5.03521268e-01 5.00000000e-01)	196506	1.47284627e-06	(2.61643387e-02 5.03521268e-01 5.00000000e-01)	196505
9               	1.99999610e-06	(3.04057580e-02 5.03521268e-01 5.00000000e-01)	196509	1.47284569e-06	(2.93415977e-02 5.03521268e-01 5.00000000e-01)	196508
10              	1.99999567e-06	(3.36137905e-02 5.03521268e-01 5.00000000e-01)	196512	1.47284512e-06	(3.25418305e-02 5.03521268e-01 5.00000000e-01)	196511
11              	1.99999523e-06	(3.68456553e-02 5.03521268e-01 5.00000000e-01)	196515	1.47284454e-06	(3.57656785e-02 5.03521268e-01 5.00000000e-01)	196514
12              	1.99999478e-06	(4.11930265e-02 5.03521268e-01 5.00000000e-01)	196519	1.47284395e-06	(3.90137979e-02 5.03521268e-01 5.00000000e-01)	196517
13              	1.99999433e-06	(4.44831006e-02 5.03521268e-01 5.00000000e-01)	196522	1.47284336e-06	(4.33835440e-02 5.03521268e-01 5.00000000e-01)	196521
14              	1.99999387e-06	(4.89105917e-02 5.03521268e-01 5.00000000e-01)	196526	1.47284276e-06	(4.77992761e-02 5.03521268e-01 5.00000000e-01)	196525
15              	1.99999343e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47284217e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
16              	1.99999299e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47284159e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
17              	1.99999255e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47284101e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
18              	1.99999211e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47284043e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
19              	1.99999167e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283985e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
20              	1.99999123e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283927e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
21              	1.99999079e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283869e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
22              	1.99999035e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283811e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
23              	1.99998991e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283753e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
24              	1.99998947e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283695e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
25              	1.99998903e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47283637e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
