# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	1.00003269e+00	(-3.17746885e-01 8.71591845e-03 5.00000000e-01)	124033
2               	1.00006564e+00	(-3.17746885e-01 9.55104548e-03 5.00000000e-01)	125665
3               	1.00008650e+00	(-3.17746885e-01 9.55104548e-03 5.00000000e-01)	125665
4               	1.00009883e+00	(-3.17746885e-01 9.55104548e-03 5.00000000e-01)	125665
5               	1.00010813e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
6               	1.00011848e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
7               	1.00012668e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
8               	1.00013415e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
9               	1.00014197e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
10              	1.00015017e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
11              	1.00015843e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
12              	1.00016629e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
13              	1.00017375e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
14              	1.00018047e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
15              	1.00018633e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
16              	1.00019190e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
17              	1.00019739e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
18              	1.00020297e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
19              	1.00020873e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
20              	1.00021448e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
21              	1.00022037e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
22              	1.00022608e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
23              	1.00023203e+00	(-3.17746885e-01 1.01517928e-02 5.00000000e-01)	126753
24              	1.00023776e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
25              	1.00024369e+00	(-3.17746885e-01 1.01517928e-02 5.00000000e-01)	126753
26              	1.00024970e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
27              	1.00025568e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
28              	1.00026156e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
29              	1.00026739e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
30              	1.00027307e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
31              	1.00027888e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
32              	1.00028454e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
33              	1.00029030e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
34              	1.00029610e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
35              	1.00030197e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
36              	1.00030771e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
37              	1.00031341e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
38              	1.00031936e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
39              	1.00032532e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
40              	1.00033103e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
41              	1.00033669e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
42              	1.00034248e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
43              	1.00034840e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
44              	1.00035432e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
45              	1.00036013e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
46              	1.00036593e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
47              	1.00037176e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
48              	1.00037773e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
49              	1.00038369e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
50              	1.00038964e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
51              	1.00039556e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
52              	1.00040160e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
