# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(nuTilda)	location	cell	min(nut)	location	cell
0               	2.00000000e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.47285058e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	4.33336476e-07	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543	3.19119939e-07	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
2               	1.27027483e-07	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543	3.51025169e-09	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
3               	6.31618048e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	4.51826706e-11	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
4               	4.71694251e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	4.15069599e-12	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
5               	4.32011392e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	1.58341953e-12	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
6               	3.88422922e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	1.09373771e-12	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
7               	3.56635775e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	7.29903652e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
8               	3.30709643e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	5.23901526e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
9               	3.09483277e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.90937421e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
10              	2.92231407e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	3.02530330e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
11              	2.78380084e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.42633079e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
12              	2.66823486e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.01034333e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
13              	2.56691701e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	1.70300559e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
14              	2.47564503e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	1.46236660e-13	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
