# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	top	(-2.17930869e-13 -4.84803628e-25 -4.21454936e-26)	(1.51579849e-12 1.15396904e-24 7.21257302e-26)
1.00000000e+02	bottom	(-1.17010773e-02 -2.53730340e-05 -3.07186965e-21)	(-1.13183024e-02 1.19525105e-10 3.17402375e-21)
2.00000000e+02	top	(-5.04465623e-13 -5.09950674e-11 -9.10013582e-26)	(3.30733821e-12 2.22989895e-24 1.57497383e-25)
2.00000000e+02	bottom	(-7.02795088e-03 -2.53823555e-05 -4.18853853e-21)	(-6.34555468e-03 7.31834322e-11 4.27486315e-21)
3.00000000e+02	top	(-9.86735496e-13 -4.94423025e-11 -1.90906100e-25)	(6.88691926e-12 4.33825886e-24 3.28366938e-25)
3.00000000e+02	bottom	(-5.32669719e-03 -2.53883315e-05 -6.01013592e-21)	(-4.28256156e-03 9.53241560e-11 6.10460083e-21)
4.00000000e+02	top	(-1.58687098e-12 -6.40932972e-11 -3.62752453e-25)	(1.29418849e-11 8.41237447e-24 6.23799699e-25)
4.00000000e+02	bottom	(-4.59271384e-03 -2.53916014e-05 -5.20142284e-20)	(-3.15154229e-03 2.70539528e-11 8.66451215e-21)
5.00000000e+02	top	(-2.18422231e-12 -9.33538827e-11 -6.28242432e-25)	(2.22331999e-11 1.42787896e-23 1.05678923e-24)
5.00000000e+02	bottom	(-4.28199818e-03 -2.53913982e-05 -2.66932386e-20)	(-2.44635263e-03 2.48462025e-11 3.29729743e-20)
6.00000000e+02	top	(-2.65746813e-12 -1.25933566e-10 -1.00099969e-24)	(3.46734413e-11 8.38772778e-24 1.63946465e-24)
6.00000000e+02	bottom	(-4.16465457e-03 -2.53940872e-05 -8.01339870e-20)	(-1.99546852e-03 1.67617481e-11 9.41619331e-20)
7.00000000e+02	top	(-3.26911575e-12 -1.62830712e-10 -1.45115492e-24)	(4.92358651e-11 7.98427475e-40 2.32350712e-24)
