# y+ ()         
# Time          	patch           	min             	max             	average         
0               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0               	bottom	1.11813712e+00	1.11813712e+00	1.11813712e+00
1               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
1               	bottom	9.22534215e-01	9.22541422e-01	9.22537075e-01
2               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
2               	bottom	7.16263848e-01	7.16316783e-01	7.16273970e-01
3               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
3               	bottom	4.93251519e-01	4.93346760e-01	4.93271659e-01
4               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
4               	bottom	4.04725998e-01	4.04853219e-01	4.04748268e-01
5               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
5               	bottom	3.62916438e-01	3.63075269e-01	3.62940875e-01
6               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
6               	bottom	3.36984487e-01	3.37171618e-01	3.37010469e-01
7               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
7               	bottom	3.18328693e-01	3.18541914e-01	3.18355835e-01
8               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
8               	bottom	3.03826072e-01	3.04063999e-01	3.03854169e-01
9               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
9               	bottom	2.92021155e-01	2.92282834e-01	2.92050087e-01
10              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
10              	bottom	2.82107023e-01	2.82391745e-01	2.82136712e-01
11              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
11              	bottom	2.73586945e-01	2.73894158e-01	2.73617335e-01
12              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
12              	bottom	2.66135244e-01	2.66464503e-01	2.66166291e-01
13              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
13              	bottom	2.59527025e-01	2.59877966e-01	2.59558694e-01
14              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
14              	bottom	2.53600358e-01	2.53972676e-01	2.53632622e-01
15              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
15              	bottom	2.48234542e-01	2.48627978e-01	2.48267375e-01
16              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
16              	bottom	2.43337737e-01	2.43752077e-01	2.43371120e-01
17              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
17              	bottom	2.38838695e-01	2.39273755e-01	2.38872609e-01
18              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
18              	bottom	2.34681114e-01	2.35136740e-01	2.34715545e-01
19              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
19              	bottom	2.30819378e-01	2.31295437e-01	2.30854312e-01
20              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
20              	bottom	2.27216102e-01	2.27712480e-01	2.27251525e-01
21              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
21              	bottom	2.23840405e-01	2.24357005e-01	2.23876308e-01
22              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
22              	bottom	2.20666603e-01	2.21203345e-01	2.20702975e-01
23              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
23              	bottom	2.17673047e-01	2.18229862e-01	2.17709879e-01
24              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
24              	bottom	2.14841286e-01	2.15418120e-01	2.14878570e-01
25              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
25              	bottom	2.12155489e-01	2.12752297e-01	2.12193216e-01
26              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
26              	bottom	2.09601993e-01	2.10218742e-01	2.09640158e-01
27              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
27              	bottom	2.07168938e-01	2.07805600e-01	2.07207534e-01
28              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
28              	bottom	2.04845931e-01	2.05502487e-01	2.04884952e-01
29              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
29              	bottom	2.02623829e-01	2.03300268e-01	2.02663269e-01
30              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
30              	bottom	2.00494576e-01	2.01190892e-01	2.00534430e-01
31              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
31              	bottom	1.98451048e-01	1.99167243e-01	1.98491311e-01
32              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
32              	bottom	1.96486883e-01	1.97222965e-01	1.96527552e-01
33              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
33              	bottom	1.94596367e-01	1.95352346e-01	1.94637437e-01
34              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
34              	bottom	1.92774362e-01	1.93550255e-01	1.92815830e-01
35              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
35              	bottom	1.91016259e-01	1.91812085e-01	1.91058119e-01
36              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
36              	bottom	1.89317898e-01	1.90133684e-01	1.89360149e-01
37              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
37              	bottom	1.87675499e-01	1.88511274e-01	1.87718137e-01
38              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
38              	bottom	1.86085613e-01	1.86941408e-01	1.86128635e-01
39              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
39              	bottom	1.84545094e-01	1.85420944e-01	1.84588497e-01
40              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
40              	bottom	1.83051076e-01	1.83947021e-01	1.83094858e-01
41              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
41              	bottom	1.81600935e-01	1.82517015e-01	1.81645093e-01
42              	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
42              	bottom	1.80192251e-01	1.81128512e-01	1.80236783e-01
