# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	3.67729319e-04	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
2               	5.15359166e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
3               	6.94429446e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
4               	8.95436968e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
5               	1.11438152e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
6               	1.34810134e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
7               	1.59480870e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
8               	1.85296774e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
9               	2.11923517e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
10              	2.38916543e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
11              	2.65903999e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
12              	2.92551067e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
13              	3.18608966e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
14              	3.43835986e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
15              	3.68107647e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
16              	3.91358569e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
17              	4.13569392e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
18              	4.34742089e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
19              	4.54924488e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
20              	4.74145267e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
21              	4.92406971e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
22              	5.09755012e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
23              	5.26215188e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
24              	5.41837384e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
25              	5.56666061e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
26              	5.70766727e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
27              	5.84138743e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
28              	5.96788518e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
29              	6.08758472e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
30              	6.20124130e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
31              	6.30956799e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
32              	6.41231512e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
33              	6.50942155e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
34              	6.60117348e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
35              	6.68846042e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
36              	6.77127719e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
37              	6.85015050e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
38              	6.92525422e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
39              	6.99689756e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
40              	7.06523354e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
41              	7.13004253e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
42              	7.19145002e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
43              	7.25048056e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
44              	7.30693900e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
45              	7.36141589e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
46              	7.41377994e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
47              	7.46439176e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
48              	7.51294623e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
49              	7.56007467e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
50              	7.60554068e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
51              	7.64988358e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
52              	7.69250122e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
53              	7.73369625e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
54              	7.77302429e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
55              	7.81096090e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
56              	7.84699607e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
57              	7.88201981e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
58              	7.91526319e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
59              	7.94719884e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
60              	7.97768049e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
61              	8.00681665e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
62              	8.03455593e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
63              	8.06105649e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
64              	8.08632500e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
65              	8.11060915e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
66              	8.13373983e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
67              	8.15607496e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
68              	8.17728814e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
69              	8.19792762e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
70              	8.21754925e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
71              	8.23671486e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
72              	8.25496233e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
73              	8.27265125e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
74              	8.28966217e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
75              	8.30609391e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
76              	8.32183738e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
77              	8.33699147e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
78              	8.35141612e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
79              	8.36541650e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
80              	8.37878319e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
81              	8.39185514e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
82              	8.40430711e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
83              	8.41648468e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
84              	8.42811297e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
85              	8.43953209e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
86              	8.45041537e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
87              	8.46105650e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
88              	8.47120998e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
89              	8.48114435e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
90              	8.49063294e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
91              	8.49995392e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
92              	8.50882489e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
93              	8.51755850e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
94              	8.52587776e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
95              	8.53407465e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
96              	8.54187250e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
97              	8.54955889e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
98              	8.55687049e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
99              	8.56410243e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
100             	8.57098188e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
101             	8.57774191e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
102             	8.58425340e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
103             	8.59058954e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
104             	8.59667625e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
105             	8.60259782e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
106             	8.60826439e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
107             	8.61378338e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
108             	8.61904436e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
109             	8.62416880e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
110             	8.62904730e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
111             	8.63382839e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
112             	8.63838804e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
113             	8.64287193e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
114             	8.64714825e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
115             	8.65136786e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
116             	8.65540188e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
117             	8.65939021e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
118             	8.66318582e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
119             	8.66691963e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
120             	8.67047153e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
121             	8.67399349e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
122             	8.67736826e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
123             	8.68072895e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
124             	8.68394192e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
125             	8.68710969e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
126             	8.69009878e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
127             	8.69307853e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
128             	8.69588436e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
129             	8.69868158e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
130             	8.70132042e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
131             	8.70396400e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
132             	8.70645091e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
133             	8.70892827e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
134             	8.71121256e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
135             	8.71345379e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
136             	8.71555255e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
137             	8.71766371e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
138             	8.71966063e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
139             	8.72168787e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
140             	8.72361437e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
141             	8.72558271e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
142             	8.72745292e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
143             	8.72930542e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
144             	8.73104033e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
145             	8.73276258e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
146             	8.73440264e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
147             	8.73605305e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
148             	8.73763122e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
149             	8.73921184e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
150             	8.74073474e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
151             	8.74223330e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
152             	8.74365203e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
153             	8.74504659e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
154             	8.74636492e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
155             	8.74764842e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
156             	8.74887853e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
157             	8.75007181e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
158             	8.75120411e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
159             	8.75229984e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
160             	8.75329106e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
161             	8.75425809e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
162             	8.75513367e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
163             	8.75598126e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
164             	8.75676624e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
165             	8.75754742e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
166             	8.75827968e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
167             	8.75902170e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
168             	8.75973339e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
169             	8.76044098e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
170             	8.76111692e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
171             	8.76180268e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
172             	8.76242585e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
173             	8.76306021e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
174             	8.76366997e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
175             	8.76431741e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
176             	8.76496454e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
177             	8.76558501e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23
