# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	1.00026520e+00	(6.03404640e-03 8.99943157e-04 5.00000000e-01)	5193
2               	1.00045815e+00	(6.03404640e-03 8.99943157e-04 5.00000000e-01)	5193
3               	1.00064419e+00	(6.03404640e-03 8.99943157e-04 5.00000000e-01)	5193
4               	1.00081626e+00	(6.03404640e-03 8.99943157e-04 5.00000000e-01)	5193
5               	1.00099027e+00	(6.03404640e-03 7.96565518e-04 5.00000000e-01)	5057
6               	1.00113021e+00	(6.03404640e-03 1.01673200e-03 5.00000000e-01)	5329
7               	1.00123234e+00	(6.03404640e-03 1.14867247e-03 5.00000000e-01)	5465
8               	1.00133965e+00	(6.03404640e-03 1.29773077e-03 5.00000000e-01)	5601
9               	1.00140714e+00	(6.03404640e-03 1.29773077e-03 5.00000000e-01)	5601
10              	1.00152111e+00	(6.03404640e-03 1.46612822e-03 5.00000000e-01)	5737
11              	1.00162290e+00	(6.03404640e-03 1.46612822e-03 5.00000000e-01)	5737
12              	1.00163659e+00	(6.03404640e-03 1.46612822e-03 5.00000000e-01)	5737
13              	1.00161798e+00	(6.03404640e-03 1.46612822e-03 5.00000000e-01)	5737
14              	1.00170157e+00	(6.03404640e-03 1.65637433e-03 5.00000000e-01)	5873
15              	1.00176489e+00	(6.03404640e-03 1.65637433e-03 5.00000000e-01)	5873
16              	1.00179532e+00	(6.03404640e-03 1.65637433e-03 5.00000000e-01)	5873
17              	1.00171130e+00	(6.03404640e-03 1.65637433e-03 5.00000000e-01)	5873
18              	1.00169834e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
19              	1.00174415e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
20              	1.00174887e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
21              	1.00175279e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
22              	1.00173920e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
23              	1.00172428e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
24              	1.00170432e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
25              	1.00168322e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
26              	1.00166309e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
27              	1.00162744e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
28              	1.00160675e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
29              	1.00158718e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
30              	1.00156395e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
31              	1.00154458e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
32              	1.00152319e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
33              	1.00150429e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
34              	1.00146672e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
35              	1.00142372e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
36              	1.00138577e+00	(6.03404640e-03 1.87130418e-03 5.00000000e-01)	6009
