# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	2.23866821e+00	2.23866821e+00	2.23866821e+00
100             	bottom	8.36287932e-02	3.62952021e-01	1.06753918e-01
200             	bottom	5.34109488e-02	3.62520940e-01	9.01143271e-02
300             	bottom	5.14350731e-02	3.62331700e-01	8.93843042e-02
400             	bottom	5.13273471e-02	3.62242464e-01	8.93490943e-02
500             	bottom	5.13216177e-02	3.62195785e-01	8.93447751e-02
600             	bottom	5.13212156e-02	3.62167751e-01	8.93428453e-02
700             	bottom	5.13211197e-02	3.62149767e-01	8.93416471e-02
800             	bottom	5.13210655e-02	3.62139677e-01	8.93409192e-02
900             	bottom	5.13210313e-02	3.62133419e-01	8.93404563e-02
1000            	bottom	5.13210098e-02	3.62129340e-01	8.93401576e-02
1100            	bottom	5.13209965e-02	3.62126583e-01	8.93399635e-02
1200            	bottom	5.13209878e-02	3.62124758e-01	8.93398390e-02
1300            	bottom	5.13209823e-02	3.62123651e-01	8.93397606e-02
1400            	bottom	5.13209788e-02	3.62123020e-01	8.93397128e-02
1500            	bottom	5.13209770e-02	3.62122587e-01	8.93396834e-02
1600            	bottom	5.13209760e-02	3.62122234e-01	8.93396649e-02
1700            	bottom	5.13209751e-02	3.62122049e-01	8.93396531e-02
1800            	bottom	5.13209745e-02	3.62122011e-01	8.93396475e-02
1900            	bottom	5.13209744e-02	3.62122005e-01	8.93396447e-02
2000            	bottom	5.13209744e-02	3.62121924e-01	8.93396426e-02
