# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	2.23866821e+00	2.23866821e+00	2.23866821e+00
1               	bottom	1.13600785e+00	1.14171259e+00	1.13625982e+00
2               	bottom	7.92481903e-01	8.02698184e-01	7.92971718e-01
3               	bottom	6.57089406e-01	6.71628789e-01	6.58011660e-01
4               	bottom	5.83925802e-01	6.02729028e-01	5.85209901e-01
5               	bottom	5.35119793e-01	5.58048385e-01	5.36625673e-01
6               	bottom	4.98643742e-01	5.25637751e-01	5.00253856e-01
7               	bottom	4.69586219e-01	5.00621060e-01	4.71191704e-01
8               	bottom	4.45504210e-01	4.80565453e-01	4.46996211e-01
9               	bottom	4.25007107e-01	4.64082663e-01	4.26275479e-01
10              	bottom	4.07224818e-01	4.50305435e-01	4.08161060e-01
11              	bottom	3.91456225e-01	4.38656350e-01	3.92074786e-01
12              	bottom	3.76932812e-01	4.28730247e-01	3.77612494e-01
13              	bottom	3.63736291e-01	4.20228253e-01	3.64480671e-01
14              	bottom	3.51646715e-01	4.12920706e-01	3.52459489e-01
15              	bottom	3.40495083e-01	4.06622622e-01	3.41380094e-01
16              	bottom	3.30148735e-01	4.01183017e-01	3.31109997e-01
17              	bottom	3.20501630e-01	3.96475046e-01	3.21543340e-01
18              	bottom	3.11467657e-01	3.92393480e-01	3.12594212e-01
19              	bottom	3.02975935e-01	3.88849287e-01	3.04191934e-01
20              	bottom	2.94967406e-01	3.85766235e-01	2.96277660e-01
21              	bottom	2.87392337e-01	3.83079877e-01	2.88801869e-01
22              	bottom	2.80208451e-01	3.80735748e-01	2.81722491e-01
23              	bottom	2.73379497e-01	3.78687627e-01	2.75003481e-01
24              	bottom	2.66874152e-01	3.76896542e-01	2.68613709e-01
25              	bottom	2.60665165e-01	3.75328211e-01	2.62526111e-01
26              	bottom	2.54728668e-01	3.73952764e-01	2.56717001e-01
27              	bottom	2.49043645e-01	3.72744741e-01	2.51165524e-01
28              	bottom	2.43591484e-01	3.71682405e-01	2.45853218e-01
29              	bottom	2.38355624e-01	3.70747102e-01	2.40763654e-01
30              	bottom	2.33321265e-01	3.69922756e-01	2.35882149e-01
31              	bottom	2.28475121e-01	3.69195468e-01	2.31195517e-01
32              	bottom	2.23805222e-01	3.68553184e-01	2.26691867e-01
33              	bottom	2.19300743e-01	3.67985420e-01	2.22360441e-01
34              	bottom	2.14951865e-01	3.67483045e-01	2.18191461e-01
35              	bottom	2.10749650e-01	3.67037895e-01	2.14176018e-01
36              	bottom	2.06685938e-01	3.66642781e-01	2.10305965e-01
37              	bottom	2.02753264e-01	3.66291495e-01	2.06573825e-01
38              	bottom	1.98944729e-01	3.65978708e-01	2.02972683e-01
39              	bottom	1.95254086e-01	3.65699844e-01	1.99496240e-01
40              	bottom	1.91675524e-01	3.65450922e-01	1.96138622e-01
41              	bottom	1.88203677e-01	3.65228464e-01	1.92894381e-01
42              	bottom	1.84833578e-01	3.65029418e-01	1.89758451e-01
43              	bottom	1.81560618e-01	3.64851108e-01	1.86726112e-01
44              	bottom	1.78380514e-01	3.64691184e-01	1.83792955e-01
45              	bottom	1.75289282e-01	3.64547571e-01	1.80954854e-01
46              	bottom	1.72283205e-01	3.64418444e-01	1.78207941e-01
47              	bottom	1.69358813e-01	3.64302185e-01	1.75548579e-01
48              	bottom	1.66512860e-01	3.64197377e-01	1.72973347e-01
49              	bottom	1.63742304e-01	3.64102760e-01	1.70479018e-01
50              	bottom	1.61044294e-01	3.64017228e-01	1.68062544e-01
51              	bottom	1.58416148e-01	3.63939788e-01	1.65721041e-01
52              	bottom	1.55855348e-01	3.63869572e-01	1.63451778e-01
53              	bottom	1.53359516e-01	3.63805793e-01	1.61252162e-01
54              	bottom	1.50926413e-01	3.63747764e-01	1.59119730e-01
55              	bottom	1.48553924e-01	3.63694865e-01	1.57052139e-01
56              	bottom	1.46240046e-01	3.63646552e-01	1.55047157e-01
57              	bottom	1.43982886e-01	3.63602335e-01	1.53102655e-01
58              	bottom	1.41780648e-01	3.63561788e-01	1.51216601e-01
59              	bottom	1.39631625e-01	3.63524516e-01	1.49387052e-01
