# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	5.54577209e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
2               	3.02141548e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
3               	2.21367600e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
4               	1.82373733e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
5               	1.60442240e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895
6               	-8.73137278e-06	(-3.07735209e-01 2.76280843e-06 5.00000000e-01)	2722
7               	-2.27907554e-05	(-3.07735209e-01 2.76280843e-06 5.00000000e-01)	2722
8               	-3.74382512e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
9               	-5.30626664e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
10              	-6.82381312e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
11              	-8.29440596e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
12              	-9.73424905e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
13              	-1.11316403e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
14              	-1.24949688e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
15              	-1.38193271e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
16              	-1.51143451e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
17              	-1.63746551e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
18              	-1.76007908e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
19              	-1.87942646e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
20              	-1.99577770e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
21              	-2.10943686e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
22              	-2.21991840e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
23              	-2.32808677e-04	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
