# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	top	(-4.47159335e-14 -6.52537482e-12 -7.67395338e-27)	(2.69269971e-13 1.94565980e-25 1.27622919e-26)
1.00000000e+02	bottom	(-9.26067222e-03 -2.53783029e-05 -4.62120162e-21)	(-8.76938560e-03 1.24249755e-10 4.72990684e-21)
2.00000000e+02	top	(-9.74161369e-14 -6.64697693e-12 -1.59841341e-26)	(5.72970807e-13 2.97120646e-25 2.71143118e-26)
2.00000000e+02	bottom	(-5.99363582e-03 -2.53859251e-05 -5.33171454e-21)	(-5.15498552e-03 5.68920552e-11 5.41805936e-21)
3.00000000e+02	top	(-1.83645274e-13 -6.66328558e-12 -3.35787933e-26)	(1.19891622e-12 7.27711605e-25 5.70359556e-26)
3.00000000e+02	bottom	(-4.77638238e-03 -2.53907360e-05 -1.09097577e-20)	(-3.53180352e-03 1.03212643e-10 6.69120588e-21)
4.00000000e+02	top	(-2.83990574e-13 -1.05296731e-11 -6.14713959e-26)	(2.14116221e-12 1.45515838e-24 1.00531347e-25)
4.00000000e+02	bottom	(-4.25166014e-03 -2.53916013e-05 -5.10121655e-20)	(-2.59646064e-03 1.98639495e-11 8.23087447e-21)
5.00000000e+02	top	(-3.58449468e-13 -1.33164450e-11 -9.64376160e-26)	(3.24098376e-12 7.94073999e-25 1.53255806e-25)
5.00000000e+02	bottom	(-4.02110718e-03 -2.53955042e-05 -2.14953004e-20)	(-1.97738216e-03 2.08578746e-11 2.64312827e-20)
6.00000000e+02	top	(-4.13459790e-13 -1.64336486e-11 -1.33532956e-25)	(4.36493453e-12 2.27742880e-24 2.05882542e-25)
6.00000000e+02	bottom	(-3.91862734e-03 -2.53980913e-05 -5.10199523e-20)	(-1.54398648e-03 1.83183866e-11 6.06967914e-20)
7.00000000e+02	top	(-4.36710173e-13 -1.99480664e-11 -1.70348034e-25)	(5.43660017e-12 -1.12937726e-28 2.56667445e-25)
7.00000000e+02	bottom	(-3.87210022e-03 -2.53997510e-05 -8.56626546e-20)	(-1.22757120e-03 1.23641669e-11 1.01104541e-19)
8.00000000e+02	top	(-4.38069626e-13 -2.24578747e-11 -2.04335746e-25)	(6.42147069e-12 1.18484035e-40 3.06666327e-25)
8.00000000e+02	bottom	(-3.85039078e-03 -2.54008014e-05 -1.19396035e-19)	(-9.89891040e-04 4.10813074e-12 1.42123325e-19)
9.00000000e+02	top	(-4.29465957e-13 -2.55318649e-11 -2.35936370e-25)	(7.31203735e-12 1.18484035e-40 3.51748601e-25)
9.00000000e+02	bottom	(-3.83995846e-03 -2.54028734e-05 -1.50494738e-19)	(-8.07767520e-04 -4.14098366e-13 1.80588226e-19)
1.00000000e+03	top	(-4.14837866e-13 -2.85390224e-11 -2.63344498e-25)	(8.11104437e-12 1.18484035e-40 3.93862352e-25)
1.00000000e+03	bottom	(-3.83479414e-03 -2.54051958e-05 -1.79056791e-19)	(-6.66220032e-04 -6.76066929e-13 2.15135177e-19)
1.10000000e+03	top	(-3.76717336e-13 -3.02597216e-11 -2.90352664e-25)	(8.80502885e-12 1.18484035e-40 4.33487185e-25)
1.10000000e+03	bottom	(-3.83216854e-03 -2.54066377e-05 -2.04751758e-19)	(-5.55060016e-04 -9.84432506e-13 2.45425533e-19)
1.20000000e+03	top	(-3.67350158e-13 -3.25137487e-11 -3.13264876e-25)	(9.41856130e-12 1.18484035e-40 4.67621009e-25)
1.20000000e+03	bottom	(-3.83079198e-03 -2.54075295e-05 -2.26970933e-19)	(-4.67075360e-04 -1.26398897e-12 2.71612390e-19)
1.30000000e+03	top	(-3.15625781e-13 -3.40806309e-11 -3.32892492e-25)	(9.94830451e-12 1.18484035e-40 4.97062393e-25)
1.30000000e+03	bottom	(-3.83005350e-03 -2.54080810e-05 -2.45999047e-19)	(-3.97002968e-04 -1.58774270e-12 2.94003594e-19)
1.40000000e+03	top	(-2.85326749e-13 -3.59863296e-11 -3.49609206e-25)	(1.04004429e-11 1.18484035e-40 5.22933006e-25)
1.40000000e+03	bottom	(-3.82965070e-03 -2.54084213e-05 -2.62121656e-19)	(-3.40914200e-04 -1.90709960e-12 3.12906312e-19)
1.50000000e+03	top	(-2.67085875e-13 -3.78246520e-11 -3.65304673e-25)	(1.07841491e-11 -1.91520003e-12 5.45519405e-25)
1.50000000e+03	bottom	(-3.82942758e-03 -2.54086318e-05 -2.75635730e-19)	(-2.95827168e-04 -2.21706961e-12 3.28740368e-19)
1.60000000e+03	top	(-2.24812486e-13 -3.80804844e-11 -3.78290048e-25)	(1.11234126e-11 -2.54017812e-12 5.66570220e-25)
1.60000000e+03	bottom	(-3.82930246e-03 -2.54087601e-05 -2.86869102e-19)	(-2.59450376e-04 -2.51281197e-12 3.41934720e-19)
1.70000000e+03	top	(-1.92418407e-13 -3.96012721e-11 -3.89436921e-25)	(1.13985718e-11 -2.54017812e-12 5.83948027e-25)
1.70000000e+03	bottom	(-3.82923134e-03 -2.54088399e-05 -2.96164902e-19)	(-2.30006008e-04 -2.79043313e-12 3.52863130e-19)
1.80000000e+03	top	(-1.57510269e-13 -4.06612056e-11 -3.98915583e-25)	(1.16390622e-11 -2.54017812e-12 5.97896428e-25)
1.80000000e+03	bottom	(-3.82919054e-03 -2.54088877e-05 -3.03823205e-19)	(-2.06104296e-04 -3.04755044e-12 3.61852353e-19)
1.90000000e+03	top	(-1.55210373e-13 -4.09070292e-11 -4.06856218e-25)	(1.18433479e-11 -2.54017812e-12 6.09754760e-25)
1.90000000e+03	bottom	(-3.82916694e-03 -2.54089179e-05 -3.10101195e-19)	(-1.86651960e-04 -3.28332232e-12 3.69196634e-19)
2.00000000e+03	top	(-9.73870833e-14 -4.15899497e-11 -4.15997413e-25)	(1.20006394e-11 -2.54017812e-12 6.23808639e-25)
2.00000000e+03	bottom	(-3.82915310e-03 -2.54089356e-05 -3.15220706e-19)	(-1.70784352e-04 -3.49778430e-12 3.75155734e-19)
