# Wall shear stress
# Time          	patch           	min             	max             
0.00000000e+00	bottom	(-5.63538887e-04 0.00000000e+00 0.00000000e+00)	(-5.63538887e-04 0.00000000e+00 0.00000000e+00)
1.00000000e+00	bottom	(-2.67237165e-03 -1.02992483e-05 -5.38579691e-24)	(-4.84894006e-04 -2.45118539e-09 4.29252736e-24)
2.00000000e+00	bottom	(-2.65913388e-03 -9.83255807e-06 -5.90335276e-24)	(-4.82372419e-04 -4.40062189e-09 4.92981177e-24)
3.00000000e+00	bottom	(-2.65907249e-03 -9.83216444e-06 -6.27649861e-24)	(-4.82366131e-04 -1.39721321e-08 5.51696082e-24)
4.00000000e+00	bottom	(-2.65901063e-03 -9.83187538e-06 -6.54715358e-24)	(-4.82360175e-04 -5.78698775e-08 5.89835221e-24)
5.00000000e+00	bottom	(-2.65895947e-03 -9.83159185e-06 -6.52165143e-24)	(-4.82355377e-04 -5.71165957e-08 5.86262983e-24)
6.00000000e+00	bottom	(-2.65891211e-03 -9.83135151e-06 -6.51790583e-24)	(-4.82350849e-04 -5.53321975e-08 5.85710673e-24)
7.00000000e+00	bottom	(-2.65887272e-03 -9.83113072e-06 -6.51798737e-24)	(-4.82347181e-04 -5.53730769e-08 5.85684485e-24)
8.00000000e+00	bottom	(-2.65883656e-03 -9.83094752e-06 -6.51819867e-24)	(-4.82343710e-04 -5.53606208e-08 5.85840689e-24)
9.00000000e+00	bottom	(-2.65880677e-03 -9.83077825e-06 -6.51873740e-24)	(-4.82340945e-04 -5.53687080e-08 5.85697686e-24)
1.00000000e+01	bottom	(-2.65877924e-03 -9.83063993e-06 -6.51648368e-24)	(-4.82338297e-04 -5.53041875e-08 5.85858039e-24)
