# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
0.00011999      	1.19516269e-01	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.30005996e-03	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99930784e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.000263962     	9.47829147e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	5.10979218e-04	(4.74706631e-03 8.30186469e-06 5.00000000e-01)	101	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99854006e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.000436717     	6.79276155e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.79338057e-04	(4.74706631e-03 1.40185733e-05 5.00000000e-01)	201	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99770137e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.000644009     	5.20780343e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.92148675e-04	(4.74706631e-03 1.98961056e-05 5.00000000e-01)	301	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99680305e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.000892729     	4.26948734e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.61291743e-04	(4.74706631e-03 1.98961056e-05 5.00000000e-01)	301	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99585830e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.00119115      	3.59236003e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.53863185e-04	(1.96867370e+00 2.59389861e-05 5.00000000e-01)	499	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99488245e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.00154914      	3.03685183e-02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.52760163e-04	(1.96867370e+00 3.21518662e-05 5.00000000e-01)	599	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99389331e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.00197859      	2.66713906e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.59962499e-04	(1.96867370e+00 3.21518662e-05 5.00000000e-01)	599	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99291026e-07	(-3.07934261e-01 1.40185733e-05 5.00000000e-01)	22540
0.00249383      	2.57935182e-02	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	1.68534255e-04	(1.96867370e+00 3.85395285e-05 5.00000000e-01)	699	2.12871908e+06	(1.42801977e+00 2.74157932e-06 5.00000000e-01)	89	1.99195560e-07	(-3.07934261e-01 8.30186469e-06 5.00000000e-01)	22520
