# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
0.00011999      	1.00030619e+00	(4.74706631e-03 1.79220579e-04 5.00000000e-01)	2301
0.000263962     	1.00065229e+00	(4.74706631e-03 2.59413638e-04 5.00000000e-01)	3001
0.000436717     	1.00091687e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
0.000644009     	1.00107566e+00	(4.74706631e-03 3.72316461e-04 5.00000000e-01)	3801
0.000892729     	1.00115178e+00	(4.74706631e-03 4.04679875e-04 5.00000000e-01)	4001
0.00119115      	1.00116480e+00	(4.74706631e-03 5.33199463e-04 5.00000000e-01)	4701
0.00154914      	1.00119698e+00	(4.74706631e-03 1.14560962e-03 5.00000000e-01)	6901
0.00197859      	1.00129550e+00	(4.74706631e-03 1.47874040e-03 5.00000000e-01)	7701
0.00249383      	1.00140793e+00	(4.74706631e-03 1.47874040e-03 5.00000000e-01)	7701
0.00311186      	1.00149255e+00	(4.74706631e-03 1.43294529e-03 5.00000000e-01)	7601
0.00385304      	1.00154672e+00	(4.74706631e-03 1.26195734e-03 5.00000000e-01)	7201
0.00474246      	1.00194870e+00	(1.56631511e-03 3.88273712e-04 5.00000000e-01)	3900
0.00580919      	1.00258238e+00	(1.56631511e-03 2.34891146e-04 5.00000000e-01)	2800
0.00708871      	1.00316352e+00	(1.56631511e-03 2.23130820e-04 5.00000000e-01)	2700
0.00862335      	1.00361420e+00	(1.56631511e-03 2.23130820e-04 5.00000000e-01)	2700
0.0104626       	1.00395329e+00	(1.56631511e-03 2.34891146e-04 5.00000000e-01)	2800
0.0126665       	1.00424177e+00	(1.56631511e-03 2.46982316e-04 5.00000000e-01)	2900
0.0153064       	1.00450837e+00	(1.56631511e-03 2.46982316e-04 5.00000000e-01)	2900
0.0184727       	1.00472864e+00	(1.56631511e-03 2.59413638e-04 5.00000000e-01)	3000
0.0222623       	1.00489840e+00	(1.56631511e-03 2.59413638e-04 5.00000000e-01)	3000
0.02681         	1.00500152e+00	(1.56631511e-03 2.59413638e-04 5.00000000e-01)	3000
0.0322468       	1.00504108e+00	(1.56631511e-03 2.59413638e-04 5.00000000e-01)	3000
0.0387418       	1.00504329e+00	(4.74706631e-03 2.98845558e-04 5.00000000e-01)	3301
0.0464938       	1.00508786e+00	(4.74706631e-03 3.12735908e-04 5.00000000e-01)	3401
0.0546435       	1.00510991e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
0.0627234       	1.00510996e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
0.0707343       	1.00508293e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
0.0786768       	1.00503299e+00	(4.74706631e-03 3.27017025e-04 5.00000000e-01)	3501
