# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
0.00011999      	9.43543851e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.47925871e-04	(-1.26978696e-03 2.74157932e-06 5.00000000e-01)	22519	7.45008452e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.09901813e-10	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
0.000263962     	6.97555313e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.45747641e-04	(-4.02621498e-03 2.74157932e-06 5.00000000e-01)	22518	7.39286607e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.17494057e-10	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.000436717     	3.71783391e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.50576508e-05	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	7.32599889e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.17712342e-11	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.000644009     	2.21310181e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.07327214e-06	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	7.24752218e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	9.73952909e-13	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.000892729     	1.98423104e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	6.84807625e-07	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99	7.15552937e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	3.21699388e-13	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.00119115      	1.80729593e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	4.41063429e-07	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	7.04805547e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.07196635e-13	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00154914      	1.52236555e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.96426576e-07	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	6.92308648e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.39251148e-13	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00197859      	1.27922994e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	2.13919405e-07	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	6.77858600e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.00492079e-13	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00249383      	1.09343851e-04	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	1.65531721e-07	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1	6.61255258e+02	(1.96867370e+00 8.67855495e-01 5.00000000e-01)	28199	7.77611866e-14	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
