# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	9.19553658e-02	9.19553658e-02	9.19553658e-02
1               	bottom	7.87402640e-04	6.95343121e-03	5.61131514e-03
2               	bottom	4.99622819e-04	6.94298032e-03	5.14958633e-03
3               	bottom	3.93886073e-04	6.93898857e-03	4.84191418e-03
4               	bottom	3.62309441e-04	6.93615046e-03	4.62605993e-03
5               	bottom	3.60211889e-04	6.93353709e-03	4.47642648e-03
6               	bottom	3.60820501e-04	6.93230246e-03	4.36893030e-03
7               	bottom	3.60910392e-04	6.93146531e-03	4.29013687e-03
8               	bottom	3.60894499e-04	6.93097315e-03	4.23148767e-03
9               	bottom	3.60884184e-04	6.93066736e-03	4.18719532e-03
10              	bottom	3.60878776e-04	6.93044825e-03	4.15359567e-03
