# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	9.19553658e-02	9.19553658e-02	9.19553658e-02
0.00011999      	bottom	2.70533210e-01	2.70715510e-01	2.70709990e-01
0.000263962     	bottom	1.18740418e-01	1.18837157e-01	1.18746741e-01
0.000436717     	bottom	3.75838809e-02	3.77632448e-02	3.75928342e-02
0.000644009     	bottom	1.08108440e-02	1.08722309e-02	1.08175713e-02
0.000892729     	bottom	6.21320582e-03	6.58690278e-03	6.21993981e-03
0.00119115      	bottom	4.98634096e-03	5.62076440e-03	5.00464047e-03
0.00154914      	bottom	4.08780354e-03	4.90845036e-03	4.11279818e-03
0.00197859      	bottom	3.47261421e-03	4.42907795e-03	3.50371494e-03
0.00249383      	bottom	3.05472460e-03	4.10389828e-03	3.09246419e-03
0.00311186      	bottom	2.76251054e-03	3.86615116e-03	2.80665836e-03
0.00385304      	bottom	2.55074683e-03	3.66934786e-03	2.60013078e-03
0.00474246      	bottom	2.39133437e-03	3.49228960e-03	2.44536824e-03
0.00580919      	bottom	2.26803291e-03	3.33309392e-03	2.32671420e-03
0.00708871      	bottom	2.17161320e-03	3.20271878e-03	2.23510488e-03
0.00862335      	bottom	2.09618728e-03	3.10846201e-03	2.16486963e-03
0.0104626       	bottom	2.03758598e-03	3.03585394e-03	2.11169801e-03
0.0126665       	bottom	1.99142785e-03	2.96881522e-03	2.07097209e-03
0.0153064       	bottom	1.95497144e-03	2.90580906e-03	2.03996395e-03
0.0184727       	bottom	1.92694291e-03	2.84670018e-03	2.01771221e-03
0.0222623       	bottom	1.90667788e-03	2.79042612e-03	2.00415680e-03
0.02681         	bottom	1.89362727e-03	2.73593191e-03	1.99954872e-03
0.0322468       	bottom	1.88725489e-03	2.68253638e-03	2.00428889e-03
0.0387418       	bottom	1.88702350e-03	2.62792263e-03	2.01885755e-03
0.0464938       	bottom	1.89231528e-03	2.57249971e-03	2.04386333e-03
0.0546435       	bottom	1.90235623e-03	2.51763477e-03	2.07999026e-03
0.0627234       	bottom	1.91514411e-03	2.46399885e-03	2.12793836e-03
0.0707343       	bottom	1.92897680e-03	2.41189428e-03	2.18833586e-03
0.0786768       	bottom	1.94196742e-03	2.36148914e-03	2.26135624e-03
0.0866192       	bottom	1.95450002e-03	2.36987190e-03	2.34678971e-03
0.0944932       	bottom	1.96796536e-03	2.48066496e-03	2.44465780e-03
0.102367        	bottom	1.98377570e-03	2.60647659e-03	2.55515643e-03
0.110173        	bottom	2.00191751e-03	2.74713531e-03	2.67816328e-03
0.117978        	bottom	2.02044298e-03	2.90218774e-03	2.81325890e-03
0.125784        	bottom	2.03863268e-03	3.07071331e-03	2.95955414e-03
0.133589        	bottom	2.05411394e-03	3.25149172e-03	3.11577552e-03
0.141325        	bottom	2.01592377e-03	3.44281618e-03	3.28023257e-03
0.149061        	bottom	1.97879996e-03	3.64281029e-03	3.45098674e-03
0.156797        	bottom	1.94314008e-03	3.84885970e-03	3.62550355e-03
0.164532        	bottom	1.90913197e-03	4.05761934e-03	3.80083417e-03
0.172268        	bottom	1.87667755e-03	4.26580273e-03	3.97382322e-03
0.180004        	bottom	1.84548628e-03	4.47015618e-03	4.14149355e-03
0.18774         	bottom	1.81528668e-03	4.66786618e-03	4.30138439e-03
0.195476        	bottom	1.78597677e-03	4.85666248e-03	4.45173444e-03
0.203211        	bottom	1.75754194e-03	5.03494587e-03	4.59150006e-03
0.210947        	bottom	1.72998276e-03	5.20180762e-03	4.72026681e-03
0.218683        	bottom	1.70342421e-03	5.35681406e-03	4.83807689e-03
0.226419        	bottom	1.67804275e-03	5.49997337e-03	4.94529493e-03
0.234155        	bottom	1.65369131e-03	5.63171219e-03	5.04250764e-03
0.241891        	bottom	1.63015610e-03	5.75273947e-03	5.13043820e-03
0.249626        	bottom	1.60730232e-03	5.86349871e-03	5.20987476e-03
0.257362        	bottom	1.58510757e-03	5.96468865e-03	5.28161847e-03
0.265098        	bottom	1.56366342e-03	6.05696956e-03	5.34643905e-03
0.272834        	bottom	1.54294286e-03	6.14093125e-03	5.40505177e-03
0.28057         	bottom	1.52289685e-03	6.21714968e-03	5.45811023e-03
