# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
0.00011999      	1.00018330e+00	(6.03404640e-03 1.62696837e-04 5.00000000e-01)	3289
0.000263962     	1.00035959e+00	(6.03404640e-03 1.83908375e-04 5.00000000e-01)	3425
0.000436717     	1.00048965e+00	(6.03404640e-03 2.34910355e-04 5.00000000e-01)	3697
0.000644009     	1.00058367e+00	(6.03404640e-03 2.65460842e-04 5.00000000e-01)	3833
0.000892729     	1.00065345e+00	(6.03404640e-03 3.38943957e-04 5.00000000e-01)	4105
0.00119115      	1.00070454e+00	(6.03404640e-03 4.32706494e-04 5.00000000e-01)	4377
0.00154914      	1.00073813e+00	(6.03404640e-03 7.05058520e-04 5.00000000e-01)	4921
0.00197859      	1.00075752e+00	(6.03404640e-03 7.96565518e-04 5.00000000e-01)	5057
0.00249383      	1.00076378e+00	(6.03404640e-03 1.14867247e-03 5.00000000e-01)	5465
0.00311186      	1.00077645e+00	(6.03404640e-03 1.65637433e-03 5.00000000e-01)	5873
0.00385304      	1.00097468e+00	(2.00594380e-03 1.62696837e-04 5.00000000e-01)	3288
0.00474246      	1.00122612e+00	(2.00594380e-03 1.83908375e-04 5.00000000e-01)	3424
0.00580919      	1.00143485e+00	(2.00594380e-03 2.07860567e-04 5.00000000e-01)	3560
0.00708871      	1.00160484e+00	(2.00594380e-03 2.07860567e-04 5.00000000e-01)	3560
0.00862335      	1.00173142e+00	(2.00594380e-03 2.34910355e-04 5.00000000e-01)	3696
0.0104626       	1.00183709e+00	(2.00594380e-03 2.34910355e-04 5.00000000e-01)	3696
0.0126665       	1.00192482e+00	(2.00594380e-03 2.65460842e-04 5.00000000e-01)	3832
0.0153064       	1.00200803e+00	(2.00594380e-03 2.65460842e-04 5.00000000e-01)	3832
0.0184727       	1.00205681e+00	(2.00594380e-03 2.99967302e-04 5.00000000e-01)	3968
0.0222623       	1.00214876e+00	(6.03404640e-03 3.38943957e-04 5.00000000e-01)	4105
0.02681         	1.00223034e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0322468       	1.00228130e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0387418       	1.00228853e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0464938       	1.00226791e+00	(1.00952164e-02 4.32706494e-04 5.00000000e-01)	4378
0.0557512       	1.00220813e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0656906       	1.00222696e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0756301       	1.00220381e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.0855696       	1.00216065e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.095509        	1.00211427e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.105448        	1.00207255e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.115388        	1.00202660e+00	(6.03404640e-03 3.82971650e-04 5.00000000e-01)	4241
0.125327        	1.00201260e+00	(1.00952164e-02 2.69835751e-03 5.00000000e-01)	6418
0.135267        	1.00203325e+00	(1.00952164e-02 2.69835751e-03 5.00000000e-01)	6418
0.145206        	1.00202571e+00	(1.00952164e-02 2.69835751e-03 5.00000000e-01)	6418
0.155146        	1.00200159e+00	(1.00952164e-02 2.69835751e-03 5.00000000e-01)	6418
0.165085        	1.00196694e+00	(1.00952164e-02 2.69835751e-03 5.00000000e-01)	6418
0.175025        	1.00193827e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.184964        	1.00191843e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.194904        	1.00189297e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.204843        	1.00186240e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.214783        	1.00182747e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.224722        	1.00178827e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.234661        	1.00174733e+00	(1.00952164e-02 2.38844251e-03 5.00000000e-01)	6282
0.244601        	1.00169924e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.25454         	1.00165295e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.26448         	1.00160394e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.274419        	1.00155115e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.284359        	1.00149472e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.294298        	1.00143676e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.304238        	1.00137918e+00	(1.00952164e-02 5.52358376e-04 5.00000000e-01)	4650
0.314177        	1.00132532e+00	(1.00952164e-02 5.52358376e-04 5.00000000e-01)	4650
0.324117        	1.00126223e+00	(1.00952164e-02 5.52358376e-04 5.00000000e-01)	4650
0.334056        	1.00119687e+00	(1.00952164e-02 2.11412074e-03 5.00000000e-01)	6146
0.343996        	1.00114937e+00	(3.95627780e-02 8.09012718e-03 5.00000000e-01)	7649
0.353935        	1.00115945e+00	(4.39383745e-02 8.09012718e-03 5.00000000e-01)	7650
0.363874        	1.00117098e+00	(4.39383745e-02 8.09012718e-03 5.00000000e-01)	7650
0.373814        	1.00118075e+00	(4.39383745e-02 8.09012718e-03 5.00000000e-01)	7650
0.383753        	1.00119108e+00	(4.83601720e-02 8.09012718e-03 5.00000000e-01)	7651
0.393693        	1.00120056e+00	(4.83601720e-02 8.09012718e-03 5.00000000e-01)	7651
0.403632        	1.00120914e+00	(5.28298722e-02 8.09012718e-03 5.00000000e-01)	7652
0.413572        	1.00121821e+00	(5.28298722e-02 8.09012718e-03 5.00000000e-01)	7652
0.423511        	1.00122577e+00	(5.73492342e-02 8.09012718e-03 5.00000000e-01)	7653
0.433451        	1.00123440e+00	(5.73492342e-02 8.09012718e-03 5.00000000e-01)	7653
0.44339         	1.00124172e+00	(5.73492342e-02 8.09012718e-03 5.00000000e-01)	7653
0.45333         	1.00124990e+00	(6.19200784e-02 8.09012718e-03 5.00000000e-01)	7654
0.463269        	1.00125756e+00	(6.19200784e-02 8.09012718e-03 5.00000000e-01)	7654
0.473209        	1.00126554e+00	(6.65442890e-02 8.09012718e-03 5.00000000e-01)	7655
0.483148        	1.00127353e+00	(6.65442890e-02 8.09012718e-03 5.00000000e-01)	7655
0.493087        	1.00128152e+00	(7.12238180e-02 8.09012718e-03 5.00000000e-01)	7656
0.503027        	1.00128970e+00	(7.12238180e-02 8.09012718e-03 5.00000000e-01)	7656
0.512966        	1.00129770e+00	(7.59606883e-02 8.09012718e-03 5.00000000e-01)	7657
0.522906        	1.00130599e+00	(7.59606883e-02 8.09012718e-03 5.00000000e-01)	7657
0.532845        	1.00131414e+00	(8.07569975e-02 8.09012718e-03 5.00000000e-01)	7658
0.542785        	1.00132255e+00	(8.07569975e-02 8.09012718e-03 5.00000000e-01)	7658
0.552724        	1.00133078e+00	(8.56149224e-02 8.09012718e-03 5.00000000e-01)	7659
0.562664        	1.00133906e+00	(8.56149224e-02 8.09012718e-03 5.00000000e-01)	7659
0.572603        	1.00134732e+00	(9.05367226e-02 8.09012718e-03 5.00000000e-01)	7660
0.582543        	1.00135549e+00	(9.05367226e-02 8.09012718e-03 5.00000000e-01)	7660
0.592482        	1.00136389e+00	(9.55247456e-02 8.09012718e-03 5.00000000e-01)	7661
0.602422        	1.00137188e+00	(9.55247456e-02 8.09012718e-03 5.00000000e-01)	7661
0.612361        	1.00138010e+00	(1.00581431e-01 8.09012718e-03 5.00000000e-01)	7662
0.6223          	1.00138814e+00	(1.05709317e-01 8.09012718e-03 5.00000000e-01)	7663
0.63224         	1.00139642e+00	(1.05709317e-01 8.09012718e-03 5.00000000e-01)	7663
0.642179        	1.00140434e+00	(1.10911043e-01 8.09012718e-03 5.00000000e-01)	7664
0.652119        	1.00141214e+00	(1.10911043e-01 8.09012718e-03 5.00000000e-01)	7664
0.662058        	1.00142004e+00	(1.16189360e-01 8.09012718e-03 5.00000000e-01)	7665
0.671998        	1.00142796e+00	(1.21547130e-01 8.09012718e-03 5.00000000e-01)	7666
0.681937        	1.00143602e+00	(1.21547130e-01 8.09012718e-03 5.00000000e-01)	7666
0.691877        	1.00144358e+00	(1.26987341e-01 8.09012718e-03 5.00000000e-01)	7667
0.701816        	1.00145114e+00	(1.26987341e-01 8.09012718e-03 5.00000000e-01)	7667
0.711756        	1.00145882e+00	(1.32513106e-01 8.09012718e-03 5.00000000e-01)	7668
0.721695        	1.00146671e+00	(1.38127676e-01 8.09012718e-03 5.00000000e-01)	7669
0.731635        	1.00147478e+00	(1.43834447e-01 9.13984926e-03 5.00000000e-01)	7806
0.741574        	1.00148288e+00	(1.43834447e-01 9.13984926e-03 5.00000000e-01)	7806
0.751513        	1.00149076e+00	(1.49636965e-01 9.13984926e-03 5.00000000e-01)	7807
0.761453        	1.00149902e+00	(1.55538940e-01 9.13984926e-03 5.00000000e-01)	7808
0.771392        	1.00150735e+00	(1.55538940e-01 9.13984926e-03 5.00000000e-01)	7808
0.781332        	1.00151566e+00	(1.61544254e-01 9.13984926e-03 5.00000000e-01)	7809
0.791271        	1.00152374e+00	(1.61544254e-01 9.13984926e-03 5.00000000e-01)	7809
0.801211        	1.00153142e+00	(1.67656969e-01 9.13984926e-03 5.00000000e-01)	7810
0.81115         	1.00153945e+00	(1.73881344e-01 9.13984926e-03 5.00000000e-01)	7811
0.82109         	1.00154778e+00	(1.80221841e-01 9.13984926e-03 5.00000000e-01)	7812
0.831029        	1.00155602e+00	(1.80221841e-01 9.13984926e-03 5.00000000e-01)	7812
0.840969        	1.00156401e+00	(1.80221841e-01 9.13984926e-03 5.00000000e-01)	7812
0.850908        	1.00157168e+00	(1.86683143e-01 9.13984926e-03 5.00000000e-01)	7813
0.860848        	1.00157914e+00	(1.93270165e-01 9.13984926e-03 5.00000000e-01)	7814
0.870787        	1.00158701e+00	(1.99988071e-01 9.13984926e-03 5.00000000e-01)	7815
0.880726        	1.00159511e+00	(2.06842290e-01 9.13984926e-03 5.00000000e-01)	7816
0.890666        	1.00160321e+00	(2.06842290e-01 9.13984926e-03 5.00000000e-01)	7816
0.900605        	1.00161099e+00	(2.06842290e-01 9.13984926e-03 5.00000000e-01)	7816
0.910545        	1.00161834e+00	(2.13838531e-01 9.13984926e-03 5.00000000e-01)	7817
0.920484        	1.00162551e+00	(2.13838531e-01 9.13984926e-03 5.00000000e-01)	7817
0.930424        	1.00163280e+00	(2.28281455e-01 9.13984926e-03 5.00000000e-01)	7819
0.940363        	1.00164059e+00	(2.28281455e-01 9.13984926e-03 5.00000000e-01)	7819
0.950303        	1.00164856e+00	(2.35741151e-01 9.13984926e-03 5.00000000e-01)	7820
0.960242        	1.00165637e+00	(2.35741151e-01 9.13984926e-03 5.00000000e-01)	7820
0.970182        	1.00166393e+00	(2.35741151e-01 9.13984926e-03 5.00000000e-01)	7820
0.980121        	1.00167112e+00	(2.35741151e-01 9.13984926e-03 5.00000000e-01)	7820
0.990061        	1.00167821e+00	(2.43368945e-01 9.13984926e-03 5.00000000e-01)	7821
1               	1.00168506e+00	(2.51172280e-01 9.13984926e-03 5.00000000e-01)	7822
1.01            	1.00169273e+00	(2.59159022e-01 9.13984926e-03 5.00000000e-01)	7823
1.02            	1.00170068e+00	(2.67337496e-01 9.13984926e-03 5.00000000e-01)	7824
1.03            	1.00170850e+00	(2.67337496e-01 9.13984926e-03 5.00000000e-01)	7824
1.04            	1.00171613e+00	(2.67337496e-01 9.13984926e-03 5.00000000e-01)	7824
