# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.50000000e-04	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	7.50000000e+02	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.00000000e-07	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
0.00011999      	5.08799092e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.20246309e-04	(1.97852077e+00 2.02494007e-05 5.00000000e-01)	1223	7.45008887e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.46357128e-11	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000263962     	3.32957071e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.93985673e-05	(1.93556230e+00 2.02494007e-05 5.00000000e-01)	1222	7.39287590e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	9.77302029e-12	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000436717     	1.75306235e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.47706298e-05	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	7.32601610e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	9.27465905e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000644009     	1.16879022e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.43094157e-06	(1.93556230e+00 1.00232707e-06 5.00000000e-01)	134	7.24754957e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.98505710e-14	(1.93556230e+00 1.00232707e-06 5.00000000e-01)	134
0.000892729     	1.09286864e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.59274421e-07	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	7.15557086e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.00010356e-14	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00119115      	9.74871149e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.71594126e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	7.04811642e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.70537272e-15	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00154914      	8.21179034e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.97055116e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.92317418e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.63271876e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00197859      	7.02062306e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.80909442e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.77871016e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.01968919e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00249383      	6.11412493e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.18707117e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.61272603e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.00120096e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00311186      	5.34491514e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.38431936e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.42348838e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.49714328e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00385304      	4.68014667e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.91983300e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.20963009e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.20548661e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00474246      	4.10920527e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.63578056e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.97015062e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.02712661e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00580919      	3.61991075e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.44823365e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.70505305e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	9.09363618e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00708871      	3.19567957e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.32011682e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.41513481e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.28917492e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.00862335      	-1.25620901e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.22787737e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.10234070e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.70999211e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.0104626       	-8.78327311e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.15992636e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	4.77000003e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.28331946e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
0.0126665       	-1.55819235e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.10313121e-09	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	4.42244835e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.92669574e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0153064       	-2.16832690e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.05577827e-09	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	4.06502628e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.62936085e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0184727       	-2.72615601e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.01679897e-09	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	3.70325204e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.38460504e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0222623       	-3.20656039e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.84863277e-10	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	3.34416656e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.18407694e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.02681         	-3.58984814e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.59234488e-10	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	2.99307199e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.02315064e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0322468       	-3.85924164e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.39564240e-10	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	2.65696897e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.89963874e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0387418       	-4.05419472e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.25666624e-10	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	2.34070557e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.81237391e-17	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
0.0464938       	-4.19214582e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.11760413e-10	(1.41907466e-02 1.00232707e-06 5.00000000e-01)	27	2.04792473e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.72505512e-17	(1.41907466e-02 1.00232707e-06 5.00000000e-01)	27
0.0557512       	-4.28083541e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.00322188e-10	(1.41907466e-02 1.00232707e-06 5.00000000e-01)	27	1.78057487e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.65323310e-17	(1.41907466e-02 1.00232707e-06 5.00000000e-01)	27
0.0656906       	-4.21505796e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.92198951e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.56214192e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.60222630e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.0756301       	-4.06485471e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.86251064e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.39319846e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.56487879e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.0855696       	-3.91194852e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.84328937e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.25899850e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.55280952e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.095509        	-3.75363475e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.86905362e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.14970420e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.56898721e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.105448        	-3.58979673e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.94479933e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	1.05878326e+02	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.61654887e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.115388        	-3.41526198e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.07708730e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	9.81810585e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.69961410e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.125327        	-3.23038054e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.27507590e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	9.15700598e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.82393357e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.135267        	-3.02917714e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.55098923e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	8.58236247e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	5.99718292e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.145206        	-2.80701210e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	9.92037213e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	8.07779939e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.22912295e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.155146        	-2.55644833e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.04023899e-09	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	7.63092568e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.53178782e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.165085        	-2.45343367e-03	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	1.10202345e-09	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	7.23216960e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	6.91974000e-17	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.175025        	-2.37285525e-03	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	1.14097013e-09	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.87400540e+01	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.16429098e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
