# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	3.36190721e-02	3.36190721e-02	3.36190721e-02
1               	bottom	1.44622249e-04	5.14356923e-04	3.48691042e-04
2               	bottom	8.88232336e-05	5.12235229e-04	3.14440118e-04
3               	bottom	6.73069271e-05	5.11872394e-04	3.05604017e-04
4               	bottom	5.65579908e-05	5.11668235e-04	3.02419683e-04
5               	bottom	4.99318477e-05	5.11542888e-04	3.01275444e-04
6               	bottom	4.59743716e-05	5.11462251e-04	3.00879865e-04
7               	bottom	4.36672375e-05	5.11410960e-04	3.00745039e-04
8               	bottom	4.23952273e-05	5.11374689e-04	3.00698789e-04
9               	bottom	4.17270089e-05	5.11348378e-04	3.00681858e-04
10              	bottom	4.13912805e-05	5.11329356e-04	3.00674894e-04
