# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	3.36190721e-02	3.36190721e-02	3.36190721e-02
0.00011999      	bottom	1.00778398e-01	1.00784420e-01	1.00784239e-01
0.000263962     	bottom	3.42456192e-02	3.42794965e-02	3.42788487e-02
0.000436717     	bottom	1.05496876e-02	1.05745594e-02	1.05739682e-02
0.000644009     	bottom	3.28360602e-03	3.28894334e-03	3.28381151e-03
0.000892729     	bottom	1.09550184e-03	1.14561336e-03	1.09624343e-03
0.00119115      	bottom	4.52376753e-04	5.70896248e-04	4.54157781e-04
0.00154914      	bottom	2.59985817e-04	4.33364541e-04	2.62495563e-04
0.00197859      	bottom	1.90358268e-04	3.93459234e-04	1.93192300e-04
0.00249383      	bottom	1.54965840e-04	3.74950810e-04	1.57943294e-04
0.00311186      	bottom	1.34036261e-04	3.64150037e-04	1.37091349e-04
0.00385304      	bottom	1.20274018e-04	3.56427010e-04	1.23365660e-04
0.00474246      	bottom	1.11020356e-04	3.50448611e-04	1.14118868e-04
0.00580919      	bottom	1.04462258e-04	3.45346775e-04	1.07538218e-04
0.00708871      	bottom	9.97346976e-05	3.40785250e-04	1.02756354e-04
0.00862335      	bottom	9.61872680e-05	3.36624076e-04	9.91125916e-05
0.0104626       	bottom	9.34878781e-05	3.32913710e-04	9.62599159e-05
0.0126665       	bottom	9.11703619e-05	3.29638441e-04	9.39407631e-05
0.0153064       	bottom	8.91921130e-05	3.26749339e-04	9.20156702e-05
0.0184727       	bottom	8.75301436e-05	3.24136363e-04	9.03851505e-05
0.0222623       	bottom	8.61446012e-05	3.21697971e-04	8.89950224e-05
0.02681         	bottom	8.50163559e-05	3.19353165e-04	8.78079201e-05
0.0322468       	bottom	8.41401598e-05	3.17051759e-04	8.68004691e-05
0.0387418       	bottom	8.35155596e-05	3.14770449e-04	8.59512386e-05
0.0464938       	bottom	8.28858621e-05	3.12500366e-04	8.52460567e-05
0.0557512       	bottom	8.23643110e-05	3.10226593e-04	8.46794433e-05
0.0656906       	bottom	8.19918994e-05	3.07943152e-04	8.42595645e-05
0.0756301       	bottom	8.17181409e-05	3.05652225e-04	8.40039345e-05
0.0855696       	bottom	8.16294765e-05	3.03358320e-04	8.39339114e-05
0.095509        	bottom	8.17483006e-05	3.01065768e-04	8.40703446e-05
0.105448        	bottom	8.20966421e-05	2.98772722e-04	8.44351258e-05
0.115388        	bottom	8.27014929e-05	2.96461843e-04	8.50566260e-05
0.125327        	bottom	8.35985662e-05	2.94128766e-04	8.59728096e-05
0.135267        	bottom	8.48328916e-05	2.91778953e-04	8.72315249e-05
0.145206        	bottom	8.64577790e-05	2.89418020e-04	8.88883017e-05
0.155146        	bottom	8.85333010e-05	2.87046408e-04	9.10051337e-05
0.165085        	bottom	9.11245741e-05	2.84668581e-04	9.36486654e-05
0.175025        	bottom	9.27208131e-05	2.82294091e-04	9.68880208e-05
0.184964        	bottom	9.42643772e-05	2.79894467e-04	1.00791569e-04
0.194904        	bottom	9.61292725e-05	2.77489206e-04	1.05423062e-04
0.204843        	bottom	9.82498419e-05	2.75080682e-04	1.10834003e-04
0.214783        	bottom	1.00552307e-04	2.72671818e-04	1.17054827e-04
0.224722        	bottom	1.02965617e-04	2.70265841e-04	1.24085521e-04
0.234661        	bottom	1.05428963e-04	2.67866406e-04	1.31889201e-04
0.244601        	bottom	1.07908811e-04	2.65477229e-04	1.40391737e-04
0.25454         	bottom	1.10393617e-04	2.63100185e-04	1.49487345e-04
0.26448         	bottom	1.12872714e-04	2.60735697e-04	1.59048662e-04
0.274419        	bottom	1.15359667e-04	2.58386483e-04	1.68939289e-04
0.284359        	bottom	1.17887294e-04	2.56056073e-04	1.79025182e-04
0.294298        	bottom	1.20502286e-04	2.61867252e-04	1.89183114e-04
0.304238        	bottom	1.23250084e-04	2.77582835e-04	1.99305195e-04
0.314177        	bottom	1.26154815e-04	2.93019937e-04	2.09300227e-04
0.324117        	bottom	1.29216028e-04	3.08049876e-04	2.19093490e-04
0.334056        	bottom	1.32425992e-04	3.22569652e-04	2.28625829e-04
0.343996        	bottom	1.35778137e-04	3.36501203e-04	2.37851971e-04
0.353935        	bottom	1.39266606e-04	3.49789494e-04	2.46736975e-04
0.363874        	bottom	1.42882635e-04	3.62399477e-04	2.55253950e-04
0.373814        	bottom	1.46613040e-04	3.74312642e-04	2.63384002e-04
0.383753        	bottom	1.50443106e-04	3.85523926e-04	2.71116136e-04
0.393693        	bottom	1.54356919e-04	3.96039056e-04	2.78446059e-04
0.403632        	bottom	1.58336713e-04	4.05872195e-04	2.85374514e-04
0.413572        	bottom	1.62364016e-04	4.15043704e-04	2.91905891e-04
0.423511        	bottom	1.66419948e-04	4.23578147e-04	2.98047249e-04
0.433451        	bottom	1.70486757e-04	4.31502543e-04	3.03807684e-04
0.44339         	bottom	1.74549042e-04	4.38845348e-04	3.09197881e-04
0.45333         	bottom	1.78593397e-04	4.45635887e-04	3.14229782e-04
0.463269        	bottom	1.82607113e-04	4.51903940e-04	3.18916310e-04
0.473209        	bottom	1.86577752e-04	4.57679432e-04	3.23271105e-04
0.483148        	bottom	1.90495314e-04	4.62992248e-04	3.27308314e-04
0.493087        	bottom	1.94351477e-04	4.67872926e-04	3.31042405e-04
0.503027        	bottom	1.98137663e-04	4.72351490e-04	3.34487993e-04
0.512966        	bottom	2.01845019e-04	4.76456517e-04	3.37659665e-04
0.522906        	bottom	2.05464839e-04	4.80214779e-04	3.40571847e-04
0.532845        	bottom	2.05472014e-04	4.83651315e-04	3.43238708e-04
0.542785        	bottom	2.03747307e-04	4.86789579e-04	3.45674035e-04
0.552724        	bottom	2.02046707e-04	4.89651619e-04	3.47891191e-04
0.562664        	bottom	2.00369783e-04	4.92258144e-04	3.49903044e-04
0.572603        	bottom	1.98714700e-04	4.94628572e-04	3.51721964e-04
0.582543        	bottom	1.97080251e-04	4.96781049e-04	3.53359695e-04
0.592482        	bottom	1.95467729e-04	4.98732505e-04	3.54826472e-04
0.602422        	bottom	1.93876485e-04	5.00498728e-04	3.56131074e-04
0.612361        	bottom	1.92305806e-04	5.02094468e-04	3.57281883e-04
0.6223          	bottom	1.90755324e-04	5.03533546e-04	3.58287672e-04
0.63224         	bottom	1.89224843e-04	5.04828939e-04	3.59157697e-04
0.642179        	bottom	1.87714195e-04	5.05992833e-04	3.59901380e-04
0.652119        	bottom	1.86223188e-04	5.07036754e-04	3.60527954e-04
0.662058        	bottom	1.84751607e-04	5.07971586e-04	3.61046218e-04
0.671998        	bottom	1.83299224e-04	5.08807487e-04	3.61464426e-04
0.681937        	bottom	1.81865804e-04	5.09553826e-04	3.61790250e-04
0.691877        	bottom	1.80451120e-04	5.10219174e-04	3.62030837e-04
0.701816        	bottom	1.79056142e-04	5.10811347e-04	3.62192848e-04
0.711756        	bottom	1.77681355e-04	5.11337377e-04	3.62282461e-04
0.721695        	bottom	1.76325145e-04	5.11803449e-04	3.62305407e-04
0.731635        	bottom	1.74986392e-04	5.12215117e-04	3.62267022e-04
0.741574        	bottom	1.73664641e-04	5.12577562e-04	3.62172279e-04
0.751513        	bottom	1.72359705e-04	5.12895676e-04	3.62025784e-04
0.761453        	bottom	1.71071451e-04	5.13174023e-04	3.61831764e-04
0.771392        	bottom	1.69799714e-04	5.13416780e-04	3.61594031e-04
0.781332        	bottom	1.68544298e-04	5.13627709e-04	3.61315956e-04
0.791271        	bottom	1.67304987e-04	5.13810161e-04	3.61000432e-04
0.801211        	bottom	1.66081561e-04	5.13967120e-04	3.60649881e-04
