# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.50000000e+02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	3.71781672e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.35491840e-03	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99996962e-07	(1.04954388e+00 3.89948887e-05 5.00000000e-01)	28743
0.000263962     	3.07931724e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.13843083e-04	(5.00000000e-04 1.25116310e-06 5.00000000e-01)	1184	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99991937e-07	(-3.17746885e-01 4.30341082e-05 5.00000000e-01)	29921
0.000436717     	2.31311729e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49673723e-04	(-3.28081024e-01 2.48855063e-05 5.00000000e-01)	21216	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99984291e-07	(-3.17746885e-01 4.59250108e-05 5.00000000e-01)	31009
0.000644009     	2.04664207e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49515498e-04	(-3.28081024e-01 2.67507109e-05 5.00000000e-01)	22304	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99973678e-07	(-3.17746885e-01 5.05854084e-05 5.00000000e-01)	32641
0.000892729     	1.87311730e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49330825e-04	(-3.28081024e-01 2.87154844e-05 5.00000000e-01)	23392	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99960278e-07	(1.01732503e+00 5.39252342e-05 5.00000000e-01)	34180
0.00119115      	1.73762437e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49117061e-04	(-3.28081024e-01 3.07871400e-05 5.00000000e-01)	24480	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99943648e-07	(-3.07735209e-01 5.74657754e-05 5.00000000e-01)	34818
0.00154914      	1.61564782e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.48876270e-04	(-3.28081024e-01 3.18654420e-05 5.00000000e-01)	25024	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99923803e-07	(-3.07735209e-01 5.93154021e-05 5.00000000e-01)	35362
0.00197859      	1.49349055e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.48601818e-04	(-3.28081024e-01 3.41120108e-05 5.00000000e-01)	26112	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99901164e-07	(-3.07735209e-01 6.31819726e-05 5.00000000e-01)	36450
0.00249383      	1.36745292e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.48299765e-04	(-3.28081024e-01 3.52823677e-05 5.00000000e-01)	26656	2.56000000e+08	(1.26466900e-02 2.50000000e-07 5.00000000e-01)	108	1.99875218e-07	(-3.07735209e-01 6.72837131e-05 5.00000000e-01)	37538
