# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.50000000e+02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	3.71908962e-05	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.14850195e-04	(1.99463019e+00 5.33999323e-06 5.00000000e-01)	5983	7.45013034e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.29263032e-12	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000263962     	2.68289264e-05	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	7.46871443e-05	(-3.17746885e-01 4.81655643e-06 5.00000000e-01)	4897	7.39296963e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.55280999e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000436717     	1.22899644e-05	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.48427916e-05	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.32618024e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.79796549e-14	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000644009     	6.87829649e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.58759863e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.24781075e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	6.20155715e-15	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000892729     	6.04257101e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.77497784e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.15596639e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	6.93350720e-16	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00119115      	5.06353152e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.26476076e-08	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	7.04869754e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	8.84672173e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00154914      	3.87254468e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	4.06905921e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	6.92401014e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.58947625e-17	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00197859      	3.00733243e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.42056811e-09	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	6.77989347e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.54909420e-18	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00249383      	2.40421885e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	8.12006970e-10	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	6.61437862e+02	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	3.17190223e-18	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
