# Wall shear stress
# Time          	patch           	min             	max             
0.00000000e+00	top	(0.00000000e+00 0.00000000e+00 0.00000000e+00)	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.00000000e+00	bottom	(-8.00000000e-01 0.00000000e+00 0.00000000e+00)	(-8.00000000e-01 0.00000000e+00 0.00000000e+00)
1.00000000e+00	top	(-7.48169521e-13 -3.91182864e-12 -4.24309244e-46)	(1.25330446e-12 -8.92442051e-14 4.63467201e-46)
1.00000000e+00	bottom	(-6.79448932e-03 -2.13486190e-05 0.00000000e+00)	(-6.08155814e-03 4.12785538e-07 0.00000000e+00)
2.00000000e+00	top	(-1.32232197e-12 -9.04734216e-12 -5.42561384e-45)	(2.77633507e-12 -1.91538924e-13 5.47835457e-45)
2.00000000e+00	bottom	(-4.41255734e-03 -2.14005847e-05 0.00000000e+00)	(-2.88931726e-03 1.61742362e-10 0.00000000e+00)
3.00000000e+00	top	(-1.48972131e-12 -1.82436058e-11 -1.87407869e-44)	(5.59664868e-12 -3.76221227e-13 1.89964391e-44)
3.00000000e+00	bottom	(-3.98342522e-03 -2.15393708e-05 0.00000000e+00)	(-1.96607180e-03 1.18112362e-10 0.00000000e+00)
4.00000000e+00	top	(-1.32106173e-12 -3.03290956e-11 -3.63408621e-44)	(9.11057978e-12 -6.17933699e-13 3.71713176e-44)
4.00000000e+00	bottom	(-3.96052448e-03 -2.15621091e-05 0.00000000e+00)	(-1.87847631e-03 1.27651293e-10 0.00000000e+00)
5.00000000e+00	top	(-1.56331340e-12 -4.20875892e-11 -5.69584520e-44)	(1.24669680e-11 -8.41154981e-13 5.70175941e-44)
5.00000000e+00	bottom	(-3.98618971e-03 -2.15373363e-05 0.00000000e+00)	(-1.91712450e-03 -1.57275056e-13 0.00000000e+00)
6.00000000e+00	top	(-1.36726265e-12 -5.22419310e-11 -8.52657797e-44)	(1.53619943e-11 -1.03878431e-12 8.54790101e-44)
6.00000000e+00	bottom	(-3.98839944e-03 -2.15124285e-05 0.00000000e+00)	(-1.83294392e-03 -7.36955021e-13 0.00000000e+00)
7.00000000e+00	top	(-1.49772145e-12 -6.11728433e-11 -9.37281797e-44)	(1.77595921e-11 -1.19804154e-12 9.55074204e-44)
7.00000000e+00	bottom	(-3.97633925e-03 -2.14975415e-05 0.00000000e+00)	(-1.73085165e-03 -1.29882103e-12 0.00000000e+00)
8.00000000e+00	top	(-6.11296302e-13 -6.88056303e-11 -1.20562535e-43)	(1.99520497e-11 -1.35526179e-12 1.20342765e-43)
8.00000000e+00	bottom	(-3.96577662e-03 -2.14925856e-05 0.00000000e+00)	(-1.64003356e-03 -1.47235629e-12 0.00000000e+00)
9.00000000e+00	top	(-1.45067445e-12 -7.53353094e-11 -1.12385549e-43)	(2.17653887e-11 -1.46315886e-12 1.12853447e-43)
9.00000000e+00	bottom	(-3.96034465e-03 -2.14922553e-05 0.00000000e+00)	(-1.56491983e-03 -1.46106171e-12 0.00000000e+00)
1.00000000e+01	top	(-7.54668715e-13 -8.04633318e-11 -1.25607395e-43)	(2.30190953e-11 -1.56630839e-12 1.25299854e-43)
1.00000000e+01	bottom	(-3.95849868e-03 -2.14931235e-05 0.00000000e+00)	(-1.50298480e-03 -1.78365021e-12 0.00000000e+00)
