# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(nuTilda)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.00000000e-06	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.47285058e-06	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
0.00011999      	1.07925033e-01	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00001585e-06	(-6.04783071e-03 4.67554375e-05 5.00000000e-01)	1926	1.47287148e-06	(-6.04783071e-03 4.67554375e-05 5.00000000e-01)	1926
0.000263962     	4.46851565e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00004231e-06	(-6.04783071e-03 5.31645463e-05 5.00000000e-01)	2062	1.47290637e-06	(-6.04783071e-03 5.31645463e-05 5.00000000e-01)	2062
0.000436717     	4.21655362e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00007801e-06	(-6.04783071e-03 5.31645463e-05 5.00000000e-01)	2062	1.47295345e-06	(-6.04783071e-03 5.31645463e-05 5.00000000e-01)	2062
0.000644009     	3.72385600e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00012303e-06	(-6.04783071e-03 6.03659281e-05 5.00000000e-01)	2198	1.47301283e-06	(-6.04783071e-03 6.03659281e-05 5.00000000e-01)	2198
0.000892729     	3.20773410e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00017564e-06	(-6.04783071e-03 6.84668997e-05 5.00000000e-01)	2334	1.47308219e-06	(-6.04783071e-03 6.84668997e-05 5.00000000e-01)	2334
0.00119115      	2.73932782e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00023774e-06	(-6.04783071e-03 6.84668997e-05 5.00000000e-01)	2334	1.47316409e-06	(-6.04783071e-03 6.84668997e-05 5.00000000e-01)	2334
0.00154914      	2.34728611e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00030901e-06	(-6.04783071e-03 7.75881842e-05 5.00000000e-01)	2470	1.47325807e-06	(-6.04783071e-03 7.75881842e-05 5.00000000e-01)	2470
0.00197859      	2.02502078e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00038969e-06	(-6.04783071e-03 7.75881842e-05 5.00000000e-01)	2470	1.47336447e-06	(-6.04783071e-03 7.75881842e-05 5.00000000e-01)	2470
0.00249383      	1.75964023e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00048239e-06	(-6.04783071e-03 8.78657095e-05 5.00000000e-01)	2606	1.47348670e-06	(-6.04783071e-03 8.78657095e-05 5.00000000e-01)	2606
0.00311186      	1.53934949e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00058323e-06	(-6.04783071e-03 8.78657095e-05 5.00000000e-01)	2606	1.47361968e-06	(-6.04783071e-03 8.78657095e-05 5.00000000e-01)	2606
0.00385304      	1.34865537e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00069874e-06	(-6.04783071e-03 9.94526341e-05 5.00000000e-01)	2742	1.47377200e-06	(-6.04783071e-03 9.94526341e-05 5.00000000e-01)	2742
0.00474246      	1.17793175e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00081885e-06	(-6.04783071e-03 9.94526341e-05 5.00000000e-01)	2742	1.47393039e-06	(-6.04783071e-03 9.94526341e-05 5.00000000e-01)	2742
0.00580919      	1.02639705e-02	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00094990e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878	1.47410319e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878
0.00708871      	9.03723454e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00108231e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878	1.47427779e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878
0.00862335      	8.48246640e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00121689e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878	1.47445524e-06	(-6.04783071e-03 1.12521630e-04 5.00000000e-01)	2878
0.0104626       	8.14177477e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00136238e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014	1.47464708e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014
0.0126665       	8.03361407e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00151901e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014	1.47485361e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014
0.0153064       	7.96747503e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00168557e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014	1.47507322e-06	(-6.04783071e-03 1.27267454e-04 5.00000000e-01)	3014
0.0184727       	7.89650332e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00187336e-06	(-6.04783071e-03 1.43909853e-04 5.00000000e-01)	3150	1.47532083e-06	(-6.04783071e-03 1.43909853e-04 5.00000000e-01)	3150
0.0222623       	7.79053676e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	2.00208024e-06	(-6.04783071e-03 1.43909853e-04 5.00000000e-01)	3150	1.47559360e-06	(-6.04783071e-03 1.43909853e-04 5.00000000e-01)	3150
