# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(nuTilda)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.00000000e-06	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.47285058e-06	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
0.00011999      	6.00951126e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.23631139e-07	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135	8.70103714e-10	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
0.000263962     	2.44380876e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.58427681e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	5.76413513e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000436717     	1.51511589e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.10148607e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	9.88301529e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000644009     	1.21758890e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.66859530e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	6.32596372e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.000892729     	1.12527367e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.31574964e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	4.22139862e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00119115      	9.68602687e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	3.02818117e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.93669047e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00154914      	8.15749214e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.79564227e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.13333003e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00197859      	7.01947435e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.60502414e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.60834529e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00249383      	6.11455529e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.44598802e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.25011525e-13	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00311186      	5.34145301e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.31131973e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	9.96720057e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00385304      	4.67945878e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.19601439e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	8.12220763e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00474246      	4.11175688e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.09633276e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	6.74488347e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00580919      	3.62475332e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.00948817e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	5.69476166e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00708871      	3.20241442e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.93371169e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	4.88315777e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.00862335      	-2.91057341e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.86892662e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	4.26091601e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0104626       	-1.04351806e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.81565714e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	3.79550373e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0126665       	-1.73259950e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.77352660e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	3.45529356e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0153064       	-2.36547891e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.74133675e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	3.21118431e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0184727       	-2.93979360e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.71909100e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	3.05020948e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0222623       	-3.44116387e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.69980840e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.91564139e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.02681         	-3.87903383e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.69200925e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.86249782e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0322468       	-4.23133305e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.68294664e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.80166127e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
0.0387418       	-4.49049869e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.67653992e-08	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.75924238e-14	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
