# Wall shear stress
# Time          	patch           	min             	max             
0.00000000e+00	bottom	(-7.43978487e-01 0.00000000e+00 0.00000000e+00)	(-7.43978487e-01 0.00000000e+00 0.00000000e+00)
1.00000000e+00	bottom	(-5.69434952e-03 -3.52914106e-05 -3.93476532e-37)	(-1.85650744e-03 -2.92765736e-14 2.16272849e-37)
2.00000000e+00	bottom	(-5.68833479e-03 -3.52591281e-05 -5.61430553e-37)	(-1.56058195e-03 -2.82558825e-13 2.13620911e-37)
3.00000000e+00	bottom	(-5.68304873e-03 -3.52310391e-05 -6.32682257e-37)	(-1.41343901e-03 -2.71619143e-12 2.64720512e-37)
4.00000000e+00	bottom	(-5.67853083e-03 -3.52078390e-05 -6.73907438e-37)	(-1.32730793e-03 2.30498626e-10 3.08348325e-37)
5.00000000e+00	bottom	(-5.67476945e-03 -3.51891279e-05 -6.97650148e-37)	(-1.27918207e-03 -4.90026646e-11 3.30415916e-37)
6.00000000e+00	bottom	(-5.67171466e-03 -3.51741968e-05 -7.11936602e-37)	(-1.25594645e-03 -6.90432295e-11 3.39547552e-37)
7.00000000e+00	bottom	(-5.66924109e-03 -3.51623409e-05 -7.17354947e-37)	(-1.24593785e-03 -7.99338954e-11 3.42998495e-37)
8.00000000e+00	bottom	(-5.66720362e-03 -3.51529040e-05 -7.19192714e-37)	(-1.24200892e-03 -8.49177542e-11 3.44165768e-37)
9.00000000e+00	bottom	(-5.66554375e-03 -3.51453676e-05 -7.19863272e-37)	(-1.24059646e-03 -8.69298459e-11 3.44580915e-37)
1.00000000e+01	bottom	(-5.66417391e-03 -3.51393133e-05 -7.20009210e-37)	(-1.24012627e-03 -8.76590673e-11 3.44677187e-37)
