# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	5.76223918e+01	5.76223918e+01	5.76223918e+01
1               	bottom	1.18644739e-06	2.75172168e-06	1.45793172e-06
2               	bottom	9.39867505e-07	2.74913831e-06	1.21579853e-06
3               	bottom	7.73387255e-07	2.74747051e-06	1.14756653e-06
4               	bottom	6.83327553e-07	2.74588347e-06	1.12401348e-06
5               	bottom	6.35713731e-07	2.74435019e-06	1.11535465e-06
6               	bottom	6.13463019e-07	2.74284059e-06	1.11216587e-06
7               	bottom	6.04034494e-07	2.74144845e-06	1.11098254e-06
8               	bottom	6.00366500e-07	2.74011928e-06	1.11051716e-06
9               	bottom	5.99054702e-07	2.73883382e-06	1.11030419e-06
10              	bottom	5.98619501e-07	2.73765487e-06	1.11018086e-06
