# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(nuTilda)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.47285058e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	4.01370682e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999999e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285056e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.000263962     	2.60142360e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999998e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285055e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.000436717     	2.96236743e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999996e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285053e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.000644009     	2.98127591e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999994e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285050e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.000892729     	2.92391752e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999992e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285047e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.00119115      	2.78383006e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999990e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285044e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.00154914      	2.57253998e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999987e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285041e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.00197859      	2.31375739e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999985e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285038e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
0.00249383      	2.03572379e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.99999984e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384	1.47285037e-06	(-3.28081024e-01 5.03521268e-01 5.00000000e-01)	196384
