# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	1.00003940e+00	(-3.17746885e-01 9.12183300e-04 5.00000000e-01)	83777
0.000263962     	1.00007190e+00	(-3.17746885e-01 1.06248013e-03 5.00000000e-01)	86497
0.000436717     	1.00009715e+00	(-3.17746885e-01 1.20035582e-03 5.00000000e-01)	88673
0.000644009     	1.00011544e+00	(-3.17746885e-01 1.31537953e-03 5.00000000e-01)	90305
0.000892729     	1.00012861e+00	(-3.17746885e-01 1.44142347e-03 5.00000000e-01)	91937
0.00119115      	1.00013839e+00	(-3.17746885e-01 1.57954363e-03 5.00000000e-01)	93569
0.00154914      	1.00014593e+00	(-3.17746885e-01 1.78450490e-03 5.00000000e-01)	95745
0.00197859      	1.00015180e+00	(-3.17746885e-01 2.14287054e-03 5.00000000e-01)	99009
0.00249383      	1.00015647e+00	(-3.17746885e-01 2.65289109e-03 5.00000000e-01)	102817
0.00311186      	1.00016059e+00	(-3.17746885e-01 3.28429485e-03 5.00000000e-01)	106625
0.00385304      	1.00016483e+00	(-3.17746885e-01 4.06597175e-03 5.00000000e-01)	110433
0.00474246      	1.00016934e+00	(-3.17746885e-01 4.32171729e-03 5.00000000e-01)	111521
0.00580919      	1.00017395e+00	(-3.17746885e-01 4.73581038e-03 5.00000000e-01)	113153
0.00708871      	1.00017968e+00	(-3.17746885e-01 4.88247782e-03 5.00000000e-01)	113697
0.00862335      	1.00018681e+00	(-3.17746885e-01 5.35030049e-03 5.00000000e-01)	115329
0.0104626       	1.00019605e+00	(-3.17746885e-01 5.68682789e-03 5.00000000e-01)	116417
0.0126665       	1.00020717e+00	(-3.17746885e-01 5.68682789e-03 5.00000000e-01)	116417
0.0153064       	1.00021989e+00	(-3.17746885e-01 5.86294790e-03 5.00000000e-01)	116961
0.0184727       	1.00023376e+00	(-3.17746885e-01 5.86294790e-03 5.00000000e-01)	116961
0.0222623       	1.00024822e+00	(-3.17746885e-01 5.86294790e-03 5.00000000e-01)	116961
0.02681         	1.00026272e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
0.0322468       	1.00027708e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
0.0387418       	1.00029088e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
0.0464938       	1.00030322e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
0.0557512       	1.00031333e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
0.0656906       	1.00032218e+00	(-3.17746885e-01 5.86294790e-03 5.00000000e-01)	116961
0.0756301       	1.00033007e+00	(-3.17746885e-01 5.86294790e-03 5.00000000e-01)	116961
0.0855696       	1.00033685e+00	(-3.17746885e-01 5.68682789e-03 5.00000000e-01)	116417
0.095509        	1.00034325e+00	(-3.17746885e-01 5.68682789e-03 5.00000000e-01)	116417
0.105448        	1.00034982e+00	(-3.17746885e-01 5.51599840e-03 5.00000000e-01)	115873
0.115388        	1.00035666e+00	(-3.17746885e-01 5.51599840e-03 5.00000000e-01)	115873
0.125327        	1.00036378e+00	(-3.17746885e-01 5.51599840e-03 5.00000000e-01)	115873
0.135267        	1.00037117e+00	(-3.17746885e-01 5.35030049e-03 5.00000000e-01)	115329
0.145206        	1.00037874e+00	(-3.17746885e-01 5.35030049e-03 5.00000000e-01)	115329
0.155032        	1.00038667e+00	(-3.17746885e-01 5.35030049e-03 5.00000000e-01)	115329
0.164744        	1.00039477e+00	(-3.17746885e-01 5.35030049e-03 5.00000000e-01)	115329
