# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(nuTilda)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.00000000e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.47285058e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	3.63144076e-05	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.21872925e-07	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543	8.43138061e-10	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
0.000263962     	1.39390906e-05	(1.99463019e+00 7.50232578e-07 5.00000000e-01)	1087	5.00857559e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.19772243e-12	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000436717     	8.66061121e-06	(1.99463019e+00 1.57954363e-03 5.00000000e-01)	94111	3.44661020e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	4.92830334e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000644009     	6.19972910e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	3.01566024e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.88842069e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.000892729     	5.14207141e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.60936322e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.61908787e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00119115      	4.09867102e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.33191763e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.03272780e-13	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00154914      	3.18437792e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.11822897e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.03113015e-14	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00197859      	2.51647240e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.95145938e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	5.06491196e-14	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00249383      	2.01679165e-06	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.81660670e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	3.80344992e-14	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
