# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	3.96121764e-01	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
0.000263962     	1.74622205e-01	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000436717     	1.16886359e-01	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000644009     	9.33859986e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000892729     	7.99659092e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00119115      	7.09398676e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00154914      	6.43133426e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00197859      	5.91736843e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00249383      	5.50355474e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00311186      	5.16093667e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00385304      	4.87114746e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00474246      	4.62184000e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00580919      	4.40435517e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00708871      	4.21244173e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00862335      	4.04142984e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0104626       	3.88777396e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0126665       	3.74871126e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0153064       	3.62206230e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0184727       	3.50607589e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0222623       	3.39933075e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.02681         	3.30065632e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0322468       	3.20908135e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0387418       	3.12379040e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0464938       	3.04409366e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0557512       	2.96940308e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0656906       	2.89922029e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0756301       	2.83310898e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0855696       	2.77068719e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.095509        	2.71162256e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.105448        	2.65562335e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.115388        	2.60243227e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.125327        	2.55182139e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.135267        	2.50358794e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.145206        	2.45755087e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.155032        	2.41354835e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.164744        	2.37143433e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.174344        	2.33107714e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.183835        	2.29235767e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.193216        	2.25516782e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.202489        	2.21940929e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.211656        	2.18499237e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.220718        	2.15183507e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.229675        	2.11986194e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.238529        	2.08900336e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.247383        	2.05919470e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.256135        	2.03037722e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.264784        	2.00249637e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.273333        	1.97550197e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.281882        	1.94934744e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.290331        	1.92399041e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.29868         	1.89939108e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.307029        	1.87551221e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.315279        	1.85231976e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.323528        	1.82978126e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.331679        	1.80786706e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.339731        	1.78654898e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.347783        	1.76580036e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.355737        	1.74559681e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.36369         	1.72591467e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.371546        	1.70673236e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.379402        	1.68802885e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.387159        	1.66978501e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.394917        	1.65198211e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.402576        	1.63460312e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.410235        	1.61763129e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.417796        	1.60105137e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.425357        	1.58484832e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.432919        	1.56900823e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.44038         	1.55351808e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.447842        	1.53836496e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.455204        	1.52353722e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.462566        	1.50902317e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
