# y+ ()         
# Time          	patch           	min             	max             	average         
0               	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0               	bottom	5.76223918e+01	5.76223918e+01	5.76223918e+01
0.00011999      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00011999      	bottom	3.29861239e-02	3.30101188e-02	3.29862843e-02
0.000263962     	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.000263962     	bottom	8.59815821e-05	8.66870481e-05	8.66825390e-05
0.000436717     	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.000436717     	bottom	1.92810208e-05	2.76218086e-05	2.76044706e-05
0.000644009     	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.000644009     	bottom	1.13003798e-05	1.63862190e-05	1.63756104e-05
0.000892729     	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.000892729     	bottom	6.33436392e-06	9.54874245e-06	9.54203043e-06
0.00119115      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00119115      	bottom	4.04034508e-06	7.07347499e-06	7.06723469e-06
0.00154914      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00154914      	bottom	2.75079185e-06	5.13816164e-06	5.13326814e-06
0.00197859      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00197859      	bottom	1.98154752e-06	4.09675162e-06	4.09243241e-06
0.00249383      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00249383      	bottom	1.48802523e-06	3.33815468e-06	3.33438457e-06
0.00311186      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00311186      	bottom	1.15261660e-06	2.79277415e-06	2.78943766e-06
0.00385304      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00385304      	bottom	9.13422535e-07	2.39703353e-06	2.39401771e-06
0.00474246      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00474246      	bottom	7.36422277e-07	2.08295509e-06	2.08022077e-06
0.00580919      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00580919      	bottom	6.02564018e-07	1.84073180e-06	1.83821891e-06
0.00708871      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00708871      	bottom	4.99428893e-07	1.64252257e-06	1.64020367e-06
0.00862335      	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00862335      	bottom	4.18562008e-07	1.48083930e-06	1.47868468e-06
0.0104626       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0104626       	bottom	3.54317413e-07	1.34533128e-06	1.34332131e-06
0.0126665       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0126665       	bottom	3.02639709e-07	1.23087019e-06	1.22898727e-06
0.0153064       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0153064       	bottom	2.60521416e-07	1.13278121e-06	1.13101144e-06
0.0184727       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0184727       	bottom	2.25798816e-07	1.04793054e-06	1.04626189e-06
0.0222623       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0222623       	bottom	1.96898573e-07	9.73858417e-07	9.72280786e-07
0.02681         	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.02681         	bottom	1.72630892e-07	9.08647103e-07	9.07151856e-07
0.0322468       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0322468       	bottom	1.52091330e-07	8.50843740e-07	8.49423394e-07
0.0387418       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0387418       	bottom	1.34594385e-07	7.99262692e-07	7.97910797e-07
0.0464938       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0464938       	bottom	1.19602261e-07	7.52966310e-07	7.51677203e-07
0.0557512       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0557512       	bottom	1.06682493e-07	7.11195222e-07	7.09963919e-07
0.0656906       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0656906       	bottom	9.54921591e-08	6.73325313e-07	6.72147427e-07
0.0756301       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0756301       	bottom	8.57545834e-08	6.38842076e-07	6.37713693e-07
0.0855696       	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.0855696       	bottom	7.72421330e-08	6.07316201e-07	6.06233821e-07
0.095509        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.095509        	bottom	6.97688488e-08	5.78387264e-07	5.77347744e-07
0.105448        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.105448        	bottom	6.31827378e-08	5.51751455e-07	5.50751955e-07
0.115388        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.115388        	bottom	5.73577165e-08	5.27150405e-07	5.26188349e-07
0.125327        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.125327        	bottom	5.21885474e-08	5.04362782e-07	5.03435837e-07
0.135267        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.135267        	bottom	4.75872628e-08	4.83198249e-07	4.82304296e-07
0.145206        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.145206        	bottom	4.34796593e-08	4.63492309e-07	4.62629408e-07
0.155032        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.155032        	bottom	3.98026968e-08	4.45102040e-07	4.44268417e-07
0.164744        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.164744        	bottom	3.65027043e-08	4.27902442e-07	4.27096465e-07
0.174344        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.174344        	bottom	3.35338164e-08	4.11783939e-07	4.11004103e-07
0.183835        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.183835        	bottom	3.08566215e-08	3.96650031e-07	3.95894950e-07
0.193216        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.193216        	bottom	2.84371816e-08	3.82415385e-07	3.81683773e-07
0.202489        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.202489        	bottom	2.62461670e-08	3.69004272e-07	3.68294939e-07
0.211656        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.211656        	bottom	2.42439506e-08	3.56349265e-07	3.55661075e-07
0.220718        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.220718        	bottom	2.23842000e-08	3.44390124e-07	3.43721935e-07
0.229675        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.229675        	bottom	2.06316525e-08	3.33072854e-07	3.32423488e-07
0.238529        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.238529        	bottom	1.89861627e-08	3.22348925e-07	3.21717210e-07
0.247383        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.247383        	bottom	1.74573516e-08	3.12174509e-07	3.11559341e-07
0.256135        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.256135        	bottom	1.60385122e-08	3.02510172e-07	3.01910520e-07
0.264784        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.264784        	bottom	1.47333670e-08	2.93320070e-07	2.92735006e-07
0.273333        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.273333        	bottom	1.35431100e-08	2.84571661e-07	2.84000376e-07
0.281882        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.281882        	bottom	1.24627043e-08	2.76235246e-07	2.75677055e-07
0.290331        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.290331        	bottom	1.14836680e-08	2.68283879e-07	2.67738179e-07
0.29868         	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.29868         	bottom	1.05965343e-08	2.60692824e-07	2.60159046e-07
0.307029        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.307029        	bottom	9.78778061e-09	2.53439368e-07	2.52916983e-07
0.315279        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.315279        	bottom	9.04725254e-09	2.46502791e-07	2.45991329e-07
0.323528        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.323528        	bottom	8.37125577e-09	2.39863895e-07	2.39362953e-07
0.331679        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.331679        	bottom	7.75560387e-09	2.33505126e-07	2.33014345e-07
0.339731        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.339731        	bottom	7.19507464e-09	2.27410204e-07	2.26929256e-07
0.347783        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.347783        	bottom	6.68429512e-09	2.21564035e-07	2.21092613e-07
0.355737        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.355737        	bottom	6.21823161e-09	2.15952753e-07	2.15490568e-07
0.36369         	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.36369         	bottom	5.79231894e-09	2.10563384e-07	2.10110122e-07
0.371546        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.371546        	bottom	5.40251026e-09	2.05383987e-07	2.04939333e-07
0.379402        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.379402        	bottom	5.04519471e-09	2.00403350e-07	1.99967012e-07
0.387159        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.387159        	bottom	4.71715896e-09	1.95611134e-07	1.95182852e-07
0.394917        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.394917        	bottom	4.41553732e-09	1.90997595e-07	1.90577129e-07
0.402576        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.402576        	bottom	4.13779050e-09	1.86553737e-07	1.86140861e-07
0.410235        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.410235        	bottom	3.88165668e-09	1.82271049e-07	1.81865548e-07
0.417796        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.417796        	bottom	3.64512843e-09	1.78141662e-07	1.77743332e-07
0.425357        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.425357        	bottom	3.42641077e-09	1.74158111e-07	1.73766753e-07
0.432919        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.432919        	bottom	3.22291414e-09	1.70313445e-07	1.69928864e-07
0.44038         	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.44038         	bottom	3.03264896e-09	1.66601170e-07	1.66223178e-07
0.447842        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.447842        	bottom	2.85540372e-09	1.63015098e-07	1.62643515e-07
0.455204        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.455204        	bottom	2.69062453e-09	1.59549495e-07	1.59184147e-07
0.462566        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.462566        	bottom	2.53748204e-09	1.56198879e-07	1.55839598e-07
0.469928        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.469928        	bottom	2.39508194e-09	1.52958129e-07	1.52604751e-07
0.477189        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.477189        	bottom	2.26256245e-09	1.49822441e-07	1.49474810e-07
0.484451        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.484451        	bottom	2.13911978e-09	1.46787208e-07	1.46445171e-07
0.491611        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.491611        	bottom	2.02402017e-09	1.43848154e-07	1.43511563e-07
0.498771        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.498771        	bottom	1.91659196e-09	1.41001158e-07	1.40669870e-07
0.505932        	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.505932        	bottom	1.81622580e-09	1.38242366e-07	1.37916242e-07
0.51299         	top	0.00000000e+00	0.00000000e+00	0.00000000e+00
0.51299         	bottom	1.72236836e-09	1.35568152e-07	1.35247057e-07
