# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	processor	max(U)	max(k)	location	cell	processor	max(omega)	location	cell	processor	max(nut)	location	cell	processor	max(ReThetat)	location	cell	processor	max(gammaInt)	location	cell	processor
0               	0.00000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	2.65000000e+02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.88679245e-04	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.60990000e+02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	5.27828671e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	(5.42535968e+00 1.91418214e-01 3.76605016e-19)	3.20803056e-01	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.34469917e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.64515649e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(6.23261811e-01 6.67918404e-04 5.00000000e-02)	2854	1
2               	6.59271303e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	(5.47937642e+00 5.25130372e-01 5.07702164e-19)	5.65991465e-02	(9.02865036e-05 3.11366197e-05 5.00000000e-02)	3799	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.52962709e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.90776460e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.30647071e-03 3.16166188e-02 5.00000000e-02)	13083	2
3               	6.01800065e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.50484622e+00 5.74970961e-01 4.18238872e-19)	5.19592721e-02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	4414	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.58729573e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.18982350e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00280536e+00	(-2.68795547e-04 1.01701236e-05 5.00000000e-02)	31	2
4               	5.72237217e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.51800545e+00 6.12447902e-01 2.68811278e-19)	5.19131966e-02	(1.51210583e-04 1.57000272e-04 5.00000000e-02)	4415	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.58420033e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.45614021e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00092246e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32	2
5               	5.59057679e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.52392560e+00 6.27732926e-01 1.97292881e-19)	5.21318573e-02	(2.74971497e-04 2.18863888e-04 5.00000000e-02)	4663	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.55073004e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.70517843e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00677847e+00	(-1.00476297e-04 1.01701236e-05 5.00000000e-02)	33	2
6               	5.52684515e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.52497130e+00 6.36837358e-01 1.68342045e-19)	5.22086064e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4912	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.50692487e-04	(2.88500438e+00 7.34180011e-02 5.00000000e-02)	14377	1	2.94036897e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00012698e+00	(3.37821652e-04 4.10096419e-04 5.00000000e-02)	5279	2
7               	5.49256929e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.52367687e+00 6.43026236e-01 1.49649941e-19)	5.22912175e-02	(5.95845619e-04 3.26691153e-04 5.00000000e-02)	5037	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.46582869e-04	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13587	1	3.16478679e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00107109e+00	(-1.00476297e-04 7.70222945e-05 5.00000000e-02)	138	2
8               	5.46865871e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.52077576e+00 6.47335515e-01 1.44541857e-19)	5.23598129e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	5036	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.42554401e-04	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	13113	1	3.38057830e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00005568e+00	(1.51210583e-04 2.88580868e-04 5.00000000e-02)	4907	2
9               	5.44910840e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.51627292e+00 6.50094282e-01 1.40648071e-19)	5.24171056e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4912	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.44565941e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	3.58916636e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00018013e+00	(-1.00476297e-04 1.02105369e-04 5.00000000e-02)	173	2
10              	5.43141817e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.51279717e+00 6.51787759e-01 1.38699361e-19)	5.24558646e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4912	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.46721789e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	3.79146885e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000612e+00	(2.99912419e-05 2.52681188e-04 5.00000000e-02)	4782	2
11              	5.41524561e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.50961718e+00 6.52651803e-01 1.37122460e-19)	5.24559827e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4912	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.48419751e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	3.98804996e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000934e+00	(-1.78945070e-04 1.02105369e-04 5.00000000e-02)	172	2
12              	5.40076891e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.50716763e+00 6.53088998e-01 1.36220193e-19)	5.24669341e-02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	4414	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.49718035e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	4.23709309e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000063e+00	(1.51210583e-04 3.67148169e-04 5.00000000e-02)	5153	2
13              	5.38800097e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.50449853e+00 6.53308831e-01 1.35643145e-19)	5.24765935e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.50654162e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	4.48813276e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000006e+00	(-2.68795547e-04 1.28732992e-04 5.00000000e-02)	206	2
14              	5.37683066e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.50227863e+00 6.53387582e-01 1.35231433e-19)	5.24865123e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.51254262e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	4.71565079e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000050e+00	(-3.19474650e-05 2.52681188e-04 5.00000000e-02)	349	2
15              	5.36711783e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49992937e+00 6.53364692e-01 1.35322766e-19)	5.24852380e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.51536813e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	4.91772674e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000002e+00	(9.02865036e-05 4.10096419e-04 5.00000000e-02)	5275	2
16              	5.35867966e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49769934e+00 6.53267347e-01 1.35519925e-19)	5.24804642e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.51512687e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.09689395e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000001e+00	(-1.00476297e-04 2.88580868e-04 5.00000000e-02)	383	2
17              	5.35131631e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49580084e+00 6.53118902e-01 1.35710842e-19)	5.24682640e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.51191615e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.25611555e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.00476297e-04 4.10096419e-04 5.00000000e-02)	488	2
18              	5.34484628e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49388472e+00 6.52936900e-01 1.35875144e-19)	5.24508737e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.50580666e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.39802320e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.78945070e-04 3.26691153e-04 5.00000000e-02)	417	2
19              	5.33910266e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49213373e+00 6.52733165e-01 1.36011156e-19)	5.24274957e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.49687919e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.52484969e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-3.19474650e-05 3.67148169e-04 5.00000000e-02)	454	2
20              	5.33395277e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.49056751e+00 6.52503794e-01 1.36120159e-19)	5.23985506e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.48521067e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.63847472e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(1.51210583e-04 6.10015059e-04 5.00000000e-02)	5768	2
21              	5.32929029e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48900828e+00 6.52267807e-01 1.36204024e-19)	5.23644867e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.47089002e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.74048752e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.00476297e-04 3.67148169e-04 5.00000000e-02)	453	2
22              	5.32505224e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48748931e+00 6.52030315e-01 1.36268230e-19)	5.23257682e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.45398850e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.83224178e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-3.19474650e-05 6.10015059e-04 5.00000000e-02)	629	2
23              	5.32119239e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48619236e+00 6.51794034e-01 1.36316572e-19)	5.22831850e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.43461045e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.91489958e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.78945070e-04 3.67148169e-04 5.00000000e-02)	452	2
24              	5.31766864e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48489202e+00 6.51560734e-01 1.36352529e-19)	5.22372861e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.41282941e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	5.98946538e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.10302908e-01 1.05220581e-01 5.00000000e-02)	15224	0
25              	5.31445288e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48360845e+00 6.51331523e-01 1.36378501e-19)	5.21886319e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.38876196e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	6.05681326e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-2.68795547e-04 4.55689308e-04 5.00000000e-02)	521	2
26              	5.31152350e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48234371e+00 6.51107032e-01 1.36396465e-19)	5.21376487e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.36249920e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	6.11770682e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.00476297e-04 5.55470428e-04 5.00000000e-02)	593	2
27              	5.30886375e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48123420e+00 6.50887553e-01 1.36407704e-19)	5.20846310e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.33416508e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	6.17281712e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(1.99380854e-01 1.05220581e-01 5.00000000e-02)	15219	0
28              	5.30645983e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.48013396e+00 6.50673242e-01 1.36413057e-19)	5.20298036e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.30387084e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	10269	1	6.22273754e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.12556135e-01 1.05220581e-01 5.00000000e-02)	15225	0
29              	5.30430391e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47905234e+00 6.50464120e-01 1.36413052e-19)	5.19733746e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.27286641e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.26799121e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.33922578e-01 1.05220581e-01 5.00000000e-02)	15234	0
30              	5.30238100e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47799705e+00 6.50260134e-01 1.36408110e-19)	5.19155337e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.24022479e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.30904508e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.46683768e-01 1.05220581e-01 5.00000000e-02)	15239	0
31              	5.30068482e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47696892e+00 6.50061175e-01 1.36398601e-19)	5.18564567e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.20607909e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.34631499e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.36422134e-01 1.05220581e-01 5.00000000e-02)	15235	0
32              	5.29920051e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47601126e+00 6.49867176e-01 1.36384927e-19)	5.17962874e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.17057201e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.38017106e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(-1.00476297e-04 6.10015059e-04 5.00000000e-02)	628	2
33              	5.29792583e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47509219e+00 6.49678101e-01 1.36367497e-19)	5.17351099e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.13385534e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.41094617e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.00000000e+00	(2.36422134e-01 1.05220581e-01 5.00000000e-02)	15235	0
34              	5.29685105e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47419627e+00 6.49493919e-01 1.36346585e-19)	5.16730377e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.09608603e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.43895463e+02	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	16456	1	1.00000000e+00	(2.08072937e-01 1.05220581e-01 5.00000000e-02)	15223	0
35              	5.29597022e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47332401e+00 6.49314588e-01 1.36322636e-19)	5.16101906e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.05742612e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.46472427e+02	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	16456	1	1.00000000e+00	(2.44078299e-01 1.05220581e-01 5.00000000e-02)	15238	0
36              	5.29527443e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	(5.47247648e+00 6.49140057e-01 1.36296176e-19)	5.15466877e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4290	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	10	0	2.01804114e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10427	1	6.48820370e+02	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	16456	1	1.00000000e+00	(2.46683768e-01 1.05220581e-01 5.00000000e-02)	15239	0
