# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	processor	min(U)	min(k)	location	cell	processor	min(omega)	location	cell	processor	min(nut)	location	cell	processor	min(ReThetat)	location	cell	processor	min(gammaInt)	location	cell	processor
0               	0.00000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	2.65000000e+02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.88679245e-04	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.60990000e+02	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	1.82161804e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	16296	1	(4.10836365e+00 -1.49722721e-07 -3.10236628e-19)	2.73584784e-02	(2.88500438e+00 1.57000272e-04 5.00000000e-02)	1105	1	1.37238969e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.43198880e-08	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	473	1	1.60990004e+02	(1.07397368e-03 1.01701236e-05 5.00000000e-02)	3691	2	1.00000000e+00	(2.79641566e+00 2.88580868e-04 5.00000000e-02)	1734	1
2               	5.18122054e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	16296	1	(1.13462161e+00 -2.85881062e-03 -5.72275742e-19)	1.83575632e-02	(2.88500438e+00 1.87008177e-04 5.00000000e-02)	1263	1	3.26675415e-02	(2.99912419e-05 1.02105369e-04 5.00000000e-02)	4167	2	3.86846200e-09	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	1.60990030e+02	(2.56121894e-03 1.01701236e-05 5.00000000e-02)	3710	2	1.30911487e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
3               	3.71786129e-04	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	9163	1	(5.82096683e-01 -2.87819435e-03 -4.97961576e-19)	1.69755011e-02	(6.25483922e-02 1.87008177e-04 5.00000000e-02)	1242	3	3.38495302e-02	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	4662	2	1.50427352e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990130e+02	(3.37481238e-03 1.01701236e-05 5.00000000e-02)	3719	2	5.42483094e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
4               	3.19371496e-04	(2.88500438e+00 6.03375212e-03 5.00000000e-02)	7899	1	(4.10551622e-01 -3.97909034e-03 -3.13205933e-19)	1.31204700e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	473	1	3.36315849e-02	(2.12770039e-04 1.57000272e-04 5.00000000e-02)	4416	2	1.31648400e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990173e+02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	4414	2	4.17486602e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
5               	2.93430126e-04	(2.88500438e+00 4.98929477e-03 5.00000000e-02)	7425	1	(3.29279324e-01 -4.22668013e-03 -1.70101997e-19)	1.04601016e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	473	1	3.43503877e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	5036	2	1.23350306e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990356e+02	(1.51210583e-04 1.01701236e-05 5.00000000e-02)	3677	2	3.61620784e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
6               	-2.58252123e-02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	2	(2.79834529e-01 -3.34190767e-03 -1.04205061e-19)	9.72601600e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	631	1	3.43564110e-02	(-3.19474650e-05 1.28732992e-04 5.00000000e-02)	209	2	1.24371463e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990492e+02	(2.74971497e-04 1.01701236e-05 5.00000000e-02)	3679	2	3.29126224e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
7               	2.66205248e-04	(2.88500438e+00 4.11625143e-03 5.00000000e-02)	6951	1	(2.45740822e-01 -1.81628428e-03 -9.17737277e-20)	8.85121320e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	631	1	4.05852448e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.23029539e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990639e+02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	2	3.07592561e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
8               	2.58153165e-04	(2.88500438e+00 3.61536126e-03 5.00000000e-02)	6635	1	(2.20324655e-01 -2.85921343e-04 -8.17670739e-20)	8.50201979e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	631	1	3.73812001e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.24016536e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60990804e+02	(4.65495188e-04 1.01701236e-05 5.00000000e-02)	3682	2	2.92114057e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
9               	2.52100623e-04	(2.88500438e+00 3.38649000e-03 5.00000000e-02)	6477	1	(2.00488089e-01 -4.51681737e-05 -7.39179304e-20)	8.10817710e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	3.48711167e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.22500551e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60991006e+02	(5.30332311e-04 1.01701236e-05 5.00000000e-02)	3683	2	2.80376321e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
10              	2.47420957e-04	(2.88500438e+00 3.17089454e-03 5.00000000e-02)	6319	1	(1.84442681e-01 -3.29017189e-09 -7.65763204e-20)	7.44729725e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	3.28607832e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.22866929e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60991228e+02	(6.62042164e-04 1.01701236e-05 5.00000000e-02)	3685	2	2.71127723e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
11              	2.43962899e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.71144853e-01 -2.82489455e-06 -7.89537227e-20)	6.89897728e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	3.12219084e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.22139823e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60991494e+02	(7.96513540e-04 1.01701236e-05 5.00000000e-02)	3687	2	2.63632236e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
12              	2.41430300e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.59894944e-01 -1.34980558e-05 -8.07099036e-20)	6.43849522e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.98663391e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.22155135e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60991805e+02	(8.64802847e-04 1.01701236e-05 5.00000000e-02)	3688	2	2.57423061e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
13              	2.39600969e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.50228954e-01 -1.02003083e-05 -8.19117771e-20)	6.04784202e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.87315281e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21780468e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60992171e+02	(1.00352545e-03 1.01701236e-05 5.00000000e-02)	3690	2	2.52189368e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
14              	2.38520372e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.41810795e-01 9.12072475e-11 -8.27008399e-20)	5.71358420e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.77718754e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21740539e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60992610e+02	(1.14515661e-03 1.01701236e-05 5.00000000e-02)	3692	2	2.47714541e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
15              	2.37990327e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.34398778e-01 1.21324394e-10 -8.31966177e-20)	5.42549402e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.69533628e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21498649e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60993113e+02	(1.21708191e-03 1.01701236e-05 5.00000000e-02)	3693	2	2.43842803e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
16              	2.38022722e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.27809495e-01 -1.56764855e-10 -8.34879969e-20)	5.17564392e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.62500962e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21423737e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60993697e+02	(1.36319065e-03 1.01701236e-05 5.00000000e-02)	3695	2	2.40458767e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
17              	2.38137437e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.21903751e-01 -9.51085975e-10 -8.36352667e-20)	4.95779183e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.56420206e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21271665e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60994370e+02	(1.51236281e-03 1.01701236e-05 5.00000000e-02)	3697	2	2.37474973e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
18              	2.38803250e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.16572304e-01 -7.66373411e-10 -8.36884628e-20)	4.76695400e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.51133640e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21181806e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60995138e+02	(1.58811769e-03 1.01701236e-05 5.00000000e-02)	3698	2	2.34823691e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
19              	2.39483211e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.11728982e-01 -8.26221830e-10 -8.36841711e-20)	4.59910178e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.46515546e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.21061716e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60996002e+02	(1.74200583e-03 1.01701236e-05 5.00000000e-02)	3700	2	2.32451520e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
20              	2.40348381e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.07304314e-01 -8.57284319e-10 -8.36473638e-20)	4.45094231e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.42464504e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20953337e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60996985e+02	(1.89912051e-03 1.01701236e-05 5.00000000e-02)	3702	2	2.30315704e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
21              	2.41561618e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(1.03241896e-01 -7.17267879e-10 -8.35967565e-20)	4.31975716e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.38897818e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20841282e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60998098e+02	(2.05952936e-03 1.01701236e-05 5.00000000e-02)	3704	2	2.28381624e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
22              	2.42876118e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(9.94952507e-02 -1.31083483e-09 -8.35442095e-20)	4.20328203e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.35747372e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20745794e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.60999354e+02	(2.22330146e-03 1.01701236e-05 5.00000000e-02)	3706	2	2.26621046e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
23              	2.44338291e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(9.60257935e-02 -1.06488699e-09 -8.34936305e-20)	4.09961558e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.32956625e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20670501e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61000768e+02	(2.39050732e-03 1.01701236e-05 5.00000000e-02)	3708	2	2.25010830e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
24              	2.45899739e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(9.28011567e-02 -1.15213125e-09 -8.34472178e-20)	4.00714985e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.30478168e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20599581e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61002353e+02	(2.56121894e-03 1.01701236e-05 5.00000000e-02)	3710	2	2.23531938e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
25              	2.47754304e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(8.97939972e-02 -1.23956203e-09 -8.34059163e-20)	3.92451607e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.28272090e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20519815e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61004126e+02	(2.73550983e-03 1.01701236e-05 5.00000000e-02)	3712	2	2.22168617e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
26              	2.49595969e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(8.69810322e-02 -4.57066807e-10 -8.33700615e-20)	3.85054239e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.26304453e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20441195e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61006101e+02	(2.91345502e-03 1.01701236e-05 5.00000000e-02)	3714	2	2.20907739e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
27              	2.51295923e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(8.43423121e-02 -1.02442855e-09 -8.33391534e-20)	3.78422017e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.24546321e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20360626e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61008295e+02	(3.09513114e-03 1.01701236e-05 5.00000000e-02)	3716	2	2.19738270e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
28              	2.53259419e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(8.18606289e-02 -3.12850732e-10 -8.33123300e-20)	3.72467704e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.22972824e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20278262e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61010723e+02	(3.28061642e-03 1.01701236e-05 5.00000000e-02)	3718	2	2.18650844e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
29              	2.54986475e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1	(7.95210485e-02 -6.62959618e-11 -8.32881910e-20)	3.67115509e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	2.21562527e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16616	1	1.20195529e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.61013399e+02	(3.46999071e-03 1.01701236e-05 5.00000000e-02)	3720	2	2.17637435e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
