# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell	processor
0               	5.40000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	4.10836365e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
2               	1.13462161e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
3               	5.82096683e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
4               	4.10551622e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
5               	3.29279324e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
6               	2.79834529e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
7               	2.45740822e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
8               	2.20324655e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
9               	2.00488089e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
10              	1.84442681e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
11              	1.71144853e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
12              	1.59894944e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
13              	1.50228954e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
14              	1.41810795e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
15              	1.34398778e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
16              	1.27809495e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
17              	1.21903751e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
18              	1.16572304e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
19              	1.11728982e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
20              	1.07304314e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
21              	1.03241896e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
22              	9.94952507e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
23              	9.60257935e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
24              	9.28011567e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
25              	8.97939972e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
26              	8.69810322e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
27              	8.43423121e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
28              	8.18606289e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
29              	7.95210485e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
30              	7.73105467e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
31              	7.52177230e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
32              	7.32325561e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
33              	7.13461979e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
34              	6.95508044e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
35              	6.78393930e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
36              	6.62057244e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
37              	6.46442050e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
38              	6.31498028e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
39              	6.17179723e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
40              	6.03445935e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
41              	5.90259240e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
42              	5.77585591e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
43              	5.65393923e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
44              	5.53655805e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
45              	5.42345119e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
46              	5.31437793e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
47              	5.20911575e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
48              	5.10745855e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
49              	5.00921521e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
50              	4.91420804e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
51              	4.82227132e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
52              	4.73325062e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
53              	4.64700201e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
54              	4.56339143e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
55              	4.48229387e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
56              	4.40359285e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
57              	4.32717943e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
58              	4.25295182e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
59              	4.18081472e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
60              	4.11067866e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
61              	4.04245979e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
62              	3.97607920e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
63              	3.91146269e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
64              	3.84854003e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
65              	3.78724502e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
66              	3.72751526e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
67              	3.66929191e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
68              	3.61251943e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
69              	3.55714532e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
70              	3.50311996e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
71              	3.45039634e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
72              	3.39892994e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
73              	3.34867844e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
74              	3.29960165e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
75              	3.25166135e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
76              	3.20482110e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
77              	3.15904615e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
78              	3.11430331e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
79              	3.07056089e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
80              	3.02778883e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
81              	2.98595847e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
82              	2.94504248e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
83              	2.90501466e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
84              	2.86585002e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
85              	2.82752463e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
86              	2.79001555e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
87              	2.75330096e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
88              	2.71735978e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
89              	2.68217182e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
90              	2.64771769e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
91              	2.61397871e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
92              	2.58093703e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
93              	2.54857532e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
94              	2.51687697e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
95              	2.48582605e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
96              	2.45540724e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
97              	2.42560595e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
98              	2.39640809e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
99              	2.36780017e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
100             	2.33976924e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
101             	2.31230277e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
102             	2.28538864e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
103             	2.25901499e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
104             	2.23317042e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
105             	2.20784408e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
106             	2.18302567e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
107             	2.15870521e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
108             	2.13487300e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
109             	2.11151982e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
110             	2.08863695e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
111             	2.06621579e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
112             	2.04424828e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
113             	2.02272690e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
114             	2.00164430e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
115             	1.98099389e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
116             	1.96076948e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
117             	1.94096539e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
118             	1.92157665e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
119             	1.90259882e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
120             	1.88402833e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
121             	1.86586235e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
122             	1.84809891e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
123             	1.83073757e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
124             	1.81377888e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
125             	1.79722503e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
126             	1.78108028e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
127             	1.76534996e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
128             	1.75004248e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
129             	1.73516804e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
130             	1.72074061e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
131             	1.70677728e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
132             	1.69329688e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
133             	1.68032305e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
134             	1.66788226e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
135             	1.65600533e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
136             	1.64472728e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
137             	1.63408495e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
138             	1.62412034e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
139             	1.61487895e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
140             	1.60640987e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
141             	1.59876530e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
142             	1.59199862e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
143             	1.58616735e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	157	1
