#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   -0.046805254     0.010490703       0.1610727   1.5034367e-21  -0.00043052476    -0.014100315  -1.4173664e-20   1.7268693e-22  -2.6377093e-20  -1.5417489e-38       5.4000312    0.0004795806   3.6711672e-23     0.049341295   0.00018847731       261.78402
   -0.040820451     0.025492847      0.15982964   4.2754489e-20   -0.0016327377    -0.026965077   7.6222543e-22   3.1287608e-21  -2.3869654e-20   9.3929393e-39        5.400133    0.0014295952    3.526201e-22     0.048107222   0.00018809512       255.75466
   -0.035593767     0.043135272      0.15760952   1.0055982e-20   -0.0038568064     -0.04272334   3.4728863e-21   9.8180555e-22  -3.3167709e-20  -4.1435075e-38        5.400309    0.0022674149   6.5310861e-22     0.047049786    0.0001877606       250.58002
   -0.031029167     0.057111575      0.15478181  -3.5009734e-20   -0.0067322927     -0.05630744  -4.8023191e-21  -8.8414243e-21  -4.8623618e-20  -6.1176381e-38       5.4005368     0.002987394    5.750403e-22     0.046161864   0.00018747415       246.22774
   -0.027042782      0.06840941      0.15164131   -2.160491e-20   -0.0099198698    -0.067973929  -1.6616949e-20   1.9173266e-20   1.4546884e-20   7.8947838e-38        5.400786    0.0036040724   3.8156754e-22     0.045412642   0.00018722843       242.55001
   -0.023561368     0.078115609      0.14837963  -3.1568498e-20    -0.013219039    -0.077963678  -2.9064521e-20   8.0289826e-20   1.3184969e-19  -1.7190351e-37       5.4010404    0.0041313281   3.5566001e-22     0.044777511   0.00018701719       239.42842
   -0.020520958      0.08660688      0.14512037  -1.0518869e-19    -0.016506805    -0.086497948  -3.3845342e-20   4.1458693e-20   7.4842551e-20     2.18859e-38       5.4012907    0.0045817297   2.2975199e-22     0.044236893    0.0001868352       236.76848
   -0.017865688     0.093908454      0.14195586  -8.6897314e-20    -0.019692025     -0.09377776  -2.4765209e-20  -1.1981823e-19  -1.7265658e-19   7.1519146e-37       5.4015307    0.0049664065  -1.4902388e-22     0.043775106   0.00018667811        234.4943
   -0.015546772      0.10009501       0.1389528   7.4457473e-20    -0.022709341    -0.099983109  -3.6001703e-21  -1.6042413e-19  -2.4062554e-19  -4.8111794e-37       5.4017562    0.0052950799  -2.9307168e-22     0.043379469   0.00018654232       232.54431
   -0.013521602      0.10533742      0.13615215   1.0513416e-19    -0.025519345     -0.10527249   8.0293377e-21   3.5378252e-20   2.0572824e-20  -1.3298276e-36       5.4019649    0.0055761404    1.734698e-23      0.04303963   0.00018642476       230.86819
   -0.011752967      0.10980705      0.13357387  -4.5325578e-20    -0.028103452     -0.10978345  -7.9452314e-22   9.8140977e-20   1.2109107e-19   1.0907466e-37       5.4021559    0.0058167588   1.5577029e-22     0.042747074   0.00018632287       229.42439
   -0.010208373      0.11363001       0.1312236  -5.0386828e-20    -0.030457062     -0.11363411  -2.8696718e-20  -4.7172465e-20   -3.775599e-20    -1.85205e-37       5.4023292    0.0060230248  -2.2329017e-23     0.042494743   0.00018623447       228.17846
  -0.0088594378      0.11689996      0.12909779   2.4515203e-20    -0.032584483     -0.11692507  -2.2846676e-20  -1.5196927e-20  -4.0090917e-21  -1.0053212e-36       5.4024855    0.0062000908   -2.383874e-23     0.042276746   0.00018615771       227.10158
  -0.0076813777      0.11969714      0.12718695  -8.9436365e-20    -0.034495735     -0.11974161   2.3764994e-20   2.2602523e-20   3.0481059e-20  -4.9937547e-37       5.4026255    0.0063523081   1.7864187e-23     0.042088147   0.00018609101       226.16955
   -0.006652547      0.12209342      0.12547794  -6.4351507e-20    -0.036204376      -0.1221557   1.3317019e-20  -2.4060148e-19  -2.4267864e-19  -5.8166829e-37       5.4027506    0.0064833489  -1.7001822e-22     0.041924778   0.00018603301       225.36193
  -0.0057540422      0.12415047      0.12395559   2.9908645e-19    -0.037725869     -0.12422801  -3.1797244e-20  -2.0770505e-19   -2.099369e-19   2.7462924e-37       5.4028618    0.0065963133  -1.5699622e-22     0.041783116   0.00018598254       224.66141
  -0.0049693545      0.12591939      0.12260392   2.2413895e-19    -0.039076386     -0.12600962  -1.8979998e-20    4.537024e-19   4.2839342e-19  -8.8745448e-37       5.4029605    0.0066938208   2.2473783e-22     0.041660162   0.00018593862       224.05324
  -0.0042840662      0.12744263        0.121407   -3.493388e-19    -0.040272015     -0.12754357   3.1946457e-20   4.7183062e-19   4.4743723e-19  -1.0757801e-36       5.4030478    0.0067780882   2.5026366e-22      0.04155336   0.00018590036       223.52485
   -0.003685586      0.12875598      0.12034943  -1.5746781e-19    -0.041328248     -0.12886611   3.8783631e-20  -3.1251246e-19  -2.9923521e-19  -6.5831721e-37       5.4031249    0.0068509947  -1.1638128e-22     0.041460525   0.00018586704       223.06547
  -0.0031629175      0.12988985      0.11941667   3.2703027e-19    -0.042259684     -0.13000789  -3.8113251e-21  -1.5351049e-21  -2.9023136e-20  -5.7167686e-36       5.4031929    0.0069141367  -3.7677212e-23      0.04137978     0.000185838       222.66584
  -0.0027064575      0.13086997      0.11859522  -2.7170437e-19     -0.04307986     -0.13099479  -1.4194054e-21   5.3737887e-19   4.8926119e-19  -7.7495878e-37       5.4032528    0.0069688729   1.7642123e-22     0.041309514   0.00018581268       222.31803
  -0.0023078191      0.13171817      0.11787271  -7.1054138e-19    -0.043801181     -0.13184879   1.9500404e-20  -6.1573113e-19  -5.2180974e-19   2.7254663e-36       5.4033054    0.0070163623  -1.2359854e-22      0.04124834   0.00018579061       222.01518
  -0.0019596776      0.13245293      0.11723789   1.1837493e-19     -0.04443491     -0.13258853  -1.6319195e-20  -1.5620361e-18  -1.3671989e-18  -3.3762067e-36       5.4033517    0.0070575957   -3.620208e-22      0.04119506   0.00018577137       221.75139
  -0.0016556366      0.13309001       0.1166806   9.4700045e-19    -0.044991205      -0.1332299  -4.6472479e-20  -7.0487322e-19  -5.9485561e-19   7.1189466e-38       5.4033923    0.0070934216  -1.5815414e-22     0.041148639   0.00018575458       221.52153
  -0.0013901097      0.13364285      0.11619175   4.9829972e-19    -0.045479169     -0.13378643  -3.2315278e-20   9.2578975e-19   8.4206608e-19   -1.695561e-35       5.4034279    0.0071245679   1.4890707e-22     0.041108182   0.00018573993       221.32118
   -0.001158218      0.13412295       0.1157632  -4.4293958e-19    -0.045906933     -0.13426971   7.3562472e-21   9.6520977e-19   8.4242814e-19  -2.4990782e-35       5.4034592    0.0071516605   1.5978553e-22     0.041072913   0.00018572715       221.14651
   -0.000955701      0.13454014      0.11538771  -8.7977765e-20    -0.046281727     -0.13468965   2.4663383e-20  -1.1338232e-19  -1.3402077e-19  -4.9174175e-36       5.4034866    0.0071752384  -1.7305814e-23      0.04104216     0.000185716        220.9942
 -0.00077883757      0.13490288      0.11505889   3.3567335e-19    -0.046609963     -0.13505479   1.1987741e-20   8.1621449e-19   6.6148401e-19  -1.1538705e-35       5.4035105    0.0071957663   5.3737286e-23      0.04101534   0.00018570627       220.86136
 -0.00062437811      0.13521845      0.11477104  -7.4527193e-19    -0.046897316     -0.13537243   1.7641811e-20   1.1913778e-18   9.9652908e-19  -2.8889564e-36       5.4035315    0.0072136453   1.0923353e-22     0.040991945   0.00018569778       220.74548
 -0.00048948463      0.13549309      0.11451916  -9.5793842e-19    -0.047148794     -0.13564889   1.9613316e-20  -1.5626777e-18  -1.3475862e-18   6.3234131e-36       5.4035499    0.0072292225  -9.1351634e-23     0.040971535   0.00018569037       220.64437
 -0.00037167862       0.1357322      0.11429882   4.8470241e-19    -0.047368816     -0.13588961  -1.0162873e-20  -2.6476707e-18  -2.2502278e-18  -1.9202915e-35        5.403566    0.0072427982  -1.6227505e-22     0.040953727    0.0001856839       220.55616
 -0.00026879555      0.13594047      0.11410612   3.5390988e-19    -0.047561268     -0.13609928  -2.2940269e-20   -4.673648e-19  -3.5643627e-19  -5.1305924e-35       5.4035801    0.0072546325  -2.8973587e-23     0.040938186   0.00018567825       220.47917
 -0.00017894507      0.13612188      0.11393746  -7.7124048e-19    -0.047729571     -0.13628196   5.2484155e-21  -1.8239567e-18  -1.4790873e-18  -3.2639329e-35       5.4035924    0.0072649513  -5.3190702e-23     0.040924624   0.00018567332       220.41198
  -0.0001004763      0.13627979      0.11378953   4.4595267e-19    -0.047876729     -0.13644118   1.3897791e-20  -4.5275489e-18  -3.7862206e-18  -2.4573215e-36       5.4036031    0.0072739503   -1.476857e-22     0.040912787   0.00018566901       220.35334
 -3.1947465e-05      0.13641798      0.11365878   2.0814058e-18    -0.048006299     -0.13658101   5.7096691e-21  -9.3234741e-19  -8.1754879e-19   1.7985681e-35       5.4036126    0.0072818568  -4.0734872e-23     0.040902377   0.00018566522       220.30177
  2.9991242e-05      0.13654305      0.11353984   1.4198035e-18    -0.048124243     -0.13670805   7.9857941e-21   4.5222513e-18   3.6979926e-18   3.7464078e-36       5.4036212    0.0072890424   1.0955528e-22       0.0408929   0.00018566178       220.25481
  9.0286504e-05      0.13666352      0.11342591  -4.1727965e-19    -0.048237795     -0.13683017  -3.5229685e-21   5.7474256e-18   4.7590445e-18  -1.4599878e-36       5.4036295    0.0072959504   1.4083582e-22     0.040883774   0.00018565845        220.2096
  0.00015121058       0.1367848      0.11331226   -9.337419e-19    -0.048351499     -0.13695219  -1.2669075e-20   2.3573828e-18   2.0057339e-18   9.0675885e-35       5.4036379    0.0073028561   5.7868827e-23     0.040874643   0.00018565513       220.16436
  0.00021277004      0.13690783      0.11319748  -8.9690655e-20    -0.048466484     -0.13707532   9.4025051e-22   1.0612985e-18   8.9488222e-19  -1.7877339e-35       5.4036463    0.0073098269   2.7583414e-23     0.040865421   0.00018565177       220.11867
