#        face_x          face_y          face_z      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
  2.9991242e-05               0            0.05      -21924.688      -923.22638   1.6585045e-16       186106.29       23792.153   1.5826669e-15  -7.5245755e-15  -3.1685224e-16   5.6920044e-35               0               0               0            0.05               0        11601891
  9.0286504e-05               0            0.05      -12652.909      -1898.8546  -4.5344066e-16       141081.03       10811.215   1.4266301e-15  -1.5191447e-15  -2.2798194e-16  -5.4441389e-35               0               0               0            0.05               0        11601891
  0.00015121058               0            0.05      -6297.2581      -438.60265  -3.0494569e-16       106840.44       2974.6481   2.4768759e-16  -1.0358423e-13  -2.8233109e-15  -1.7322132e-34               0               0               0            0.05               0        11601891
  0.00021277004               0            0.05      -3405.8376      -74.988212   1.5767761e-16        84338.33       981.52816  -8.8819957e-16   1.6718028e-13   1.9417352e-15  -1.7471804e-33               0               0               0            0.05               0        11601891
   0.0002749715               0            0.05       -1784.702      -17.710445   1.4700826e-16       71674.753        551.8657   1.6911118e-15  -1.4389106e-13  -1.1079197e-15  -3.3941152e-33               0               0               0            0.05               0        11601891
  0.00033782165               0            0.05      -1138.7808      -8.1063711  -9.7076365e-17       63680.272       399.85221   4.0048496e-16   -6.420078e-14  -4.0279906e-16  -3.7352235e-34               0               0               0            0.05               0        11601891
  0.00040132727               0            0.05      -841.07127       -5.387483  -1.9902658e-17       57820.021       303.22324   7.7922857e-18   1.9293148e-18   1.2358228e-20   4.5654268e-38               0               0               0            0.05               0        11601891
  0.00046549519               0            0.05      -653.47064      -3.6790991  -1.4266095e-17       53271.801       237.17701  -1.2175534e-16   -7.223899e-17  -4.0671208e-19  -1.5770691e-36               0               0               0            0.05               0        11601891
  0.00053033231               0            0.05      -524.45081      -2.5472425   2.2657469e-17       49624.388       191.62564  -1.1853717e-16   5.1919525e-14   2.0048836e-16  -1.2401954e-34               0               0               0            0.05               0        11601891
  0.00059584562               0            0.05      -432.66332      -1.8501769   2.4072339e-17       46611.117       159.46812   1.8645301e-16  -9.8596842e-14  -3.3736333e-16  -3.9166896e-34               0               0               0            0.05               0        11601891
  0.00066204216               0            0.05      -364.27747      -1.4115519  -2.5157295e-17       44064.335       134.91916   3.3583484e-16  -4.7031501e-14  -1.4397379e-16  -3.5614918e-34               0               0               0            0.05               0        11601891
  0.00072892907               0            0.05      -311.57267      -1.0935136  -1.6123541e-17       41875.954       115.90283  -1.5383089e-16   3.3721755e-17   1.1835183e-19   1.7450635e-36               0               0               0            0.05               0        11601891
  0.00079651354               0            0.05      -270.13104     -0.86653633  -6.4611296e-18       39968.283       100.91363  -1.8617219e-16   4.3560377e-14   1.0996373e-16  -2.0371437e-34               0               0               0            0.05               0        11601891
  0.00086480285               0            0.05      -236.81109     -0.70239475   5.6319004e-19       38285.146       88.745388  -1.1775399e-16   4.2212665e-14   9.7865034e-17   -1.298171e-34               0               0               0            0.05               0        11601891
  0.00093380434               0            0.05      -209.51357     -0.57569209  -2.5470798e-18       36785.747       78.714284  -2.1272967e-16    4.098059e-14   8.7703519e-17  -2.3660178e-34               0               0               0            0.05               0        11601891
   0.0010035254               0            0.05      -186.87887     -0.47687544   1.6210122e-17       35438.697       70.389677  -1.2843241e-16   7.9685529e-14   1.5824281e-16  -2.8414248e-34               0               0               0            0.05               0        11601891
   0.0010739737               0            0.05      -167.88456      -0.4005655   1.7600622e-17       34219.308       63.374009   1.7365048e-16  -7.7851344e-14  -1.4420743e-16  -3.8949305e-34               0               0               0            0.05               0        11601891
   0.0011451566               0            0.05      -151.74592     -0.33999681  -1.8206296e-17       33108.316       57.386782    1.116147e-16  -7.6030106e-14  -1.3176827e-16  -2.5285836e-34               0               0               0            0.05               0        11601891
   0.0012170819               0            0.05      -137.89155     -0.29098893  -4.6187776e-18       32090.384       52.234364  -3.1913639e-17   7.4517269e-14   1.2130685e-16  -7.3168758e-35               0               0               0            0.05               0        11601891
   0.0012897573               0            0.05      -125.90273     -0.25060241   1.1647854e-17       31153.102       47.762853   6.4015596e-17  -3.6534281e-14   -5.601309e-17  -7.5073223e-35               0               0               0            0.05               0        11601891
   0.0013631906               0            0.05       -115.4623     -0.21721026   2.5296523e-18       30286.159       43.867089   2.9751148e-17  -3.5898925e-14  -5.2001462e-17   -3.501469e-35               0               0               0            0.05               0        11601891
   0.0014373898               0            0.05      -106.30649     -0.18974954  -3.4332017e-18       29480.941       40.441156    8.482993e-17  -7.0596549e-14  -9.6842521e-17  -2.0314417e-34               0               0               0            0.05               0        11601891
   0.0015123628               0            0.05      -98.221382     -0.16669206  -5.9922295e-18       28730.308       37.409285  -5.2442423e-19   9.2931882e-18   1.5771522e-20   5.6695309e-37               0               0               0            0.05               0        11601891
   0.0015881177               0            0.05      -91.040844     -0.14717931   2.5375149e-18       28028.235       34.712879   2.7017225e-17               0               0               0               0               0               0            0.05               0        11601891
   0.0016646626               0            0.05       -84.63205     -0.13049555   2.2868512e-18       27369.599       32.302112  -4.4865585e-18  -3.3806224e-14  -3.9898738e-17   5.5416816e-36               0               0               0            0.05               0        11601891
   0.0017420058               0            0.05      -78.889191      -0.1161251  -2.2547993e-18       26749.988       30.140179  -5.2659146e-17  -3.3385479e-14  -3.7616628e-17   6.5721557e-35               0               0               0            0.05               0        11601891
   0.0018201557               0            0.05      -73.722523     -0.10380587  -2.6897661e-19       26165.559       28.192936  -4.5550334e-17  -6.5542669e-18  -9.2288135e-21  -2.3913241e-38               0               0               0            0.05               0        11601891
   0.0018991205               0            0.05      -69.054101    -0.093172144  -1.9816605e-18       25612.989       26.430681   4.1189101e-17    -3.26368e-14  -3.3678767e-17  -5.2487777e-35               0               0               0            0.05               0        11601891
   0.0019789089               0            0.05      -64.819598    -0.083907233   -2.668344e-19       25089.387       24.830449  -1.8668345e-17   3.2308659e-14    3.197697e-17  -2.4012002e-35               0               0               0            0.05               0        11601891
   0.0020595294               0            0.05      -60.965452    -0.075817866   2.5578677e-19       24592.219       23.372471  -3.3742524e-18  -3.1992996e-14  -3.0406178e-17   4.3896993e-36               0               0               0            0.05               0        11601891
   0.0021409906               0            0.05      -57.445797    -0.068720261  -3.3273107e-18       24119.253       22.039554  -1.6316808e-17   3.1709833e-14   2.8977016e-17  -2.1164775e-35               0               0               0            0.05               0        11601891
   0.0022233015               0            0.05      -54.222462    -0.062433057   1.7895501e-18        23668.52       20.817589  -7.1122896e-17   3.1437008e-14    2.765037e-17  -9.4469752e-35               0               0               0            0.05               0        11601891
   0.0023064707               0            0.05      -51.263316    -0.056869765   2.9481522e-18       23238.258         19.6952   -1.677924e-17    -8.65476e-18  -9.6012941e-21   4.9773506e-37               0               0               0            0.05               0        11601891
   0.0023905073               0            0.05      -48.539131    -0.051961131  -1.5023511e-18       22826.891       18.660745   3.1351771e-17  -3.0954823e-14  -2.5305265e-17  -4.2517631e-35               0               0               0            0.05               0        11601891
   0.0024754204               0            0.05        -46.0241    -0.047595822  -2.1070613e-19       22433.021       17.704734    1.634555e-18   3.0745492e-14    2.426702e-17   2.2745215e-36               0               0               0            0.05               0        11601891
   0.0025612189               0            0.05      -43.696405    -0.043698212   3.2665466e-19       22055.394       16.819153  -1.9181037e-17   -3.053201e-14  -2.3282451e-17   2.6529078e-35               0               0               0            0.05               0        11601891
   0.0026479123               0            0.05      -41.537061    -0.040211532  -2.1288345e-20       21692.883       15.996903  -4.1826867e-17    3.034029e-14   2.2372193e-17   -5.851651e-35               0               0               0            0.05               0        11601891
   0.0027355098               0            0.05       -39.52934    -0.037078893  -1.2364154e-20       21344.474       15.231715   2.7704666e-17  -3.0177353e-14  -2.1536417e-17  -3.9163245e-35               0               0               0            0.05               0        11601891
   0.0028240209               0            0.05      -37.659134    -0.034237969  -2.3071718e-18       21009.249       14.518321   1.6168706e-17   3.0012726e-14    2.074141e-17   2.3455438e-35               0               0               0            0.05               0        11601891
    0.002913455               0            0.05      -35.914506    -0.031662505   1.1599991e-18       20686.372       13.852586   1.9334766e-18   2.9856697e-14    1.999409e-17   2.6964244e-36               0               0               0            0.05               0        11601891
   0.0030038219               0            0.05      -34.284292    -0.029337138   1.9926548e-18       20375.073       13.229998  -1.3135904e-17  -2.6912225e-18  -2.3028845e-21   1.5641791e-37               0               0               0            0.05               0        11601891
   0.0030951311               0            0.05      -32.758169    -0.027226676   1.7823206e-18       20074.651       12.646757   9.8282291e-18  -2.9575911e-14   -1.863192e-17  -1.4616734e-35               0               0               0            0.05               0        11601891
   0.0031873927               0            0.05      -31.327368    -0.025300903   4.8656871e-20       19784.469       12.099536   7.4169475e-18  -5.8907305e-14  -3.6025313e-17  -2.2088248e-35               0               0               0            0.05               0        11601891
   0.0032806164               0            0.05       -29.98396    -0.023549039  -6.3932956e-20       19503.938       11.585559  -1.3433739e-17  -2.9346737e-14  -1.7433577e-17   2.0194257e-35               0               0               0            0.05               0        11601891
   0.0033748124               0            0.05      -28.720619    -0.021956806   6.4792923e-19       19232.517       11.101752   4.2909543e-17   -5.847129e-14  -3.3752705e-17  -1.3034657e-34               0               0               0            0.05               0        11601891
   0.0034699907               0            0.05       -27.53031    -0.020514109  -2.4128879e-18       18969.712       10.645746   1.7873843e-17  -5.8263339e-14  -3.2696095e-17  -5.4371117e-35               0               0               0            0.05               0        11601891
   0.0035661616               0            0.05      -26.406822    -0.019185249  -7.9257568e-19       18715.075       10.214716  -1.9427444e-17   2.9039651e-14   1.5849211e-17  -3.0261009e-35               0               0               0            0.05               0        11601891
   0.0036633356               0            0.05       -25.34567    -0.017947949  -6.9490874e-19       18468.192       9.8076836   3.0743492e-17  -2.8962929e-14  -1.5381668e-17  -4.8311044e-35               0               0               0            0.05               0        11601891
   0.0037615229               0            0.05      -24.342763    -0.016805128  -1.0413847e-19        18228.67       9.4226773   -1.726888e-17    5.776685e-14   2.9861175e-17  -5.4706885e-35               0               0               0            0.05               0        11601891
   0.0038607342               0            0.05      -23.394271    -0.015743868    1.450602e-18       17996.144       9.0584809   8.2443348e-18  -2.8812252e-14   -1.450312e-17  -1.3097038e-35               0               0               0            0.05               0        11601891
   0.0039609802               0            0.05      -22.496414    -0.014772134  -1.3497762e-18       17770.267       8.7135936  -4.9164872e-20    1.526496e-18   1.0023643e-21   9.1589169e-38               0               0               0            0.05               0        11601891
   0.0040622717               0            0.05      -21.645269     -0.01387418   -1.222114e-18        17550.72       8.3863371  -2.7342745e-17   2.8689665e-14   1.3709402e-17  -4.4520517e-35               0               0               0            0.05               0        11601891
   0.0041646195               0            0.05      -20.837893    -0.013030143   6.2011951e-19       17337.209       8.0758262  -1.5157378e-17   5.7266365e-14   2.6675182e-17  -5.0066186e-35               0               0               0            0.05               0        11601891
   0.0042680347               0            0.05      -20.071929    -0.012243183   8.5057741e-20       17129.451       7.7812173  -9.3580438e-18   1.3485176e-18   8.2254919e-22  -5.7145412e-39               0               0               0            0.05               0        11601891
   0.0043725284               0            0.05      -19.344733    -0.011517003  -1.4502881e-20       16927.179       7.5014121   -2.334121e-17   5.7084316e-14   2.5297367e-17  -7.8714596e-35               0               0               0            0.05               0        11601891
   0.0044781119               0            0.05      -18.653579    -0.010843206   7.7334502e-20       16730.141       7.2353197   8.7821539e-18  -2.5736448e-20  -1.4960433e-23   1.0669885e-40               0               0               0            0.05               0        11601891
   0.0045847965               0            0.05      -17.996256    -0.010209634  -5.1283666e-19       16538.106       6.9821671   -2.219575e-17   5.6941588e-14    2.403998e-17  -7.6420425e-35               0               0               0            0.05               0        11601891
   0.0046925938               0            0.05      -17.371039   -0.0096152566   2.0340733e-18       16350.853       6.7413877  -2.3259739e-17   2.8438596e-14   1.1724636e-17   -4.006379e-35               0               0               0            0.05               0        11601891
   0.0048015152               0            0.05      -16.776034   -0.0090648527   3.3882304e-20       16168.167       6.5122075   2.9425805e-17  -5.6835059e-14  -2.2892008e-17  -1.0343873e-34               0               0               0            0.05               0        11601891
   0.0049115726               0            0.05      -16.209151   -0.0085576115  -5.7768113e-20        15989.85       6.2937741   1.6566359e-18   2.8397234e-14   1.1177457e-17   2.9422572e-36               0               0               0            0.05               0        11601891
   0.0050227778               0            0.05      -15.668305   -0.0080899071   1.8317782e-18       15815.719       6.0852939   3.6144227e-17  -5.6764719e-14  -2.1841321e-17   -1.293715e-34               0               0               0            0.05               0        11601891
   0.0051351427               0            0.05      -15.151705   -0.0076528114   -4.887515e-19       15645.603       5.8860397   2.5882112e-17  -8.5104288e-14  -3.2017007e-17  -1.4075773e-34               0               0               0            0.05               0        11601891
   0.0052486795               0            0.05      -14.658047   -0.0072402974  -1.7580799e-18       15479.343       5.6956194   2.0955437e-17   -2.835782e-14   -1.043402e-17  -3.8172702e-35               0               0               0            0.05               0        11601891
   0.0053634003               0            0.05      -14.186187   -0.0068539397  -1.2515916e-18       15316.787       5.5135755   1.3959922e-18   2.8357067e-14   1.0207996e-17   2.8116672e-36               0               0               0            0.05               0        11601891
   0.0054793176               0            0.05       -13.73486    -0.006494733   4.1886707e-19       15157.789       5.3394008  -2.6044202e-17    5.670728e-14   1.9975605e-17  -9.7483654e-35               0               0               0            0.05               0        11601891
   0.0055964437               0            0.05      -13.302648   -0.0061624034   4.4245538e-19       15002.213       5.1725494  -7.0387357e-18  -8.0565238e-19  -3.7321554e-22   2.6796562e-38               0               0               0            0.05               0        11601891
   0.0057147914               0            0.05      -12.888318   -0.0058511721  -3.7441585e-19       14849.932       5.0124908  -1.2329338e-17   2.8358576e-14   9.5721511e-18  -2.3567664e-35               0               0               0            0.05               0        11601891
   0.0058343733               0            0.05      -12.490955   -0.0055564146    3.667332e-19       14700.829       4.8589505  -1.2071913e-17    2.836591e-14   9.3753954e-18   -2.325144e-35               0               0               0            0.05               0        11601891
   0.0059552024               0            0.05      -12.109815   -0.0052763641   3.6241448e-19       14554.791       4.7116191  -6.7713442e-18   6.8173498e-19   2.9703857e-22  -2.0402511e-38               0               0               0            0.05               0        11601891
   0.0060772915               0            0.05      -11.744238   -0.0050104381   3.4104379e-19       14411.705       4.5702965  -6.5879735e-18    2.802594e-20   1.1956692e-23  -8.1385208e-40               0               0               0            0.05               0        11601891
    0.006200654               0            0.05      -11.393504   -0.0047606249  -3.2647799e-19       14271.467       4.4346859   5.0810798e-18  -2.8409509e-14  -8.8279148e-18  -1.0115418e-35               0               0               0            0.05               0        11601891
   0.0063253029               0            0.05      -11.056791    -0.004526802  -3.4741837e-19       14133.973       4.3044559  -1.7714696e-17   2.8430467e-14   8.6585389e-18  -3.5591967e-35               0               0               0            0.05               0        11601891
   0.0064512519               0            0.05      -10.733259   -0.0043089804  -2.8532365e-19        13999.13       4.1792937  -6.2519886e-18   5.9209185e-19   2.3770153e-22   1.5739656e-38               0               0               0            0.05               0        11601891
   0.0065785143               0            0.05       -10.42207   -0.0041059553  -3.0601341e-19       13866.846       4.0588425  -2.1768709e-17   5.6953429e-14   1.6670338e-17  -8.9407318e-35               0               0               0            0.05               0        11601891
    0.006707104               0            0.05      -10.122467    -0.003914561   3.2864726e-20        13737.04       3.9428354  -1.6608517e-17   2.8503239e-14   8.1809519e-18  -3.4459068e-35               0               0               0            0.05               0        11601891
   0.0068370347               0            0.05      -9.8339417   -0.0037309169  -2.8007154e-19       13609.634       3.8310773  -1.5020141e-17   5.7067918e-14    1.606437e-17  -6.3013896e-35               0               0               0            0.05               0        11601891
   0.0069683205               0            0.05      -9.5561675   -0.0035549826   5.6822713e-19       13484.551        3.723513  -9.0084734e-18   5.7133153e-14   1.5776181e-17  -3.8108216e-35               0               0               0            0.05               0        11601891
   0.0071009754               0            0.05      -9.2887462   -0.0033890151   5.5784724e-19       13361.716       3.6199387   1.1384323e-17  -1.0200374e-20  -3.7216241e-24   6.1259618e-40               0               0               0            0.05               0        11601891
   0.0072350138               0            0.05      -9.0311616   -0.0032325785  -2.6365596e-19       13241.057       3.5201522  -1.1196783e-19   1.4142046e-18   5.0619485e-22   4.1286326e-38               0               0               0            0.05               0        11601891
   0.0073704501               0            0.05      -8.7828858    -0.003085284   5.8757665e-22       13122.504        3.423961  -4.3483458e-18   2.8679441e-14   7.4831635e-18  -9.5032545e-36               0               0               0            0.05               0        11601891
   0.0075072989               0            0.05      -8.5434089   -0.0029473876   2.6519001e-19       13005.994       3.3311726   5.4229265e-18   -9.094374e-21  -3.1374649e-24   2.8229213e-40               0               0               0            0.05               0        11601891
   0.0076455748               0            0.05      -8.3122111    -0.002818317     2.44547e-19       12891.465       3.2415621  -1.0678133e-17   -4.089021e-19   -1.386413e-22   1.2029986e-38               0               0               0            0.05               0        11601891
   0.0077852928               0            0.05      -8.0888294   -0.0026964196  -2.3144684e-19       12778.862       3.1549594    1.998921e-17  -2.8811694e-14  -7.1133589e-18  -4.5090626e-35               0               0               0            0.05               0        11601891
    0.007926468               0            0.05      -7.8729625   -0.0025795036  -2.5094901e-19       12668.131       3.0712281   6.3540423e-18   2.8859085e-14   6.9965202e-18   1.4475052e-35               0               0               0            0.05               0        11601891
   0.0080691154               0            0.05      -7.6644212   -0.0024672035   1.1982787e-20       12559.219        2.990327   1.0182103e-17   3.7330801e-19   1.2016913e-22    -5.83641e-40               0               0               0            0.05               0        11601891
   0.0082132505               0            0.05      -7.4629689   -0.0023603828  -3.0671751e-21       12452.075       2.9121348  -3.9077046e-18   2.8961659e-14   6.7731896e-18  -9.0887296e-36               0               0               0            0.05               0        11601891
   0.0083588888               0            0.05      -7.2683202   -0.0022583299  -4.1445566e-19       12346.647       2.8365467   9.9371629e-18  -7.2701088e-21  -2.2588856e-24  -4.1455765e-40               0               0               0            0.05               0        11601891
    0.008506046               0            0.05      -7.0802112   -0.0021612536  -2.2202572e-19       12242.887       2.7634802  -1.6300824e-17   8.7217103e-14    1.968681e-17  -1.1610336e-34               0               0               0            0.05               0        11601891
   0.0086547378               0            0.05      -6.8983373   -0.0020696889     -3.7069e-19       12140.748        2.692808  -1.3398778e-17   2.9130915e-14   6.4612644e-18   -3.211375e-35               0               0               0            0.05               0        11601891
   0.0088049804               0            0.05      -6.7223486    -0.001983486  -7.9446962e-21       12040.184       2.6244047  -2.7838554e-17   1.4595098e-13   3.1812981e-17   -3.374597e-34               0               0               0            0.05               0        11601891
   0.0089567898               0            0.05      -6.5518962   -0.0019020883   8.0843574e-19       11941.155       2.5581429  -3.6614658e-18   2.9252079e-14   6.2666454e-18  -8.9678932e-36               0               0               0            0.05               0        11601891
   0.0091101825               0            0.05      -6.3867031   -0.0018240259   7.8362687e-21       11843.623       2.4939268  -1.7404647e-17   2.9315758e-14   6.1730574e-18    -4.30806e-35               0               0               0            0.05               0        11601891
   0.0092651749               0            0.05       -6.226632    -0.001748346   7.6585974e-21       11747.551       2.4317235  -8.0096929e-18   2.9380629e-14   6.0816989e-18  -2.0031931e-35               0               0               0            0.05               0        11601891
   0.0094217836               0            0.05      -6.0715894   -0.0016756156   7.1240563e-19       11652.902       2.3714979    -3.45152e-18   2.9447884e-14   5.9929399e-18   -8.659236e-36               0               0               0            0.05               0        11601891
   0.0095800257               0            0.05      -5.9214288   -0.0016065441   1.8964896e-19       11559.639       2.3131735   2.3516583e-17   -8.855219e-14  -1.7719982e-17  -1.8014756e-34               0               0               0            0.05               0        11601891
   0.0097399181               0            0.05      -5.7759647   -0.0015411118  -5.3108986e-19       11467.725       2.2566588   4.3650682e-18   2.6151025e-19   6.9774759e-23   2.4045411e-38               0               0               0            0.05               0        11601891
    0.009901478               0            0.05      -5.6350007   -0.0014791667   3.3069309e-19       11377.126       2.2018718   4.3136781e-18  -2.4741384e-19  -6.4945209e-23   1.4519616e-38               0               0               0            0.05               0        11601891
    0.010064723               0            0.05      -5.4983524   -0.0014203888   1.6498618e-19       11287.809        2.148725   1.5046251e-17   -5.946902e-14  -1.1320405e-17  -7.9270103e-35               0               0               0            0.05               0        11601891
     0.01022967               0            0.05      -5.3658321    -0.001364739  -1.7014431e-19       11199.742       2.0971532   7.3898399e-18  -2.9809752e-14  -5.5818496e-18  -1.9655104e-35               0               0               0            0.05               0        11601891
    0.010396337               0            0.05      -5.2372302   -0.0013123299  -3.0842297e-19       11112.895       2.0470656  -9.5642319e-19  -2.9887296e-14   -5.505414e-18   2.5856442e-36               0               0               0            0.05               0        11601891
    0.010564743               0            0.05      -5.1123204   -0.0012621151  -1.6016082e-19       11027.239       1.9983825    -7.20406e-18   2.9966235e-14   5.4305381e-18  -1.9583732e-35               0               0               0            0.05               0        11601891
    0.010734905               0            0.05      -4.9909571   -0.0012133775   6.9879333e-21        10942.75       1.9510875   4.0126326e-18   2.0378551e-19   4.9543355e-23  -2.8532394e-40               0               0               0            0.05               0        11601891
    0.010906842               0            0.05      -4.8730999    -0.001165522  -1.4359173e-19         10859.4       1.9051518  -1.1004555e-17    3.012889e-14   5.2857411e-18  -3.0537492e-35               0               0               0            0.05               0        11601891
    0.011080571               0            0.05      -4.7587015   -0.0011192267   1.4115373e-19       10777.164        1.860604   4.8748615e-18   3.0212368e-14   5.2159356e-18   1.3677739e-35               0               0               0            0.05               0        11601891
    0.011256113               0            0.05      -4.6476574    -0.001075121   3.5038108e-21       10696.014       1.8173605   1.1613702e-17   3.6790542e-19   8.5105853e-23   -2.773593e-40               0               0               0            0.05               0        11601891
    0.011433485               0            0.05      -4.5398504   -0.0010328322   1.3119971e-19       10615.926       1.7753975   4.6774925e-18   3.0385091e-14   5.0815959e-18   1.3377348e-35               0               0               0            0.05               0        11601891
    0.011612707               0            0.05      -4.4351487  -0.00099300644  -2.5154255e-19       10536.874       1.7346574  -4.6739925e-18  -3.0472816e-14  -5.0166481e-18   1.3527093e-35               0               0               0            0.05               0        11601891
    0.011793798               0            0.05      -4.3334402  -0.00095501505  -7.7610572e-19       10458.834       1.6950591  -2.3607562e-17   9.1688567e-14   1.4859949e-17  -2.0689746e-34               0               0               0            0.05               0        11601891
    0.011976778               0            0.05      -4.2345728  -0.00091952431   5.0469285e-19       10381.784       1.6565926     -2.8997e-17   1.5326957e-13   2.4456784e-17  -4.2805487e-34               0               0               0            0.05               0        11601891
    0.012161666               0            0.05      -4.1384339  -0.00088590544   6.3855845e-19       10305.702        1.619116   2.8113317e-18  -3.0747001e-14  -4.8306412e-18   -8.338002e-36               0               0               0            0.05               0        11601891
    0.012348482               0            0.05      -4.0448497  -0.00085435204    1.133986e-19       10230.567       1.5826677  -3.6026288e-18  -1.4727776e-19  -3.1107968e-23   4.1289772e-39               0               0               0            0.05               0        11601891
    0.012537247               0            0.05      -3.9537419  -0.00082350858   3.8069106e-21       10156.363       1.5470836   1.9421385e-18  -6.1873194e-14  -9.4249456e-18  -1.1831285e-35               0               0               0            0.05               0        11601891
     0.01272798               0            0.05      -3.8650724  -0.00079325291  -3.5291531e-19       10083.069       1.5125149    1.196773e-21   1.4079375e-19   2.8895979e-23   1.2855715e-38               0               0               0            0.05               0        11601891
    0.012920702               0            0.05      -3.7788305  -0.00076362344   1.0894428e-19       10010.669       1.4788053  -6.1707305e-18   3.1131994e-14   4.5989095e-18  -1.9190322e-35               0               0               0            0.05               0        11601891
    0.013115435               0            0.05      -3.6950502  -0.00073515685  -2.1042742e-19       9939.1394        1.446104   6.0889368e-18   -3.123177e-14  -4.5440876e-18  -1.9126002e-35               0               0               0            0.05               0        11601891
    0.013312198               0            0.05      -3.6132654  -0.00071182621   -1.104704e-20       9868.4622       1.4142033   -1.466069e-17   9.3999633e-14   1.3470649e-17   -1.396468e-34               0               0               0            0.05               0        11601891
    0.013511013               0            0.05      -3.5333554  -0.00068550425   3.2868608e-19       9798.6295       1.3829002   9.3114586e-18  -3.1435951e-14   -4.436619e-18  -2.9872523e-35               0               0               0            0.05               0        11601891
    0.013711901               0            0.05      -3.4558123  -0.00065621582   2.0019901e-19       9729.6248       1.3527062  -3.3468462e-18   5.0119579e-21   9.5170854e-25  -2.9034824e-40               0               0               0            0.05               0        11601891
    0.013914885               0            0.05      -3.3806897  -0.00062996271   1.0562179e-19       9661.4214       1.3234187   7.5980172e-18  -9.4937138e-14  -1.3004473e-17  -7.4653704e-35               0               0               0            0.05               0        11601891
    0.014119985               0            0.05      -3.3077282   -0.0006060499  -3.0508096e-19        9593.999        1.295012   9.0235222e-18  -3.1752411e-14  -4.2859814e-18  -2.9854125e-35               0               0               0            0.05               0        11601891
    0.014327225               0            0.05       -3.236736  -0.00058480401  -9.8338847e-20       9527.3388       1.2673387   -3.238325e-18   1.1078941e-19   2.0017108e-23   3.3660153e-39               0               0               0            0.05               0        11601891
    0.014536626               0            0.05      -3.1675029  -0.00056525707   2.8145948e-19       9461.4261       1.2403365  -6.3739772e-18  -2.1019414e-19  -3.7510219e-23   1.8677531e-38               0               0               0            0.05               0        11601891
     0.01474821               0            0.05      -3.0999318  -0.00054652245   4.4781426e-21       9396.2486       1.2139421   7.2496139e-18  -3.2081295e-14  -4.1447265e-18  -2.4751877e-35               0               0               0            0.05               0        11601891
    0.014962002               0            0.05      -3.0340176    -0.000527723  -1.9221798e-19       9331.7944       1.1881732   -1.476955e-20   1.0066806e-19   1.7509737e-23   6.3777519e-39               0               0               0            0.05               0        11601891
    0.015178023               0            0.05        -2.96976  -0.00050885844  -1.7443863e-19       9268.0502        1.163049   2.3444043e-18  -3.2306756e-14  -4.0541709e-18  -8.1609989e-36               0               0               0            0.05               0        11601891
    0.015396296               0            0.05      -2.9071233  -0.00049118548  -4.3523293e-19       9205.0026        1.138589  -1.6941966e-17     6.48439e-14   8.0207116e-18  -1.1930366e-34               0               0               0            0.05               0        11601891
    0.015616846               0            0.05      -2.8460574  -0.00047352352   2.5493963e-19       9142.6384       1.1146884  -1.8331387e-17   1.3015177e-13   1.5868351e-17   -2.609444e-34               0               0               0            0.05               0        11601891
    0.015839697               0            0.05      -2.7865181  -0.00045673531   4.2618483e-19       9080.9449       1.0914835   5.3058816e-18  -3.2655737e-14  -3.9250654e-18  -1.9039482e-35               0               0               0            0.05               0        11601891
    0.016064871               0            0.05      -2.7284555  -0.00043995452  -1.6470775e-19       9019.9095       1.0687797   5.2164398e-18  -3.2774091e-14  -3.8834333e-18  -1.8944011e-35               0               0               0            0.05               0        11601891
    0.016292394               0            0.05       -2.671812   -0.0004249729  -1.6193695e-19       8959.5204       1.0468043  -8.1243043e-18   3.2894432e-14   3.8432934e-18  -2.9822748e-35               0               0               0            0.05               0        11601891
    0.016522289               0            0.05      -2.6165448  -0.00041087108   2.0331358e-21       8899.7661       1.0251736   3.6143603e-18   3.3015648e-14   3.8031045e-18   1.3408363e-35               0               0               0            0.05               0        11601891
    0.016754582               0            0.05      -2.5625807  -0.00039785014  -7.4260513e-20       8840.6353       1.0042096  -7.9534959e-18   3.3138402e-14   3.7641981e-18  -2.9813032e-35               0               0               0            0.05               0        11601891
